id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,duel_type_id,duel_type_name,pass_aerial_won,clearance_aerial_won,dribble_outcome_id,dribble_outcome_name,pass_cross,ball_receipt_outcome_id,ball_receipt_outcome_name,out,pass_switch,pass_assisted_shot_id,pass_shot_assist,pass_inswinging,pass_technique_id,pass_technique_name,shot_open_goal,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,counterpress,interception_outcome_id,interception_outcome_name,off_camera,goalkeeper_punched_out,goalkeeper_outcome_id,goalkeeper_outcome_name,shot_aerial_won,clearance_right_foot,ball_recovery_recovery_failure,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,duel_outcome_id,duel_outcome_name,foul_committed_type_id,foul_committed_type_name,foul_won_defensive,pass_through_ball,bad_behaviour_card_id,bad_behaviour_card_name,pass_deflected,block_deflection,pass_cut_back,foul_committed_offensive,50_50_outcome_id,50_50_outcome_name,pass_outswinging,foul_committed_card_id,foul_committed_card_name,shot_one_on_one,dribble_overrun,dribble_nutmeg,miscontrol_aerial_won,pass_no_touch,block_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_advantage,foul_won_advantage,ball_recovery_offensive,pass_goal_assist,pass_miscommunication,timestamp_seconds
9d898879-fdae-4f41-b12f-b3638764221c,837,1,00:30:05.632,30,5,67,3.723616,30,Pass,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,"['8762cfa3-b6d9-470e-b862-f8f5cc48a633', 'ba8ec951-aef3-4a4c-826e-b2a6df3df3ff']","[22.0, 10.8]",24255.0,Juan Carlos Martín Corral,1.0,Goalkeeper,11542.0,Javier Guerra Rodríguez,71.7759,-0.045992646,3.0,High Pass,"[93.7, 7.5]",40.0,Right Foot,62.0,Free Kick,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1805.632
8762cfa3-b6d9-470e-b862-f8f5cc48a633,838,1,00:30:09.356,30,9,67,,42,Ball Receipt*,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,['9d898879-fdae-4f41-b12f-b3638764221c'],"[93.7, 7.5]",11542.0,Javier Guerra Rodríguez,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1809.356
45a81f5c-07ab-4ba1-b3cb-d0fc17441c4b,839,1,00:30:09.356,30,9,67,0.0,4,Duel,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,['ba8ec951-aef3-4a4c-826e-b2a6df3df3ff'],"[93.7, 7.5]",11542.0,Javier Guerra Rodríguez,22.0,Right Center Forward,,,,,,,,,,,,,True,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1809.356
ba8ec951-aef3-4a4c-826e-b2a6df3df3ff,840,1,00:30:09.356,30,9,67,0.0,9,Clearance,360,Rayo Vallecano,3,From Free Kick,216,Getafe,,,"['45a81f5c-07ab-4ba1-b3cb-d0fc17441c4b', '9d898879-fdae-4f41-b12f-b3638764221c']","[26.4, 72.6]",27403.0,Santiago Vergini,3.0,Right Center Back,,,,,,,,,,,,,True,,,True,37.0,Head,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1809.356
e7f5f6ed-3fb9-4714-896d-c714c4d216eb,841,1,00:30:10.728,30,10,67,0.846942,30,Pass,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,['71e453f2-e07a-4fd2-bd0e-cbac4e6bb4cf'],"[83.5, 10.6]",26607.0,José Raúl Baena Urdiales,11.0,Left Defensive Midfield,11542.0,Javier Guerra Rodríguez,12.116518,0.72115916,1.0,Ground Pass,"[92.6, 18.6]",40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1810.728
cce6e361-dfd3-433d-b3e8-8a07527ca014,842,1,00:30:11.364,30,11,67,1.014131,17,Pressure,360,Rayo Vallecano,3,From Free Kick,216,Getafe,,,"['71e453f2-e07a-4fd2-bd0e-cbac4e6bb4cf', 'd7c62963-a43d-4256-95ed-db0a6983d31e']","[27.0, 62.5]",27403.0,Santiago Vergini,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1811.364
71e453f2-e07a-4fd2-bd0e-cbac4e6bb4cf,843,1,00:30:11.575,30,11,67,,42,Ball Receipt*,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,"['cce6e361-dfd3-433d-b3e8-8a07527ca014', 'e7f5f6ed-3fb9-4714-896d-c714c4d216eb']","[92.6, 18.6]",11542.0,Javier Guerra Rodríguez,22.0,Right Center Forward,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1811.575
d7c62963-a43d-4256-95ed-db0a6983d31e,844,1,00:30:11.575,30,11,67,0.807328,43,Carry,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,"['2292096d-ce0c-45ae-8871-15f4ee2e0940', '71e453f2-e07a-4fd2-bd0e-cbac4e6bb4cf', 'cce6e361-dfd3-433d-b3e8-8a07527ca014']","[92.6, 18.6]",11542.0,Javier Guerra Rodríguez,22.0,Right Center Forward,,,,,,,,,,,,"[90.0, 18.6]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1811.575
2292096d-ce0c-45ae-8871-15f4ee2e0940,845,1,00:30:12.382,30,12,67,0.965056,30,Pass,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,['1c313415-4315-4994-bada-1dca0e5ac886'],"[90.0, 18.6]",11542.0,Javier Guerra Rodríguez,22.0,Right Center Forward,6713.0,Diego Javier Llorente Ríos,15.078462,2.7610862,1.0,Ground Pass,"[76.0, 24.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1812.382
1c313415-4315-4994-bada-1dca0e5ac886,846,1,00:30:13.347,30,13,67,,42,Ball Receipt*,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,['2292096d-ce0c-45ae-8871-15f4ee2e0940'],"[76.0, 24.2]",6713.0,Diego Javier Llorente Ríos,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1813.347
