id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,counterpress,out,clearance_left_foot,pass_aerial_won,clearance_right_foot,interception_outcome_id,interception_outcome_name,off_camera,foul_won_defensive,duel_outcome_id,duel_outcome_name,pass_cross,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,ball_recovery_recovery_failure,foul_committed_card_id,foul_committed_card_name,miscontrol_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_aerial_won,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,pass_goal_assist,goalkeeper_technique_id,goalkeeper_technique_name,dribble_outcome_id,dribble_outcome_name,pass_deflected,goalkeeper_body_part_id,goalkeeper_body_part_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_advantage,foul_won_advantage,injury_stoppage_in_chain,shot_one_on_one,pass_inswinging,pass_technique_id,pass_technique_name,pass_miscommunication,foul_committed_type_id,foul_committed_type_name,shot_deflected,shot_saved_to_post,shot_first_time,block_deflection,goalkeeper_shot_saved_to_post,shot_open_goal,dribble_overrun,bad_behaviour_card_id,bad_behaviour_card_name,pass_outswinging,pass_through_ball,clearance_other,pass_cut_back,foul_committed_offensive,timestamp_seconds
16b5511f-2d04-48e6-8c07-c3daae17296c,1029,1,00:27:14.400,27,14,57,1.414012,30,Pass,221,Levante UD,7,From Goal Kick,221,Levante UD,,,"['476e92ba-42bf-41e1-954f-faece14cdfae', '8aac670e-c602-46a5-b7cd-37a75ae0e077']","[69.5, 71.2]",23970.0,José María Martín-Bejarano Serrano,10.0,Center Defensive Midfield,27250.0,Nabil Ghilas,23.100866,-0.008657793,3.0,High Pass,"[92.6, 71.0]",,,40.0,Right Foot,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1634.4
476e92ba-42bf-41e1-954f-faece14cdfae,1030,1,00:27:15.814,27,15,57,,42,Ball Receipt*,221,Levante UD,7,From Goal Kick,221,Levante UD,,,['16b5511f-2d04-48e6-8c07-c3daae17296c'],"[87.0, 72.9]",27250.0,Nabil Ghilas,22.0,Right Center Forward,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1635.814
8aac670e-c602-46a5-b7cd-37a75ae0e077,1031,1,00:27:15.814,27,15,58,1.089079,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,"['16b5511f-2d04-48e6-8c07-c3daae17296c', '4d400416-102a-407a-b563-7069d14636c7']","[27.5, 9.1]",27483.0,Benoît Trémoulinas,6.0,Left Back,3130.0,Gaël Kakuta,19.063316,-0.2437064,2.0,Low Pass,"[46.0, 4.5]",66.0,Recovery,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1635.814
23f13fb9-9bd6-42cf-9fbf-c2e704ebd1a5,1032,1,00:27:16.843,27,16,58,0.347124,17,Pressure,213,Sevilla,1,Regular Play,221,Levante UD,,,"['200aceb4-406c-409b-85bd-89a5aad9945e', '3029b465-2a2b-47d5-9177-6b6ae201e729', '4d400416-102a-407a-b563-7069d14636c7']","[76.4, 72.6]",23970.0,José María Martín-Bejarano Serrano,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636.843
4d400416-102a-407a-b563-7069d14636c7,1033,1,00:27:16.903,27,16,58,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,"['23f13fb9-9bd6-42cf-9fbf-c2e704ebd1a5', '8aac670e-c602-46a5-b7cd-37a75ae0e077']","[46.0, 4.5]",3130.0,Gaël Kakuta,16.0,Left Midfield,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636.903
200aceb4-406c-409b-85bd-89a5aad9945e,1034,1,00:27:16.903,27,16,58,0.162745,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['23f13fb9-9bd6-42cf-9fbf-c2e704ebd1a5', '3029b465-2a2b-47d5-9177-6b6ae201e729', '4d400416-102a-407a-b563-7069d14636c7']","[46.0, 4.5]",3130.0,Gaël Kakuta,16.0,Left Midfield,,,,,,,,,,,,"[45.9, 4.7]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636.903
3029b465-2a2b-47d5-9177-6b6ae201e729,1035,1,00:27:17.066,27,17,58,1.266128,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,"['23f13fb9-9bd6-42cf-9fbf-c2e704ebd1a5', '827aec10-c21d-4de5-b5ed-21fb5eba5a7e']","[45.9, 4.7]",3130.0,Gaël Kakuta,16.0,Left Midfield,3637.0,Grzegorz Krychowiak,6.5802736,2.8486803,1.0,Ground Pass,"[39.6, 6.6]",,,40.0,Right Foot,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1637.066
827aec10-c21d-4de5-b5ed-21fb5eba5a7e,1036,1,00:27:18.332,27,18,58,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,['3029b465-2a2b-47d5-9177-6b6ae201e729'],"[39.6, 6.6]",3637.0,Grzegorz Krychowiak,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1638.332
59dd5d24-6768-442f-b76f-1fe14a7c40aa,1037,1,00:27:18.332,27,18,58,0.08,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['5c7ec764-c745-453f-9300-1a13b80a3eb4', '827aec10-c21d-4de5-b5ed-21fb5eba5a7e']","[39.6, 6.6]",3637.0,Grzegorz Krychowiak,11.0,Left Defensive Midfield,,,,,,,,,,,,"[39.6, 6.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1638.332
5c7ec764-c745-453f-9300-1a13b80a3eb4,1038,1,00:27:18.412,27,18,58,0.83962,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,['be1f8136-98ff-4a13-8c07-4f4d1744ae06'],"[39.6, 6.6]",3637.0,Grzegorz Krychowiak,11.0,Left Defensive Midfield,3486.0,Fernando Llorente Torres,15.658863,0.49221125,1.0,Ground Pass,"[53.4, 14.0]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1638.412
