id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_aerial_won,pass_outcome_id,pass_outcome_name,duel_type_id,duel_type_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,ball_recovery_recovery_failure,counterpress,clearance_left_foot,off_camera,ball_receipt_outcome_id,ball_receipt_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,interception_outcome_id,interception_outcome_name,pass_switch,pass_cross,out,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,shot_first_time,goalkeeper_end_location,shot_open_goal,foul_won_defensive,pass_miscommunication,miscontrol_aerial_won,bad_behaviour_card_id,bad_behaviour_card_name,clearance_right_foot,pass_technique_id,pass_technique_name,pass_through_ball,shot_one_on_one,goalkeeper_body_part_id,goalkeeper_body_part_name,foul_committed_advantage,foul_won_advantage,pass_shot_assist,dribble_nutmeg,pass_outswinging,foul_committed_card_id,foul_committed_card_name,dribble_overrun,block_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_type_id,foul_committed_type_name,pass_cut_back,pass_inswinging,shot_aerial_won,foul_committed_offensive,pass_straight,timestamp_seconds
6cd7e391-44e5-48e5-b144-7dc171061599,2691,2,00:26:45.767,71,45,147,0.900094,43,Carry,221,Levante UD,1,Regular Play,221,Levante UD,,,"['607ada94-aba0-4c4f-8ae2-2c13d367cf74', '86285b8f-a7b0-4f70-b25a-f6fd4585b700']","[55.2, 33.8]",6659.0,Víctor Camarasa Ferrando,15.0,Left Center Midfield,,,,,,,,,,,,"[56.3, 47.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1605.767
86285b8f-a7b0-4f70-b25a-f6fd4585b700,2692,2,00:26:46.667,71,46,147,1.881191,30,Pass,221,Levante UD,1,Regular Play,221,Levante UD,,,['a87d14b8-66f0-4c47-8df8-7bc508ac760c'],"[56.3, 47.2]",6659.0,Víctor Camarasa Ferrando,15.0,Left Center Midfield,6787.0,Pedro López Muñoz,18.201649,1.1096057,1.0,Ground Pass,"[64.4, 63.5]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1606.667
a87d14b8-66f0-4c47-8df8-7bc508ac760c,2693,2,00:26:48.549,71,48,147,,42,Ball Receipt*,221,Levante UD,1,Regular Play,221,Levante UD,,,['86285b8f-a7b0-4f70-b25a-f6fd4585b700'],"[64.4, 63.5]",6787.0,Pedro López Muñoz,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608.549
9823f521-afce-4d2e-8502-748679d362de,2694,2,00:26:48.549,71,48,147,1.648168,43,Carry,221,Levante UD,1,Regular Play,221,Levante UD,,,"['3007d2d4-c0ba-44b2-b0ac-f2264bf5a893', 'a87d14b8-66f0-4c47-8df8-7bc508ac760c']","[64.4, 63.5]",6787.0,Pedro López Muñoz,2.0,Right Back,,,,,,,,,,,,"[82.2, 63.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608.549
3007d2d4-c0ba-44b2-b0ac-f2264bf5a893,2695,2,00:26:50.197,71,50,147,1.286679,30,Pass,221,Levante UD,1,Regular Play,221,Levante UD,,,['341cc905-5d13-4187-938c-58430eaaee6c'],"[82.2, 63.1]",6787.0,Pedro López Muñoz,2.0,Right Back,6668.0,José Luis Morales Nogales,16.86683,0.89883316,1.0,Ground Pass,"[92.7, 76.3]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610.1970000000001
341cc905-5d13-4187-938c-58430eaaee6c,2696,2,00:26:51.483,71,51,147,,42,Ball Receipt*,221,Levante UD,1,Regular Play,221,Levante UD,,,['3007d2d4-c0ba-44b2-b0ac-f2264bf5a893'],"[92.7, 76.3]",6668.0,José Luis Morales Nogales,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611.483
30c84866-3826-4186-82be-7f66d1b59628,2697,2,00:26:51.483,71,51,147,1.350633,43,Carry,221,Levante UD,1,Regular Play,221,Levante UD,,,"['341cc905-5d13-4187-938c-58430eaaee6c', '4f86d677-4f69-4917-abc0-24775defa734']","[92.7, 76.3]",6668.0,José Luis Morales Nogales,17.0,Right Wing,,,,,,,,,,,,"[92.7, 76.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611.483
4f86d677-4f69-4917-abc0-24775defa734,2698,2,00:26:52.834,71,52,147,1.78041,30,Pass,221,Levante UD,1,Regular Play,221,Levante UD,,,['6f8e4d3d-80e1-4adb-bc6b-40a2d8db968d'],"[92.7, 76.3]",6668.0,José Luis Morales Nogales,17.0,Right Wing,6787.0,Pedro López Muñoz,26.268232,-0.42788774,1.0,Ground Pass,"[116.6, 65.4]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1612.834
cd158ee4-610e-4ea4-86af-84d1721567ce,2699,2,00:26:54.370,71,54,147,0.481907,17,Pressure,221,Levante UD,1,Regular Play,218,Real Betis,,,"['1ee5a8e9-49b9-4c44-84c4-3a9ca24f30dc', '6f8e4d3d-80e1-4adb-bc6b-40a2d8db968d', 'd438fcc0-9acf-40ee-ac6d-2d4e685e59c6']","[5.0, 17.9]",5671.0,Alfred John Momar N''Diaye,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614.37
6f8e4d3d-80e1-4adb-bc6b-40a2d8db968d,2700,2,00:26:54.614,71,54,147,,42,Ball Receipt*,221,Levante UD,1,Regular Play,221,Levante UD,,,"['4f86d677-4f69-4917-abc0-24775defa734', 'cd158ee4-610e-4ea4-86af-84d1721567ce']","[116.6, 65.4]",6787.0,Pedro López Muñoz,2.0,Right Back,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614.614
d438fcc0-9acf-40ee-ac6d-2d4e685e59c6,2701,2,00:26:54.614,71,54,147,0.072834,43,Carry,221,Levante UD,1,Regular Play,221,Levante UD,,,"['1ee5a8e9-49b9-4c44-84c4-3a9ca24f30dc', '6f8e4d3d-80e1-4adb-bc6b-40a2d8db968d', 'cd158ee4-610e-4ea4-86af-84d1721567ce']","[116.6, 65.4]",6787.0,Pedro López Muñoz,2.0,Right Back,,,,,,,,,,,,"[115.8, 64.6]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614.614
1ee5a8e9-49b9-4c44-84c4-3a9ca24f30dc,2702,2,00:26:54.687,71,54,147,0.253865,30,Pass,221,Levante UD,1,Regular Play,221,Levante UD,,,"['4bfd9294-a7be-4eb0-9e5b-d6fb0afcb773', 'cd158ee4-610e-4ea4-86af-84d1721567ce']","[115.8, 64.6]",6787.0,Pedro López Muñoz,2.0,Right Back,,,2.3086793,-1.8788491,1.0,Ground Pass,"[115.1, 62.4]",40.0,Right Foot,,,,True,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614.687
