id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry_end_location,out,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_aerial_won,duel_type_id,duel_type_name,counterpress,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,interception_outcome_id,interception_outcome_name,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,pass_cross,pass_switch,miscontrol_aerial_won,shot_statsbomb_xg,shot_end_location,shot_technique_id,shot_technique_name,shot_first_time,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,foul_won_defensive,foul_committed_card_id,foul_committed_card_name,pass_through_ball,pass_technique_id,pass_technique_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,clearance_right_foot,dribble_overrun,foul_committed_advantage,foul_won_advantage,clearance_left_foot,pass_inswinging,50_50_outcome_id,50_50_outcome_name,dribble_nutmeg,pass_deflected,block_deflection,ball_recovery_recovery_failure,pass_outswinging,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,shot_aerial_won,pass_cut_back,bad_behaviour_card_id,bad_behaviour_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,ball_recovery_offensive,shot_deflected,timestamp_seconds
edcfa5b7-a509-425e-a639-f607e2a2b3e1,737,1,00:18:23.424,18,23,38,0.619097,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['23e7064b-9829-475b-9b1f-5c013340059a', '5ee8c7ab-ca7d-40cb-89b1-2ca575955fd7']",,"[63.3, 65.2]",6669.0,David Zurutuza Veillet,21.0,Left Wing,,,,,,,,,,,,,"[64.3, 66.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103.424
5ee8c7ab-ca7d-40cb-89b1-2ca575955fd7,738,1,00:18:24.044,18,24,38,0.862286,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['09b67308-1acf-49b6-88d9-0e625a52a613'],,"[64.3, 66.8]",6669.0,David Zurutuza Veillet,21.0,Left Wing,5560.0,Carlos Alberto Vela Garrido,10.707474,1.608162,1.0,Ground Pass,"[63.9, 77.5]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104.044
09b67308-1acf-49b6-88d9-0e625a52a613,739,1,00:18:24.906,18,24,38,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['5ee8c7ab-ca7d-40cb-89b1-2ca575955fd7'],,"[63.9, 77.5]",5560.0,Carlos Alberto Vela Garrido,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104.906
be6544c2-9b98-4b09-b0cd-64838efd9ead,740,1,00:18:24.906,18,24,38,0.627379,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['09b67308-1acf-49b6-88d9-0e625a52a613', '2ec893f3-fdb9-4988-acbd-5f0a35ea6e11']",,"[63.9, 77.5]",5560.0,Carlos Alberto Vela Garrido,17.0,Right Wing,,,,,,,,,,,,,"[65.9, 76.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104.906
2ec893f3-fdb9-4988-acbd-5f0a35ea6e11,741,1,00:18:25.533,18,25,38,2.028887,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['5e0e2e57-0529-4729-8481-f5fc44f0b719', 'adcade83-5741-4ed4-b14c-3ff612f4c2d9']",,"[65.9, 76.6]",5560.0,Carlos Alberto Vela Garrido,17.0,Right Wing,6669.0,David Zurutuza Veillet,24.864634,-0.37901273,3.0,High Pass,"[89.0, 67.4]",38.0,Left Foot,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105.533
adcade83-5741-4ed4-b14c-3ff612f4c2d9,742,1,00:18:27.562,18,27,38,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['2ec893f3-fdb9-4988-acbd-5f0a35ea6e11'],,"[88.4, 64.8]",6669.0,David Zurutuza Veillet,21.0,Left Wing,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1107.562
5e0e2e57-0529-4729-8481-f5fc44f0b719,743,1,00:18:27.562,18,27,38,0.0,10,Interception,210,Real Sociedad,1,Regular Play,215,Athletic Club,,,['2ec893f3-fdb9-4988-acbd-5f0a35ea6e11'],,"[31.1, 12.7]",4353.0,Aymeric Laporte,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,Lost In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1107.562
7fd5da9f-8121-43f7-accc-0116ad18c7ec,744,1,00:18:29.003,18,29,38,0.677581,17,Pressure,210,Real Sociedad,1,Regular Play,215,Athletic Club,,,"['3bec6da1-1f9d-46fa-8edc-8ec6be9e2972', '6d7e4de9-0b98-4eb0-b5b8-096f39773433']",,"[50.8, 12.3]",6666.0,Sabin Merino Zuloaga,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1109.003
6d7e4de9-0b98-4eb0-b5b8-096f39773433,745,1,00:18:29.064,18,29,38,0.0,2,Ball Recovery,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['7fd5da9f-8121-43f7-accc-0116ad18c7ec'],,"[69.5, 65.2]",5560.0,Carlos Alberto Vela Garrido,17.0,Right Wing,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1109.064
3bec6da1-1f9d-46fa-8edc-8ec6be9e2972,746,1,00:18:29.064,18,29,38,2.206998,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['0f1a0c82-b0ae-4d53-84c9-48aafa6e53b4', '6d7e4de9-0b98-4eb0-b5b8-096f39773433', '7fd5da9f-8121-43f7-accc-0116ad18c7ec', 'ed055560-ad3d-40fa-aea3-c56f7c24b704']",,"[69.5, 65.2]",5560.0,Carlos Alberto Vela Garrido,17.0,Right Wing,,,,,,,,,,,,True,"[75.1, 59.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1109.064
