id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,counterpress,foul_won_defensive,duel_type_id,duel_type_name,pass_aerial_won,out,dribble_outcome_id,dribble_outcome_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,foul_committed_advantage,foul_won_advantage,pass_switch,duel_outcome_id,duel_outcome_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,dribble_overrun,clearance_left_foot,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_inswinging,pass_technique_id,pass_technique_name,pass_through_ball,shot_first_time,foul_committed_card_id,foul_committed_card_name,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,pass_no_touch,pass_deflected,shot_aerial_won,pass_outswinging,clearance_aerial_won,clearance_head,dribble_nutmeg,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,bad_behaviour_card_id,bad_behaviour_card_name,pass_cut_back,pass_miscommunication,pass_straight,ball_recovery_recovery_failure,timestamp_seconds
e168ec8b-8963-4d64-b7d7-22c99f03bd52,2327,2,00:17:27.467,62,27,124,2.403419,43,Carry,218,Real Betis,3,From Free Kick,218,Real Betis,,,"['43d5764c-a635-40d4-900e-c53efbfdef39', 'be7e9292-b633-4901-a584-46d4180fc645']",,"[81.9, 64.9]",6865.0,Francisco José Molinero Calderón,2.0,Right Back,,,,,,,,,,,,,"[84.1, 60.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1047.467
43d5764c-a635-40d4-900e-c53efbfdef39,2328,2,00:17:29.870,62,29,124,1.253354,30,Pass,218,Real Betis,3,From Free Kick,218,Real Betis,,,['c030fe0a-8556-4591-9d5a-7565f5afd255'],,"[84.1, 60.0]",6865.0,Francisco José Molinero Calderón,2.0,Right Back,26723.0,Álvaro Cejudo Carmona,10.456099,-1.3977861,1.0,Ground Pass,"[85.9, 49.7]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049.87
c030fe0a-8556-4591-9d5a-7565f5afd255,2329,2,00:17:31.124,62,31,124,,42,Ball Receipt*,218,Real Betis,3,From Free Kick,218,Real Betis,,,['43d5764c-a635-40d4-900e-c53efbfdef39'],,"[85.9, 49.7]",26723.0,Álvaro Cejudo Carmona,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1051.124
64fe4d9c-c929-47a1-b41e-948c3ff40bc9,2330,2,00:17:31.124,62,31,124,0.954007,43,Carry,218,Real Betis,3,From Free Kick,218,Real Betis,,,"['c030fe0a-8556-4591-9d5a-7565f5afd255', 'e29143cb-e7fe-497f-9813-ee6e229f9a68']",,"[85.9, 49.7]",26723.0,Álvaro Cejudo Carmona,16.0,Left Midfield,,,,,,,,,,,,,"[85.3, 50.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1051.124
e29143cb-e7fe-497f-9813-ee6e229f9a68,2331,2,00:17:32.078,62,32,124,0.848836,30,Pass,218,Real Betis,3,From Free Kick,218,Real Betis,,,['a9ee762f-364a-4ca8-9c19-61446be5929d'],,"[85.3, 50.8]",26723.0,Álvaro Cejudo Carmona,16.0,Left Midfield,6865.0,Francisco José Molinero Calderón,9.602604,1.7171116,1.0,Ground Pass,"[83.9, 60.3]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1052.078
a9ee762f-364a-4ca8-9c19-61446be5929d,2332,2,00:17:32.926,62,32,124,,42,Ball Receipt*,218,Real Betis,3,From Free Kick,218,Real Betis,,,['e29143cb-e7fe-497f-9813-ee6e229f9a68'],,"[83.9, 60.3]",6865.0,Francisco José Molinero Calderón,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1052.926
d67d414f-8c59-4d1f-811b-96144fe6cc1c,2333,2,00:17:32.926,62,32,124,0.368981,43,Carry,218,Real Betis,3,From Free Kick,218,Real Betis,,,"['37dbce24-82f2-4fe0-bde4-c853a1cd8563', 'a9ee762f-364a-4ca8-9c19-61446be5929d']",,"[83.9, 60.3]",6865.0,Francisco José Molinero Calderón,2.0,Right Back,,,,,,,,,,,,,"[84.9, 60.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1052.926
37dbce24-82f2-4fe0-bde4-c853a1cd8563,2334,2,00:17:33.295,62,33,124,2.144308,30,Pass,218,Real Betis,3,From Free Kick,218,Real Betis,,,['3d53ba9b-41b5-4c9a-a339-0fabe259079d'],,"[84.9, 60.3]",6865.0,Francisco José Molinero Calderón,2.0,Right Back,6651.0,Joaquín Sánchez Rodríguez,17.600569,1.0537643,1.0,Ground Pass,"[93.6, 75.6]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053.295
c8dffc84-5149-4a15-9788-3a421a2aa52b,2335,2,00:17:33.305,62,33,124,0.341483,17,Pressure,218,Real Betis,3,From Free Kick,207,Valencia,,,,,"[30.8, 16.6]",6725.0,Zakaria Bakkali,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053.305
3d53ba9b-41b5-4c9a-a339-0fabe259079d,2336,2,00:17:35.440,62,35,124,,42,Ball Receipt*,218,Real Betis,3,From Free Kick,218,Real Betis,,,['37dbce24-82f2-4fe0-bde4-c853a1cd8563'],,"[93.6, 75.6]",6651.0,Joaquín Sánchez Rodríguez,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055.44
