id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,under_pressure,interception_outcome_id,interception_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,foul_committed_offensive,foul_won_defensive,off_camera,pass_switch,pass_no_touch,dribble_outcome_id,dribble_outcome_name,pass_cross,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,foul_committed_advantage,foul_won_advantage,out,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,shot_statsbomb_xg,shot_end_location,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,pass_aerial_won,pass_technique_id,pass_technique_name,pass_inswinging,clearance_head,foul_committed_card_id,foul_committed_card_name,clearance_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_through_ball,injury_stoppage_in_chain,pass_assisted_shot_id,pass_goal_assist,shot_key_pass_id,shot_first_time,pass_shot_assist,ball_recovery_recovery_failure,pass_outswinging,clearance_right_foot,dribble_nutmeg,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_open_goal,foul_committed_type_id,foul_committed_type_name,dribble_overrun,block_offensive,bad_behaviour_card_id,bad_behaviour_card_name,pass_cut_back,shot_aerial_won,timestamp_seconds
d29bcab2-4bd9-47a2-8bfd-ea561ae09112,1708,2,00:02:14.073,47,14,104,4.288388,43,Carry,207,Valencia,1,Regular Play,207,Valencia,,,"['12b06ce6-3f3c-4274-8928-bbe665596c8e', '1bbf8fb4-c16f-43d2-82c0-272efb7ee57f', '978e7ea1-2047-4397-b74c-71587e47cd6a']","[69.8, 11.0]",6763.0,Pablo Daniel Piatti,21.0,Left Wing,,,,,,,,,,,,"[70.3, 16.1]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.073
1bbf8fb4-c16f-43d2-82c0-272efb7ee57f,1709,2,00:02:18.362,47,18,104,0.929854,30,Pass,207,Valencia,1,Regular Play,207,Valencia,,,['fd1c2b8d-189e-4772-848c-e32c5065a4d6'],"[70.3, 16.1]",6763.0,Pablo Daniel Piatti,21.0,Left Wing,7005.0,João Pedro Cavaco Cancelo,17.629805,-1.0741657,1.0,Ground Pass,"[78.7, 0.6]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.362
fd1c2b8d-189e-4772-848c-e32c5065a4d6,1710,2,00:02:19.292,47,19,104,,42,Ball Receipt*,207,Valencia,1,Regular Play,207,Valencia,,,['1bbf8fb4-c16f-43d2-82c0-272efb7ee57f'],"[78.7, 0.6]",7005.0,João Pedro Cavaco Cancelo,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.292
644edaeb-15d4-4f6e-956b-b026f7ce8b97,1711,2,00:02:19.292,47,19,104,1.314749,30,Pass,207,Valencia,1,Regular Play,207,Valencia,,,['2058f990-df22-44ef-9de5-3153e9d73573'],"[78.6, 1.3]",7005.0,João Pedro Cavaco Cancelo,6.0,Left Back,10037.0,Danilo Barbosa da Silva,15.268923,2.6281328,3.0,High Pass,"[65.3, 8.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.292
2058f990-df22-44ef-9de5-3153e9d73573,1712,2,00:02:20.606,47,20,104,,42,Ball Receipt*,207,Valencia,1,Regular Play,207,Valencia,,,['644edaeb-15d4-4f6e-956b-b026f7ce8b97'],"[65.3, 8.8]",10037.0,Danilo Barbosa da Silva,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.606
ac80201c-d859-44c0-aa05-ee15053ba190,1713,2,00:02:20.606,47,20,104,0.0,38,Miscontrol,207,Valencia,1,Regular Play,207,Valencia,,,,"[65.3, 8.8]",10037.0,Danilo Barbosa da Silva,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.606
88e67499-8116-4359-80cf-a28b0dd45864,1714,2,00:02:22.686,47,22,104,0.85725,30,Pass,207,Valencia,1,Regular Play,207,Valencia,,,['78ebda5f-b523-4abc-8a58-912f68650974'],"[62.9, 16.0]",6595.0,Daniel Parejo Muñoz,10.0,Center Defensive Midfield,10037.0,Danilo Barbosa da Silva,5.7384667,-0.39345065,1.0,Ground Pass,"[68.2, 13.8]",40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.686
78ebda5f-b523-4abc-8a58-912f68650974,1715,2,00:02:23.543,47,23,104,,42,Ball Receipt*,207,Valencia,1,Regular Play,207,Valencia,,,['88e67499-8116-4359-80cf-a28b0dd45864'],"[68.2, 13.8]",10037.0,Danilo Barbosa da Silva,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.543
599cc6dd-5af5-44e6-9e85-1ad9f0b39e43,1716,2,00:02:23.543,47,23,104,1.583258,43,Carry,207,Valencia,1,Regular Play,207,Valencia,,,"['78ebda5f-b523-4abc-8a58-912f68650974', 'cb6f54a8-bdd2-400e-98f4-2f9a1f62c9bc']","[68.2, 13.8]",10037.0,Danilo Barbosa da Silva,15.0,Left Center Midfield,,,,,,,,,,,,"[71.5, 22.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.543
cb6f54a8-bdd2-400e-98f4-2f9a1f62c9bc,1717,2,00:02:25.126,47,25,104,0.768818,30,Pass,207,Valencia,1,Regular Play,207,Valencia,,,"['bb7d1791-5969-496c-b6cb-32a8aeb885fd', 'e751faac-e722-4ec5-9872-ace25c593089']","[71.5, 22.5]",10037.0,Danilo Barbosa da Silva,15.0,Left Center Midfield,6402.0,Francisco Alcácer García,14.369412,0.15370753,1.0,Ground Pass,"[85.7, 24.7]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.126
