id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,dribble_outcome_id,dribble_outcome_name,counterpress,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,out,ball_recovery_recovery_failure,pass_aerial_won,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_cross,goalkeeper_outcome_id,goalkeeper_outcome_name,interception_outcome_id,interception_outcome_name,shot_first_time,pass_deflected,block_deflection,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_left_foot,foul_committed_advantage,foul_won_advantage,pass_switch,foul_won_defensive,clearance_head,pass_outswinging,pass_technique_id,pass_technique_name,shot_one_on_one,shot_aerial_won,pass_through_ball,pass_inswinging,clearance_aerial_won,foul_committed_card_id,foul_committed_card_name,pass_cut_back,pass_no_touch,dribble_overrun,pass_goal_assist,bad_behaviour_card_id,bad_behaviour_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_miscommunication,foul_committed_type_id,foul_committed_type_name,foul_committed_penalty,shot_deflected,block_offensive,timestamp_seconds
7e56512c-36ea-4edb-8d7e-12a48ff2b21e,155,1,00:03:02.294,3,2,12,0.775653,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,['68c84ae5-c42d-45a1-a8d7-96908b46db97'],,"[10.3, 5.1]",27483.0,Benoît Trémoulinas,6.0,Left Back,6356.0,Michael Krohn-Dehli,10.5,0.0,2.0,Low Pass,"[20.8, 5.1]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.294
005b8690-5279-49e9-bc31-2897a45fbe5c,156,1,00:03:02.305,3,2,12,0.209922,17,Pressure,213,Sevilla,1,Regular Play,217,Barcelona,,,,,"[104.0, 75.2]",6616.0,Munir El Haddadi Mohamed,17.0,Right Wing,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.305
68c84ae5-c42d-45a1-a8d7-96908b46db97,157,1,00:03:03.070,3,3,12,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,['7e56512c-36ea-4edb-8d7e-12a48ff2b21e'],,"[20.8, 5.1]",6356.0,Michael Krohn-Dehli,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.07
ff9804df-f86d-4eeb-865b-0caf0d742c39,158,1,00:03:03.070,3,3,12,0.850368,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,['48803225-b1fd-4522-be74-2bab7ad91d8f'],,"[20.4, 5.7]",6356.0,Michael Krohn-Dehli,21.0,Left Wing,3637.0,Grzegorz Krychowiak,8.570297,1.3711125,2.0,Low Pass,"[22.1, 14.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.07
48803225-b1fd-4522-be74-2bab7ad91d8f,159,1,00:03:03.921,3,3,12,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,['ff9804df-f86d-4eeb-865b-0caf0d742c39'],,"[22.1, 14.1]",3637.0,Grzegorz Krychowiak,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.921
ab9e2c56-e13e-4311-8612-41e66dcd693c,160,1,00:03:03.921,3,3,12,0.027686,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['48803225-b1fd-4522-be74-2bab7ad91d8f', 'b1977136-64cb-4475-8a3a-93fecbbcb5a4']",,"[22.1, 14.1]",3637.0,Grzegorz Krychowiak,9.0,Right Defensive Midfield,,,,,,,,,,,,"[22.1, 14.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.921
b1977136-64cb-4475-8a3a-93fecbbcb5a4,161,1,00:03:03.948,3,3,12,0.862043,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,['08b7260f-84dc-4b65-ad4f-06b140872084'],,"[22.1, 14.1]",3637.0,Grzegorz Krychowiak,9.0,Right Defensive Midfield,5737.0,Steven N''Kemboanza Mike Christopher Nzonzi,9.604687,-2.4668517,2.0,Low Pass,"[14.6, 8.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.948
08b7260f-84dc-4b65-ad4f-06b140872084,162,1,00:03:04.810,3,4,12,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,['b1977136-64cb-4475-8a3a-93fecbbcb5a4'],,"[14.6, 8.1]",5737.0,Steven N''Kemboanza Mike Christopher Nzonzi,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.81
031d6866-7d17-40af-8c38-a493bfc20d54,163,1,00:03:04.810,3,4,12,1.913548,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['08b7260f-84dc-4b65-ad4f-06b140872084', '29bcbb04-dbaf-4eb1-9ebd-a31733f912d6', 'c7a3c59d-c120-4710-beac-35d0752617f5']",,"[14.6, 8.1]",5737.0,Steven N''Kemboanza Mike Christopher Nzonzi,11.0,Left Defensive Midfield,,,,,,,,,,,,"[7.7, 5.7]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.81
29bcbb04-dbaf-4eb1-9ebd-a31733f912d6,164,1,00:03:06.625,3,6,12,0.070488,17,Pressure,213,Sevilla,1,Regular Play,217,Barcelona,,,['031d6866-7d17-40af-8c38-a493bfc20d54'],,"[111.1, 74.4]",6616.0,Munir El Haddadi Mohamed,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.625
