id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,off_camera,clearance_head,clearance_body_part_id,clearance_body_part_name,foul_won_defensive,pass_switch,foul_committed_advantage,foul_won_advantage,pass_aerial_won,duel_type_id,duel_type_name,dribble_outcome_id,dribble_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_right_foot,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,pass_inswinging,pass_technique_id,pass_technique_name,clearance_aerial_won,shot_one_on_one,out,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,goalkeeper_end_location,pass_cross,dribble_overrun,pass_outswinging,shot_aerial_won,clearance_left_foot,ball_recovery_recovery_failure,pass_straight,pass_cut_back,pass_no_touch,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_first_time,foul_committed_offensive,dribble_nutmeg,injury_stoppage_in_chain,block_offensive,shot_open_goal,timestamp_seconds
8b7d185f-8d1e-437a-9795-2d86a81852f8,2854,2,00:37:52.049,82,52,179,,42,Ball Receipt*,216,Getafe,1,Regular Play,216,Getafe,,,['13b653a9-6aa5-4a26-8b27-bbfc940f4448'],"[87.5, 42.5]",24035.0,Álvaro Vázquez García,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2272.049
03853c13-df13-4267-ac0a-845637c3a092,2855,2,00:37:52.049,82,52,179,0.615547,43,Carry,216,Getafe,1,Regular Play,216,Getafe,,,"['71f8587d-0704-4e91-93c4-ac0d10cf61a3', '8b7d185f-8d1e-437a-9795-2d86a81852f8', '993ae16a-aab5-4f37-a979-9b1cfa9c0f1e']","[87.5, 42.5]",24035.0,Álvaro Vázquez García,23.0,Center Forward,,,,,,,,,,,,"[87.8, 42.3]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2272.049
71f8587d-0704-4e91-93c4-ac0d10cf61a3,2856,2,00:37:52.150,82,52,179,0.51396,17,Pressure,216,Getafe,1,Regular Play,214,Espanyol,,,['03853c13-df13-4267-ac0a-845637c3a092'],"[32.3, 37.8]",6612.0,Rubén Duarte Sánchez,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2272.15
993ae16a-aab5-4f37-a979-9b1cfa9c0f1e,2857,2,00:37:52.664,82,52,179,0.0,3,Dispossessed,216,Getafe,1,Regular Play,216,Getafe,,,['9ee38fcc-ddcc-411a-ab23-5f418d4cdea5'],"[87.8, 42.3]",24035.0,Álvaro Vázquez García,23.0,Center Forward,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2272.664
9ee38fcc-ddcc-411a-ab23-5f418d4cdea5,2858,2,00:37:52.664,82,52,180,0.0,4,Duel,214,Espanyol,6,From Counter,214,Espanyol,,,['993ae16a-aab5-4f37-a979-9b1cfa9c0f1e'],"[32.3, 37.8]",6612.0,Rubén Duarte Sánchez,5.0,Left Center Back,,,,,,,,,,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,Tackle,,,,,,,,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2272.664
93578c98-e442-402a-a118-083da5e023c8,2859,2,00:37:54.286,82,54,180,0.391883,17,Pressure,214,Espanyol,6,From Counter,216,Getafe,,,['fbff88a3-8039-475b-8201-1370eef55563'],"[78.3, 41.4]",11813.0,Emiliano Buendía,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2274.286
fbff88a3-8039-475b-8201-1370eef55563,2860,2,00:37:54.579,82,54,180,2.410826,30,Pass,214,Espanyol,6,From Counter,214,Espanyol,,,"['6cc32957-429c-48f4-919f-ec1a12f19fa9', '93578c98-e442-402a-a118-083da5e023c8']","[37.3, 39.3]",18407.0,José Alberto Cañas Ruiz Herrera,9.0,Right Defensive Midfield,6624.0,Jorge Franco Alviz,21.054453,-0.23000282,1.0,Ground Pass,"[57.8, 34.5]",40.0,Right Foot,66.0,Recovery,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2274.579
6cc32957-429c-48f4-919f-ec1a12f19fa9,2861,2,00:37:56.990,82,56,180,,42,Ball Receipt*,214,Espanyol,6,From Counter,214,Espanyol,,,['fbff88a3-8039-475b-8201-1370eef55563'],"[57.8, 34.5]",6624.0,Jorge Franco Alviz,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2276.99
79726249-1a52-470a-99f5-1cf312197ba3,2862,2,00:37:56.990,82,56,180,0.027231,43,Carry,214,Espanyol,6,From Counter,214,Espanyol,,,"['6cc32957-429c-48f4-919f-ec1a12f19fa9', '97ad97bc-d6f4-42eb-8662-3c645b10c621']","[57.8, 34.5]",6624.0,Jorge Franco Alviz,21.0,Left Wing,,,,,,,,,,,,"[58.2, 34.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2276.99
97ad97bc-d6f4-42eb-8662-3c645b10c621,2863,2,00:37:57.017,82,57,180,3.311026,30,Pass,214,Espanyol,6,From Counter,214,Espanyol,,,['d538929e-4927-4b1a-a251-617a87aba261'],"[58.2, 34.8]",6624.0,Jorge Franco Alviz,21.0,Left Wing,6766.0,Gerard Moreno Balaguero,42.6203,0.52875,3.0,High Pass,"[95.0, 56.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33e35b61-9005-4315-8036-e31e474fbff4,True,,,,,,,,,,,,,,,,,,,,,,,,,,2277.017
