id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,under_pressure,carry_end_location,duel_type_id,duel_type_name,pass_aerial_won,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,pass_switch,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,clearance_head,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,interception_outcome_id,interception_outcome_name,foul_won_defensive,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_through_ball,pass_technique_id,pass_technique_name,pass_inswinging,pass_cut_back,shot_first_time,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,ball_recovery_recovery_failure,foul_committed_advantage,foul_won_advantage,foul_committed_offensive,clearance_left_foot,dribble_overrun,dribble_nutmeg,foul_committed_type_id,foul_committed_type_name,clearance_other,foul_committed_card_id,foul_committed_card_name,shot_open_goal,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_aerial_won,pass_outswinging,ball_recovery_offensive,shot_one_on_one,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
381e0700-1bbe-4cad-9bac-bf79b350e450,1503,2,00:01:01.411,46,1,96,8.138493,30,Pass,1049,Granada,8,From Keeper,1049,Granada,,,['a7a76162-8257-4e60-9063-8f34e9f53452'],,"[77.9, 78.5]",6847.0,Adalberto Peñaranda Maestre,22.0,Right Center Forward,6918.0,Isaac Ajayi Success,83.49144,-1.0422908,3.0,High Pass,"[120.0, 6.4]",,,40.0,Right Foot,,,,,,75.0,Out,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.411
a7a76162-8257-4e60-9063-8f34e9f53452,1504,2,00:01:09.550,46,9,96,,42,Ball Receipt*,1049,Granada,8,From Keeper,1049,Granada,,,['381e0700-1bbe-4cad-9bac-bf79b350e450'],,"[92.0, 27.2]",6918.0,Isaac Ajayi Success,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.55
f6ecbfb6-62c9-4af8-902c-8ade87079458,1505,2,00:01:14.861,46,14,97,0.977132,30,Pass,213,Sevilla,7,From Goal Kick,213,Sevilla,,,['0a230faa-8df7-44ff-a27f-1688cc912b08'],True,"[6.0, 36.0]",6823.0,Sergio Rico González,1.0,Goalkeeper,3637.0,Grzegorz Krychowiak,19.442736,-0.59513515,1.0,Ground Pass,"[22.1, 25.1]",63.0,Goal Kick,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.861
0a230faa-8df7-44ff-a27f-1688cc912b08,1506,2,00:01:15.838,46,15,97,,42,Ball Receipt*,213,Sevilla,7,From Goal Kick,213,Sevilla,,,['f6ecbfb6-62c9-4af8-902c-8ade87079458'],,"[22.1, 25.1]",3637.0,Grzegorz Krychowiak,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.838
c82331b3-8e99-4848-b99d-265a8266a9bc,1507,2,00:01:18.187,46,18,97,1.823414,30,Pass,213,Sevilla,7,From Goal Kick,213,Sevilla,,,['a1f064d8-937c-44ac-9ea2-18b1fdd52146'],,"[30.7, 23.3]",3637.0,Grzegorz Krychowiak,10.0,Center Defensive Midfield,5504.0,Éver Maximiliano David Banega,18.2877,-0.7157436,1.0,Ground Pass,"[44.5, 11.3]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.187
a1f064d8-937c-44ac-9ea2-18b1fdd52146,1508,2,00:01:20.010,46,20,97,,42,Ball Receipt*,213,Sevilla,7,From Goal Kick,213,Sevilla,,,['c82331b3-8e99-4848-b99d-265a8266a9bc'],,"[44.5, 11.3]",5504.0,Éver Maximiliano David Banega,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.01
5f4c9694-410d-45d7-90f1-bf8e003113e1,1509,2,00:01:20.010,46,20,97,3.28496,43,Carry,213,Sevilla,7,From Goal Kick,213,Sevilla,,,"['6f0e7276-e91c-46a8-8349-61b07c8b1a4b', 'a1f064d8-937c-44ac-9ea2-18b1fdd52146']",,"[44.5, 11.3]",5504.0,Éver Maximiliano David Banega,15.0,Left Center Midfield,,,,,,,,,,,,,"[57.5, 2.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.01
6f0e7276-e91c-46a8-8349-61b07c8b1a4b,1510,2,00:01:23.295,46,23,97,0.8865,30,Pass,213,Sevilla,7,From Goal Kick,213,Sevilla,,,['591dbb41-de4b-4105-b283-9c4ba49e57b4'],,"[57.5, 2.4]",5504.0,Éver Maximiliano David Banega,15.0,Left Center Midfield,6718.0,Sergio Escudero Palomo,13.803261,-0.021735707,1.0,Ground Pass,"[71.3, 2.1]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.295
591dbb41-de4b-4105-b283-9c4ba49e57b4,1511,2,00:01:24.182,46,24,97,,42,Ball Receipt*,213,Sevilla,7,From Goal Kick,213,Sevilla,,,['6f0e7276-e91c-46a8-8349-61b07c8b1a4b'],,"[71.3, 2.1]",6718.0,Sergio Escudero Palomo,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.182
270568ab-8608-4e4d-9ebf-89fa36ea5f0a,1512,2,00:01:24.182,46,24,97,0.728852,43,Carry,213,Sevilla,7,From Goal Kick,213,Sevilla,,,"['3aae9811-c85c-48aa-afff-fbb498d4e92e', '591dbb41-de4b-4105-b283-9c4ba49e57b4', '8dbf55af-71fe-47c8-9310-c73522017d08']",,"[71.3, 2.1]",6718.0,Sergio Escudero Palomo,6.0,Left Back,,,,,,,,,,,,True,"[76.0, 3.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.182
