id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,under_pressure,pass_switch,foul_won_defensive,out,pass_no_touch,dribble_outcome_id,dribble_outcome_name,dribble_nutmeg,dribble_overrun,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,interception_outcome_id,interception_outcome_name,pass_inswinging,pass_technique_id,pass_technique_name,clearance_left_foot,pass_cross,shot_statsbomb_xg,shot_end_location,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_head,pass_aerial_won,pass_outswinging,foul_committed_advantage,foul_won_advantage,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance_aerial_won,shot_one_on_one,goalkeeper_technique_id,goalkeeper_technique_name,pass_goal_assist,pass_through_ball,block_offensive,foul_committed_card_id,foul_committed_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,bad_behaviour_card_id,bad_behaviour_card_name,shot_aerial_won,foul_committed_type_id,foul_committed_type_name,injury_stoppage_in_chain,foul_committed_offensive,timestamp_seconds
1a37203b-4f6c-4013-82be-a7136fc6e16f,957,1,00:23:14.752,23,14,51,0.399997,17,Pressure,219,RC Deportivo La Coruña,1,Regular Play,207,Valencia,,,['b8ff3dc7-c926-431e-812c-943e0313baef'],,"[42.4, 69.9]",3638.0,Shkodran Mustafi,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1394.752
eaf6e4ea-7a7d-4279-8cd2-43ee5239e4ff,958,1,00:23:15.072,23,15,51,0.199999,17,Pressure,219,RC Deportivo La Coruña,1,Regular Play,207,Valencia,,,['5ecae25e-86b9-4fa3-a593-0ed11e90b2f1'],,"[46.4, 69.9]",6594.0,Santiago Mina Lorenzo,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395.072
5ecae25e-86b9-4fa3-a593-0ed11e90b2f1,959,1,00:23:15.166,23,15,51,0.763887,30,Pass,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,"['eaf6e4ea-7a7d-4279-8cd2-43ee5239e4ff', 'f413bc0d-8a88-40d4-ae17-858a2c8b376d']",,"[75.3, 9.8]",7782.0,Luis Alberto Romero Alconchel,19.0,Center Attacking Midfield,5724.0,Fayçal Fajr,9.533625,-1.8361284,1.0,Ground Pass,"[72.8, 0.6]",,,40.0,Right Foot,,75.0,Out,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395.166
f413bc0d-8a88-40d4-ae17-858a2c8b376d,960,1,00:23:15.930,23,15,51,,42,Ball Receipt*,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['5ecae25e-86b9-4fa3-a593-0ed11e90b2f1'],,"[74.9, 2.1]",5724.0,Fayçal Fajr,17.0,Right Wing,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395.93
af43d67a-36d8-4e2a-b9a4-009484e8eff1,961,1,00:23:33.436,23,33,52,1.434091,30,Pass,207,Valencia,4,From Throw In,207,Valencia,,,['2cb2afb7-8e80-4771-937c-783f44b06cbb'],,"[61.0, 80.0]",6663.0,Antonio Barragán Fernández,2.0,Right Back,20542.0,Álvaro Negredo Sánchez,16.728718,-0.31607953,3.0,High Pass,"[76.9, 74.8]",67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1413.436
2cb2afb7-8e80-4771-937c-783f44b06cbb,962,1,00:23:34.870,23,34,52,,42,Ball Receipt*,207,Valencia,4,From Throw In,207,Valencia,,,['af43d67a-36d8-4e2a-b9a4-009484e8eff1'],,"[76.9, 74.8]",20542.0,Álvaro Negredo Sánchez,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1414.87
0b0f2098-7e84-4c16-911c-83877d3632cf,963,1,00:23:34.910,23,34,52,0.844332,30,Pass,207,Valencia,4,From Throw In,207,Valencia,,,['eb6d31ce-5096-4820-992e-c87eebc6c336'],,"[76.9, 74.8]",20542.0,Álvaro Negredo Sánchez,23.0,Center Forward,6594.0,Santiago Mina Lorenzo,12.515989,-0.38495737,3.0,High Pass,"[88.5, 70.1]",,,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1414.91
c021c082-9aba-4447-af79-28c2c4fbfef2,964,1,00:23:35.744,23,35,52,0.481032,17,Pressure,207,Valencia,4,From Throw In,219,RC Deportivo La Coruña,,,"['291f7bb4-0224-4006-9846-31cebfd7e775', 'c05e6606-6c2d-4938-abac-64831f2e3e32', 'eb6d31ce-5096-4820-992e-c87eebc6c336']",,"[26.4, 11.5]",6777.0,Sidnei Rechel da Silva Júnior,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1415.744
eb6d31ce-5096-4820-992e-c87eebc6c336,965,1,00:23:35.755,23,35,52,,42,Ball Receipt*,207,Valencia,4,From Throw In,207,Valencia,,,"['0b0f2098-7e84-4c16-911c-83877d3632cf', 'c021c082-9aba-4447-af79-28c2c4fbfef2']",,"[88.5, 70.1]",6594.0,Santiago Mina Lorenzo,17.0,Right Wing,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1415.755
c05e6606-6c2d-4938-abac-64831f2e3e32,966,1,00:23:35.755,23,35,52,0.112390004,43,Carry,207,Valencia,4,From Throw In,207,Valencia,,,"['291f7bb4-0224-4006-9846-31cebfd7e775', 'c021c082-9aba-4447-af79-28c2c4fbfef2', 'eb6d31ce-5096-4820-992e-c87eebc6c336']",,"[88.5, 70.1]",6594.0,Santiago Mina Lorenzo,17.0,Right Wing,,,,,,,,,,,,"[91.3, 69.0]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1415.755
