id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,counterpress,interception_outcome_id,interception_outcome_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,miscontrol_aerial_won,off_camera,pass_cross,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_switch,pass_outswinging,pass_technique_id,pass_technique_name,clearance_aerial_won,clearance_head,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_inswinging,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_aerial_won,pass_through_ball,dribble_overrun,clearance_left_foot,foul_won_defensive,bad_behaviour_card_id,bad_behaviour_card_name,shot_aerial_won,pass_cut_back,shot_deflected,block_deflection,dribble_no_touch,ball_recovery_recovery_failure,foul_committed_advantage,foul_won_advantage,foul_committed_card_id,foul_committed_card_name,50_50_outcome_id,50_50_outcome_name,shot_one_on_one,block_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_miscommunication,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,timestamp_seconds
dbffa783-a3bb-484b-a983-3c2b8ea57e95,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,220,Real Madrid,1,Regular Play,220,Real Madrid,433.0,"[{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5202, 'name': 'José Ignacio Fernández Iglesias'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 4926, 'name': 'Francisco Román Alarcón Suárez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 3990, 'name': 'Jesé Rodríguez Ruiz'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
b62316d8-4142-47db-bec8-329e3ab45064,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,220,Real Madrid,1,Regular Play,223,Málaga,442.0,"[{'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 27184, 'name': 'Marcos Alberto Angeleri'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 26669, 'name': 'Weligton Róbson Pena de Oliveira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6878, 'name': 'Miguel Torres Gómez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 19431, 'name': 'Fernando Damián Tissone'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 6580, 'name': 'José Luis García del Pozo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6764, 'name': 'Pablo Fornals Malla'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 31}, {'player': {'id': 6559, 'name': 'Juan Carlos Pérez López'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 3302, 'name': 'Nordin Amrabat'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 8264, 'name': 'Adnane Tighadouini'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
25537846-62d5-4240-bce1-5eb788e8ad46,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,220,Real Madrid,1,Regular Play,223,Málaga,,,['84ce22f0-f7af-4dbf-ae8a-4e1c3272905d'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
84ce22f0-f7af-4dbf-ae8a-4e1c3272905d,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['25537846-62d5-4240-bce1-5eb788e8ad46'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
b0c32f41-8131-41be-bc56-5517ac236a0d,5,1,00:00:00.529,0,0,2,0.295136,30,Pass,223,Málaga,9,From Kick Off,223,Málaga,,,['04d26af4-56e5-4cd8-b8da-a5502d6b7b2e'],"[61.0, 40.1]",8264.0,Adnane Tighadouini,24.0,Left Center Forward,3302.0,Nordin Amrabat,5.110773,1.0370882,1.0,Ground Pass,"[63.6, 44.5]",65.0,Kick Off,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.529
04d26af4-56e5-4cd8-b8da-a5502d6b7b2e,6,1,00:00:00.825,0,0,2,,42,Ball Receipt*,223,Málaga,9,From Kick Off,223,Málaga,,,['b0c32f41-8131-41be-bc56-5517ac236a0d'],"[63.6, 44.5]",3302.0,Nordin Amrabat,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.825
6accfb9e-81ae-41c4-b28b-923ecfb9fd0e,7,1,00:00:00.825,0,0,2,2.071738,43,Carry,223,Málaga,9,From Kick Off,223,Málaga,,,"['04d26af4-56e5-4cd8-b8da-a5502d6b7b2e', '7b84e9a2-1494-4774-a6cf-b02e6dda777b']","[63.6, 44.5]",3302.0,Nordin Amrabat,22.0,Right Center Forward,,,,,,,,,,,,"[63.6, 45.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.825
7b84e9a2-1494-4774-a6cf-b02e6dda777b,8,1,00:00:02.896,0,2,2,1.064245,30,Pass,223,Málaga,9,From Kick Off,223,Málaga,,,['5a0c5540-1c32-44df-bdc7-05ef482d5bc3'],"[63.6, 45.9]",3302.0,Nordin Amrabat,22.0,Right Center Forward,19431.0,Fernando Damián Tissone,20.729206,3.0885024,1.0,Ground Pass,"[42.9, 47.0]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.896
5a0c5540-1c32-44df-bdc7-05ef482d5bc3,9,1,00:00:03.961,0,3,2,,42,Ball Receipt*,223,Málaga,9,From Kick Off,223,Málaga,,,['7b84e9a2-1494-4774-a6cf-b02e6dda777b'],"[42.9, 47.0]",19431.0,Fernando Damián Tissone,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.961
ee8c48ad-158a-4b6a-b095-2c7f3794f491,10,1,00:00:03.961,0,3,2,0.871426,43,Carry,223,Málaga,9,From Kick Off,223,Málaga,,,"['5a0c5540-1c32-44df-bdc7-05ef482d5bc3', 'b756cef5-b3db-4d49-ab2c-883d721afa60']","[42.9, 47.0]",19431.0,Fernando Damián Tissone,9.0,Right Defensive Midfield,,,,,,,,,,,,"[43.5, 45.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.961
