id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,counterpress,under_pressure,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,pass_aerial_won,duel_type_id,duel_type_name,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,foul_won_defensive,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_aerial_won,shot_freeze_frame,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,off_camera,out,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_head,goalkeeper_end_location,pass_technique_id,pass_technique_name,pass_outswinging,pass_shot_assist,shot_first_time,foul_committed_advantage,foul_won_advantage,dribble_outcome_id,dribble_outcome_name,clearance_left_foot,block_save_block,foul_committed_card_id,foul_committed_card_name,pass_deflected,block_deflection,clearance_right_foot,clearance_other,pass_cut_back,clearance_aerial_won,ball_recovery_recovery_failure,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,bad_behaviour_card_id,bad_behaviour_card_name,dribble_nutmeg,block_offensive,pass_through_ball,50_50_outcome_id,50_50_outcome_name,shot_one_on_one,pass_inswinging,miscontrol_aerial_won,dribble_overrun,timestamp_seconds
c683585b-95e7-4977-bb82-cbf7de61d4c1,655,1,00:20:26.440,20,26,52,1.337141,43,Carry,218,Real Betis,4,From Throw In,218,Real Betis,,,"['812febf4-ed75-434b-a034-6151c2e69eda', 'd1edfa1e-c57c-4838-affe-1deaf940a3d3']","[32.5, 72.4]",6872.0,Bruno González Cabrera,3.0,Right Center Back,,,,,,,,,,,,"[34.5, 72.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1226.44
d1edfa1e-c57c-4838-affe-1deaf940a3d3,656,1,00:20:27.777,20,27,52,1.532211,30,Pass,218,Real Betis,4,From Throw In,218,Real Betis,,,['ee65aff0-bb65-4153-b954-398d361a13c3'],"[34.5, 72.4]",6872.0,Bruno González Cabrera,3.0,Right Center Back,27346.0,Petros Matheus dos Santos Araújo,22.638462,-1.0379524,1.0,Ground Pass,"[46.0, 52.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1227.777
ee65aff0-bb65-4153-b954-398d361a13c3,657,1,00:20:29.309,20,29,52,,42,Ball Receipt*,218,Real Betis,4,From Throw In,218,Real Betis,,,['d1edfa1e-c57c-4838-affe-1deaf940a3d3'],"[46.0, 52.9]",27346.0,Petros Matheus dos Santos Araújo,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1229.309
8c5f1b9d-6e68-4af9-bd89-2fadd7e3f75d,658,1,00:20:29.309,20,29,52,0.06273,43,Carry,218,Real Betis,4,From Throw In,218,Real Betis,,,"['3b736320-861c-43e0-8d5c-eb8df9da195c', 'ee65aff0-bb65-4153-b954-398d361a13c3']","[46.0, 52.9]",27346.0,Petros Matheus dos Santos Araújo,15.0,Left Center Midfield,,,,,,,,,,,,"[46.0, 52.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1229.309
3b736320-861c-43e0-8d5c-eb8df9da195c,659,1,00:20:29.372,20,29,52,1.293167,30,Pass,218,Real Betis,4,From Throw In,218,Real Betis,,,['dcc1b1ee-87ae-46c3-b465-91fcf2702631'],"[46.0, 52.9]",27346.0,Petros Matheus dos Santos Araújo,15.0,Left Center Midfield,27349.0,Heiko Westermann,19.679686,-2.4533606,1.0,Ground Pass,"[30.8, 40.4]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1229.372
dcc1b1ee-87ae-46c3-b465-91fcf2702631,660,1,00:20:30.665,20,30,52,,42,Ball Receipt*,218,Real Betis,4,From Throw In,218,Real Betis,,,['3b736320-861c-43e0-8d5c-eb8df9da195c'],"[30.8, 40.4]",27349.0,Heiko Westermann,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230.665
1ed2fdb7-eb84-4229-bbe2-5db4caf9d79f,661,1,00:20:30.665,20,30,52,0.759984,43,Carry,218,Real Betis,4,From Throw In,218,Real Betis,,,"['22479e63-9e24-4ea0-ba4f-c94e050a98fe', 'dcc1b1ee-87ae-46c3-b465-91fcf2702631']","[30.8, 40.4]",27349.0,Heiko Westermann,5.0,Left Center Back,,,,,,,,,,,,"[33.7, 36.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230.665
22479e63-9e24-4ea0-ba4f-c94e050a98fe,662,1,00:20:31.425,20,31,52,1.691948,30,Pass,218,Real Betis,4,From Throw In,218,Real Betis,,,['559119f4-7473-4215-8c7e-d8f46d7c4b5b'],"[33.7, 36.9]",27349.0,Heiko Westermann,5.0,Left Center Back,24132.0,Francisco Miguel Varela Martín,30.591011,-1.1173823,1.0,Ground Pass,"[47.1, 9.4]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1231.425
559119f4-7473-4215-8c7e-d8f46d7c4b5b,663,1,00:20:33.117,20,33,52,,42,Ball Receipt*,218,Real Betis,4,From Throw In,218,Real Betis,,,['22479e63-9e24-4ea0-ba4f-c94e050a98fe'],"[47.1, 9.4]",24132.0,Francisco Miguel Varela Martín,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1233.117
c3837a2f-facb-4313-b2a5-71284d7d7acf,664,1,00:20:33.117,20,33,52,1.416447,43,Carry,218,Real Betis,4,From Throw In,218,Real Betis,,,"['3f455e0c-e84b-4c10-b83b-30258bf93f79', '559119f4-7473-4215-8c7e-d8f46d7c4b5b']","[47.1, 9.4]",24132.0,Francisco Miguel Varela Martín,6.0,Left Back,,,,,,,,,,,,"[50.7, 7.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1233.117
3f455e0c-e84b-4c10-b83b-30258bf93f79,665,1,00:20:34.533,20,34,52,1.08618,30,Pass,218,Real Betis,4,From Throw In,218,Real Betis,,,['7359fefc-4a9c-4e90-a503-38cee23a901a'],"[50.7, 7.9]",24132.0,Francisco Miguel Varela Martín,6.0,Left Back,6651.0,Joaquín Sánchez Rodríguez,13.640015,-0.28232783,1.0,Ground Pass,"[63.8, 4.1]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234.533
7359fefc-4a9c-4e90-a503-38cee23a901a,666,1,00:20:35.620,20,35,52,,42,Ball Receipt*,218,Real Betis,4,From Throw In,218,Real Betis,,,['3f455e0c-e84b-4c10-b83b-30258bf93f79'],"[63.8, 4.1]",6651.0,Joaquín Sánchez Rodríguez,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235.62
e891c30f-4cf6-48c2-83e4-19906b569eed,667,1,00:20:35.620,20,35,52,1.14509,43,Carry,218,Real Betis,4,From Throw In,218,Real Betis,,,"['66386e80-af83-4ffe-a934-a8485b448166', '7359fefc-4a9c-4e90-a503-38cee23a901a', 'e8acc35d-9939-42fe-9aa3-b21eb91c6d9a']","[63.8, 4.1]",6651.0,Joaquín Sánchez Rodríguez,21.0,Left Wing,,,,,,,,,,,,"[60.8, 6.6]",,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235.62
66386e80-af83-4ffe-a934-a8485b448166,668,1,00:20:36.552,20,36,52,0.627832,17,Pressure,218,Real Betis,4,From Throw In,214,Espanyol,,,"['e891c30f-4cf6-48c2-83e4-19906b569eed', 'e8acc35d-9939-42fe-9aa3-b21eb91c6d9a']","[59.3, 73.5]",6838.0,Hernán Arsenio Pérez González,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1236.552
e8acc35d-9939-42fe-9aa3-b21eb91c6d9a,669,1,00:20:36.765,20,36,52,0.852998,30,Pass,218,Real Betis,4,From Throw In,218,Real Betis,,,"['23ff39c5-32ab-49ba-95b4-6784bd1722c1', '66386e80-af83-4ffe-a934-a8485b448166']","[60.8, 6.6]",6651.0,Joaquín Sánchez Rodríguez,21.0,Left Wing,6873.0,Francisco Portillo Soler,12.25765,0.8488965,1.0,Ground Pass,"[68.9, 15.8]",40.0,Right Foot,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1236.765
ea142a81-b841-4985-96e6-c91c353e431f,670,1,00:20:37.340,20,37,52,0.361131,17,Pressure,218,Real Betis,4,From Throw In,214,Espanyol,,,"['23ff39c5-32ab-49ba-95b4-6784bd1722c1', '283725f8-542c-4c39-a72b-508dbd232cc9']","[51.2, 64.3]",6758.0,Víctor Sánchez Mata,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.34
23ff39c5-32ab-49ba-95b4-6784bd1722c1,671,1,00:20:37.618,20,37,52,,42,Ball Receipt*,218,Real Betis,4,From Throw In,218,Real Betis,,,"['e8acc35d-9939-42fe-9aa3-b21eb91c6d9a', 'ea142a81-b841-4985-96e6-c91c353e431f']","[68.9, 15.8]",6873.0,Francisco Portillo Soler,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.618
283725f8-542c-4c39-a72b-508dbd232cc9,672,1,00:20:37.618,20,37,52,0.454957,43,Carry,218,Real Betis,4,From Throw In,218,Real Betis,,,"['23ff39c5-32ab-49ba-95b4-6784bd1722c1', 'a8de3b9b-50a4-43ab-8ae2-b9bbab1f261f', 'ea142a81-b841-4985-96e6-c91c353e431f']","[68.9, 15.8]",6873.0,Francisco Portillo Soler,19.0,Center Attacking Midfield,,,,,,,,,,,,"[71.6, 14.9]",,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.618
a8de3b9b-50a4-43ab-8ae2-b9bbab1f261f,673,1,00:20:38.073,20,38,52,0.0,38,Miscontrol,218,Real Betis,4,From Throw In,218,Real Betis,,,,"[71.6, 14.9]",6873.0,Francisco Portillo Soler,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1238.073
