id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,out,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,interception_outcome_id,interception_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,ball_recovery_recovery_failure,dribble_outcome_id,dribble_outcome_name,counterpress,duel_outcome_id,duel_outcome_name,clearance_left_foot,pass_switch,clearance_right_foot,pass_cross,pass_aerial_won,goalkeeper_outcome_id,goalkeeper_outcome_name,off_camera,miscontrol_aerial_won,foul_won_defensive,foul_committed_advantage,foul_won_advantage,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,pass_cut_back,pass_no_touch,foul_committed_card_id,foul_committed_card_name,shot_first_time,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_outswinging,pass_technique_id,pass_technique_name,pass_goal_assist,pass_through_ball,shot_one_on_one,pass_straight,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_nutmeg,block_save_block,pass_inswinging,shot_open_goal,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
f155856d-bdd7-4ed2-81d3-95bc7ec2630f,1325,1,00:42:51.518,42,51,88,,42,Ball Receipt*,218,Real Betis,3,From Free Kick,218,Real Betis,,,['69578c6a-db50-4153-97ad-438b68884f00'],"[99.4, 66.1]",26723.0,Álvaro Cejudo Carmona,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2571.518
0f4bf08f-dce3-4347-8e11-3b998561a3da,1326,1,00:42:51.518,42,51,88,1.725513,43,Carry,218,Real Betis,3,From Free Kick,218,Real Betis,,,"['396961aa-b180-4ba5-898b-39f40eb7ae8d', 'f155856d-bdd7-4ed2-81d3-95bc7ec2630f']","[99.4, 66.1]",26723.0,Álvaro Cejudo Carmona,12.0,Right Midfield,,,,,,,,,,,,"[96.5, 60.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2571.518
396961aa-b180-4ba5-898b-39f40eb7ae8d,1327,1,00:42:53.244,42,53,88,1.191505,30,Pass,218,Real Betis,3,From Free Kick,218,Real Betis,,,['7748aab3-ae98-4b63-8824-e07fc0355036'],"[96.5, 60.2]",26723.0,Álvaro Cejudo Carmona,12.0,Right Midfield,,,28.172682,-1.2041322,3.0,High Pass,"[106.6, 33.9]",38.0,Left Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2573.244
7748aab3-ae98-4b63-8824-e07fc0355036,1328,1,00:42:54.435,42,54,88,0.0,9,Clearance,218,Real Betis,3,From Free Kick,222,Villarreal,,,['396961aa-b180-4ba5-898b-39f40eb7ae8d'],"[13.5, 46.2]",3324.0,Eric Bertrand Bailly,3.0,Right Center Back,,,,,,,,,,,,,,,,,True,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2574.435
cb4d09d2-13ea-40bf-b186-df9a38095068,1329,1,00:42:56.354,42,56,88,0.0,2,Ball Recovery,218,Real Betis,3,From Free Kick,218,Real Betis,,,,"[100.7, 72.0]",26723.0,Álvaro Cejudo Carmona,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2576.354
981939f9-0f13-4861-a54a-74c8f5098385,1330,1,00:42:56.354,42,56,88,3.214621,43,Carry,218,Real Betis,3,From Free Kick,218,Real Betis,,,"['341301d2-add3-46e3-888c-4343f0926ab1', 'cb4d09d2-13ea-40bf-b186-df9a38095068']","[100.7, 72.0]",26723.0,Álvaro Cejudo Carmona,12.0,Right Midfield,,,,,,,,,,,,"[105.3, 71.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2576.354
341301d2-add3-46e3-888c-4343f0926ab1,1331,1,00:42:59.569,42,59,88,0.200695,30,Pass,218,Real Betis,3,From Free Kick,218,Real Betis,,,['cb3292f2-b280-4670-b3d9-fd33a7798ec2'],"[105.3, 71.1]",26723.0,Álvaro Cejudo Carmona,12.0,Right Midfield,,,6.935416,-1.469693,2.0,Low Pass,"[106.0, 64.2]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2579.569
cb3292f2-b280-4670-b3d9-fd33a7798ec2,1332,1,00:42:59.770,42,59,88,0.0,6,Block,218,Real Betis,3,From Free Kick,222,Villarreal,,,['341301d2-add3-46e3-888c-4343f0926ab1'],"[14.1, 15.9]",6828.0,Jaume Vicent Costa Jordá,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2579.77
58c3cc9b-2d64-4022-94dd-17110631d019,1333,1,00:43:00.929,43,0,88,2.65717,17,Pressure,218,Real Betis,3,From Free Kick,222,Villarreal,,,"['5f2a48e0-0a04-4681-898b-df601186dd70', '62f40a7f-bbc9-47bd-a6bb-ee78e3c70fc8', '67e1ac48-063e-423f-86f8-ece716ec681e']","[9.0, 20.4]",6828.0,Jaume Vicent Costa Jordá,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2580.929
5f2a48e0-0a04-4681-898b-df601186dd70,1334,1,00:43:01.615,43,1,88,0.0,2,Ball Recovery,218,Real Betis,3,From Free Kick,218,Real Betis,,,['58c3cc9b-2d64-4022-94dd-17110631d019'],"[116.1, 56.9]",6873.0,Francisco Portillo Soler,16.0,Left Midfield,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2581.615
