id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,counterpress,carry_end_location,under_pressure,dribble_overrun,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,miscontrol_aerial_won,duel_outcome_id,duel_outcome_name,clearance_head,clearance_body_part_id,clearance_body_part_name,dribble_nutmeg,out,clearance_aerial_won,pass_aerial_won,interception_outcome_id,interception_outcome_name,shot_statsbomb_xg,shot_end_location,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,50_50_outcome_id,50_50_outcome_name,clearance_left_foot,pass_no_touch,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,goalkeeper_end_location,pass_inswinging,pass_technique_id,pass_technique_name,clearance_other,shot_one_on_one,shot_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_right_foot,ball_recovery_recovery_failure,shot_first_time,pass_miscommunication,pass_cross,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,pass_through_ball,shot_saved_off_target,goalkeeper_shot_saved_off_target,foul_committed_advantage,foul_won_advantage,pass_outswinging,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,bad_behaviour_card_id,bad_behaviour_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_offensive,pass_goal_assist,timestamp_seconds
2c4732b6-d398-4951-b501-bdccbc836a29,387,1,00:10:11.989,10,11,24,1.460049,30,Pass,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,"['727349cb-0b31-4629-87d8-03a0148ef71d', 'b9fc1d96-0a40-46c8-bffb-ad77c4464046', 'de1ef91c-ef44-49be-8a16-199001ffa33e']",,"[42.4, 25.8]",6796.0,Nemanja Radoja,11.0,Left Defensive Midfield,7577.0,Carles Planas Antolínez,17.938786,-1.1820086,3.0,High Pass,"[49.2, 9.2]",37.0,Head,66.0,Recovery,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611.989
727349cb-0b31-4629-87d8-03a0148ef71d,388,1,00:10:13.449,10,13,24,,42,Ball Receipt*,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,['2c4732b6-d398-4951-b501-bdccbc836a29'],,"[45.0, 12.6]",7577.0,Carles Planas Antolínez,6.0,Left Back,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613.449
b9fc1d96-0a40-46c8-bffb-ad77c4464046,389,1,00:10:13.449,10,13,24,0.0,2,Ball Recovery,209,Celta Vigo,7,From Goal Kick,208,Las Palmas,,,['2c4732b6-d398-4951-b501-bdccbc836a29'],,"[70.9, 70.9]",6626.0,Mubarak Wakaso,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,613.449
32d9d43f-adce-4150-b137-ca5dd701d84b,390,1,00:10:14.735,10,14,24,1.766342,30,Pass,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,['8dc80e68-946d-455a-b6e7-819db87c80fe'],,"[44.3, 8.9]",7577.0,Carles Planas Antolínez,6.0,Left Back,7105.0,Fabián Ariel Orellana Valenzuela,18.474035,0.96627873,3.0,High Pass,"[54.8, 24.1]",38.0,Left Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.735
8dc80e68-946d-455a-b6e7-819db87c80fe,391,1,00:10:16.501,10,16,24,,42,Ball Receipt*,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,['32d9d43f-adce-4150-b137-ca5dd701d84b'],,"[54.8, 24.1]",7105.0,Fabián Ariel Orellana Valenzuela,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.501
b7937b93-507f-4317-97b7-28bbe505fe16,392,1,00:10:16.501,10,16,24,1.530216,43,Carry,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,"['4ece2cdc-ece9-492b-9075-b7216cba7595', '8dc80e68-946d-455a-b6e7-819db87c80fe', 'af10fc87-e2e4-437d-9d7b-29b25a016878']",,"[54.8, 24.1]",7105.0,Fabián Ariel Orellana Valenzuela,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,"[52.7, 17.5]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.501
af10fc87-e2e4-437d-9d7b-29b25a016878,393,1,00:10:17.331,10,17,24,0.567273,17,Pressure,209,Celta Vigo,7,From Goal Kick,208,Las Palmas,,,['b7937b93-507f-4317-97b7-28bbe505fe16'],,"[64.2, 61.8]",24144.0,Ángel Montoro Sánchez,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617.331
99d59af5-1926-41de-8310-c5764134d9bc,394,1,00:10:17.748,10,17,24,0.282885,17,Pressure,209,Celta Vigo,7,From Goal Kick,208,Las Palmas,,,,,"[68.9, 61.3]",6928.0,Pedro Taunausú Domínguez Placeres,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617.748
4ece2cdc-ece9-492b-9075-b7216cba7595,395,1,00:10:18.031,10,18,24,0.0,3,Dispossessed,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,['0ec39035-44a7-482e-8de3-bbc07e010993'],,"[52.7, 17.5]",7105.0,Fabián Ariel Orellana Valenzuela,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.031
0ec39035-44a7-482e-8de3-bbc07e010993,396,1,00:10:18.031,10,18,25,0.0,4,Duel,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['4ece2cdc-ece9-492b-9075-b7216cba7595'],,"[67.4, 62.6]",6928.0,Pedro Taunausú Domínguez Placeres,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,True,,True,,,,11.0,Tackle,,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.031
