id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_switch,out,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,pass_cross,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,off_camera,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,interception_outcome_id,interception_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,clearance_head,clearance_body_part_id,clearance_body_part_name,foul_won_defensive,dribble_overrun,dribble_outcome_id,dribble_outcome_name,clearance_left_foot,pass_outswinging,pass_technique_id,pass_technique_name,clearance_aerial_won,clearance_right_foot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_aerial_won,shot_one_on_one,pass_inswinging,ball_recovery_recovery_failure,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,foul_committed_advantage,foul_won_advantage,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_cut_back,pass_no_touch,pass_goal_assist,pass_through_ball,dribble_nutmeg,shot_deflected,block_deflection,timestamp_seconds
81186003-e497-4935-88e9-24562e0d377b,2145,2,00:07:44.068,52,44,104,2.3872,43,Carry,217,Barcelona,2,From Corner,217,Barcelona,,,"['be298af1-831c-4418-82e6-d2b62eb443db', 'deee04cc-d952-41f4-b5e8-f7e03cbe0d8f']","[40.7, 9.5]",5211.0,Jordi Alba Ramos,6.0,Left Back,,,,,,,,,,,,"[46.3, 10.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.068
deee04cc-d952-41f4-b5e8-f7e03cbe0d8f,2146,2,00:07:46.455,52,46,104,1.4016,30,Pass,217,Barcelona,2,From Corner,217,Barcelona,,,['e12b54e4-6c9f-43b1-bf23-05b88d8421d7'],"[46.3, 10.3]",5211.0,Jordi Alba Ramos,6.0,Left Back,5216.0,Andrés Iniesta Luján,15.837297,0.9740374,1.0,Ground Pass,"[55.2, 23.4]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.455
e12b54e4-6c9f-43b1-bf23-05b88d8421d7,2147,2,00:07:47.857,52,47,104,,42,Ball Receipt*,217,Barcelona,2,From Corner,217,Barcelona,,,['deee04cc-d952-41f4-b5e8-f7e03cbe0d8f'],"[55.2, 23.4]",5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.85699999999997
3fd1ddc3-fc9c-416f-9c53-ab3b55dcd3e6,2148,2,00:07:47.857,52,47,104,2.6728,43,Carry,217,Barcelona,2,From Corner,217,Barcelona,,,"['4cb22a26-ce34-445c-8a2c-c96addddf725', 'e12b54e4-6c9f-43b1-bf23-05b88d8421d7']","[55.2, 23.4]",5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,,,,,,,,,,,,"[65.2, 28.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.85699999999997
4cb22a26-ce34-445c-8a2c-c96addddf725,2149,2,00:07:50.529,52,50,104,1.701916,30,Pass,217,Barcelona,2,From Corner,217,Barcelona,,,['e08b856b-3e32-453d-b18e-9064763f1a65'],"[65.2, 28.5]",5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,5470.0,Ivan Rakitić,26.512074,1.6009759,1.0,Ground Pass,"[64.4, 55.0]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.529
e08b856b-3e32-453d-b18e-9064763f1a65,2150,2,00:07:52.231,52,52,104,,42,Ball Receipt*,217,Barcelona,2,From Corner,217,Barcelona,,,['4cb22a26-ce34-445c-8a2c-c96addddf725'],"[64.4, 55.0]",5470.0,Ivan Rakitić,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.231
b41c518a-7a66-4b1e-a06d-7c182d9f6361,2151,2,00:07:52.231,52,52,104,1.597884,43,Carry,217,Barcelona,2,From Corner,217,Barcelona,,,"['ba69f551-4be1-4faa-a8f0-59fbabb3ba8f', 'e08b856b-3e32-453d-b18e-9064763f1a65']","[64.4, 55.0]",5470.0,Ivan Rakitić,13.0,Right Center Midfield,,,,,,,,,,,,"[66.9, 61.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.231
ba69f551-4be1-4faa-a8f0-59fbabb3ba8f,2152,2,00:07:53.829,52,53,104,2.3838,30,Pass,217,Barcelona,2,From Corner,217,Barcelona,,,['ab6abd86-645a-46cd-a06b-3a6f12fcdddc'],"[66.9, 61.0]",5470.0,Ivan Rakitić,13.0,Right Center Midfield,4324.0,Daniel Alves da Silva,27.513815,0.58094627,1.0,Ground Pass,"[89.9, 76.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.829
ab6abd86-645a-46cd-a06b-3a6f12fcdddc,2153,2,00:07:56.213,52,56,104,,42,Ball Receipt*,217,Barcelona,2,From Corner,217,Barcelona,,,['ba69f551-4be1-4faa-a8f0-59fbabb3ba8f'],"[89.9, 76.1]",4324.0,Daniel Alves da Silva,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.213
746caeb9-3703-4d08-9e50-c4d93ca6f06a,2154,2,00:07:56.213,52,56,104,2.8802,43,Carry,217,Barcelona,2,From Corner,217,Barcelona,,,"['ab6abd86-645a-46cd-a06b-3a6f12fcdddc', 'bf17bf97-e169-42ed-8d09-061ed78d819f']","[89.9, 76.1]",4324.0,Daniel Alves da Silva,2.0,Right Back,,,,,,,,,,,,"[108.1, 68.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.213
bf17bf97-e169-42ed-8d09-061ed78d819f,2155,2,00:07:59.093,52,59,104,0.7554,30,Pass,217,Barcelona,2,From Corner,217,Barcelona,,,['6fd3c829-b939-419e-af10-e8b7ece4623f'],"[108.1, 68.5]",4324.0,Daniel Alves da Silva,2.0,Right Back,5246.0,Luis Alberto Suárez Díaz,11.016352,-1.5163049,1.0,Ground Pass,"[108.7, 57.5]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.093
6fd3c829-b939-419e-af10-e8b7ece4623f,2156,2,00:07:59.849,52,59,104,,42,Ball Receipt*,217,Barcelona,2,From Corner,217,Barcelona,,,['bf17bf97-e169-42ed-8d09-061ed78d819f'],"[108.7, 57.5]",5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.849
cfb4ba6f-6142-4dd6-bbe3-d78b18784374,2157,2,00:07:59.849,52,59,104,1.385,30,Pass,217,Barcelona,2,From Corner,217,Barcelona,,,"['6406c6f3-74c3-4102-b1a4-f54b11f86673', '66ea38fe-70d1-41e8-abe2-e969d808eacc']","[108.7, 57.3]",5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,4324.0,Daniel Alves da Silva,9.535198,0.16859694,1.0,Ground Pass,"[118.1, 58.9]",38.0,Left Foot,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.849
66ea38fe-70d1-41e8-abe2-e969d808eacc,2158,2,00:08:01.234,53,1,104,,42,Ball Receipt*,217,Barcelona,2,From Corner,217,Barcelona,,,['cfb4ba6f-6142-4dd6-bbe3-d78b18784374'],"[114.6, 58.7]",4324.0,Daniel Alves da Silva,2.0,Right Back,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.234
6406c6f3-74c3-4102-b1a4-f54b11f86673,2159,2,00:08:01.234,53,1,104,0.0,9,Clearance,217,Barcelona,2,From Corner,219,RC Deportivo La Coruña,,,['cfb4ba6f-6142-4dd6-bbe3-d78b18784374'],"[2.9, 22.1]",6777.0,Sidnei Rechel da Silva Júnior,5.0,Left Center Back,,,,,,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,Right Foot,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,481.234
ca5a5f13-5ae2-4a7e-a9ca-87c47a9ad444,2160,2,00:08:23.774,53,23,105,2.2561,30,Pass,217,Barcelona,2,From Corner,217,Barcelona,,,['400a3c6a-6b5c-4b53-9853-d1cd1d1a61f0'],"[120.0, 80.0]",4324.0,Daniel Alves da Silva,2.0,Right Back,5470.0,Ivan Rakitić,20.649456,-2.7646835,1.0,Ground Pass,"[100.8, 72.4]",40.0,Right Foot,61.0,Corner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.774
400a3c6a-6b5c-4b53-9853-d1cd1d1a61f0,2161,2,00:08:26.030,53,26,105,,42,Ball Receipt*,217,Barcelona,2,From Corner,217,Barcelona,,,['ca5a5f13-5ae2-4a7e-a9ca-87c47a9ad444'],"[100.8, 72.4]",5470.0,Ivan Rakitić,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.03
3482e098-f523-4f70-ad8c-dd2242775d53,2162,2,00:08:26.030,53,26,105,4.2681,43,Carry,217,Barcelona,2,From Corner,217,Barcelona,,,"['400a3c6a-6b5c-4b53-9853-d1cd1d1a61f0', '57007879-04b2-4066-8e16-a6c7732995ee', 'd3915c09-2912-4ee2-80e3-d12b688fd568']","[100.8, 72.4]",5470.0,Ivan Rakitić,13.0,Right Center Midfield,,,,,,,,,,,,"[95.7, 71.4]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.03
d3915c09-2912-4ee2-80e3-d12b688fd568,2163,2,00:08:29.394,53,29,105,0.708825,17,Pressure,217,Barcelona,2,From Corner,219,RC Deportivo La Coruña,,,['3482e098-f523-4f70-ad8c-dd2242775d53'],"[20.7, 5.5]",24234.0,Juan Domínguez Lamas,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.394
57007879-04b2-4066-8e16-a6c7732995ee,2164,2,00:08:30.298,53,30,105,0.819598,30,Pass,217,Barcelona,2,From Corner,217,Barcelona,,,['b0b0c0bb-efb9-4c07-af66-480e614e0758'],"[95.7, 71.4]",5470.0,Ivan Rakitić,13.0,Right Center Midfield,5203.0,Sergio Busquets i Burgos,19.928873,-1.0217712,2.0,Low Pass,"[106.1, 54.4]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.298
b0b0c0bb-efb9-4c07-af66-480e614e0758,2165,2,00:08:31.117,53,31,105,,42,Ball Receipt*,217,Barcelona,2,From Corner,217,Barcelona,,,['57007879-04b2-4066-8e16-a6c7732995ee'],"[106.1, 54.4]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.117
