id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_switch,pass_outcome_id,pass_outcome_name,carry_end_location,ball_receipt_outcome_id,ball_receipt_outcome_name,out,counterpress,ball_recovery_recovery_failure,under_pressure,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_aerial_won,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,interception_outcome_id,interception_outcome_name,pass_aerial_won,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_inswinging,pass_technique_id,pass_technique_name,foul_committed_advantage,foul_won_advantage,pass_outswinging,clearance_head,50_50_outcome_id,50_50_outcome_name,foul_won_defensive,dribble_overrun,block_offensive,shot_first_time,clearance_aerial_won,pass_no_touch,pass_goal_assist,shot_open_goal,dribble_nutmeg,clearance_left_foot,bad_behaviour_card_id,bad_behaviour_card_name,miscontrol_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_card_id,foul_committed_card_name,pass_through_ball,pass_cut_back,pass_miscommunication,ball_recovery_offensive,block_save_block,timestamp_seconds
13d44881-31a1-461d-86fc-fceeed6db18c,2929,2,00:29:31.056,74,31,154,,42,Ball Receipt*,222,Villarreal,4,From Throw In,222,Villarreal,,,['80013c1d-508c-40f0-a4d7-0ed02391c94c'],,"[44.6, 66.2]",6783.0,Samuel García Sánchez,12.0,Right Midfield,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1771.056
9678de01-c491-489b-8ae8-33c2a00e4263,2930,2,00:29:31.056,74,31,154,0.0,10,Interception,222,Villarreal,4,From Throw In,1041,Sporting Gijón,,,['80013c1d-508c-40f0-a4d7-0ed02391c94c'],,"[75.1, 10.9]",18398.0,Omar Mascarell González,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1771.056
636545e3-37a0-4c0c-b86e-f75496578842,2931,2,00:29:31.056,74,31,154,1.018498,43,Carry,222,Villarreal,4,From Throw In,1041,Sporting Gijón,,,"['9678de01-c491-489b-8ae8-33c2a00e4263', 'b263993f-1a07-41ea-8d66-fd83ec56bd35']",,"[75.1, 10.9]",18398.0,Omar Mascarell González,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,"[70.4, 12.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1771.056
b263993f-1a07-41ea-8d66-fd83ec56bd35,2932,2,00:29:32.074,74,32,154,1.227076,30,Pass,222,Villarreal,4,From Throw In,1041,Sporting Gijón,,,['966e5289-bab9-4ea6-b33b-444b9f2d1077'],,"[70.4, 12.8]",18398.0,Omar Mascarell González,11.0,Left Defensive Midfield,18925.0,Ignacio Cases Mora,7.0114193,1.6278771,1.0,Ground Pass,"[70.0, 19.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1772.074
fb1c352e-9a57-4ab6-ad60-4f65ab03f757,2933,2,00:29:32.280,74,32,154,0.3,17,Pressure,222,Villarreal,4,From Throw In,222,Villarreal,,,,,"[48.6, 62.0]",6783.0,Samuel García Sánchez,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1772.28
966e5289-bab9-4ea6-b33b-444b9f2d1077,2934,2,00:29:33.301,74,33,154,,42,Ball Receipt*,222,Villarreal,4,From Throw In,1041,Sporting Gijón,,,['b263993f-1a07-41ea-8d66-fd83ec56bd35'],,"[70.0, 19.8]",18925.0,Ignacio Cases Mora,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1773.301
a8edbb04-766b-4215-8193-73a0d0060436,2935,2,00:29:33.301,74,33,154,1.594192,43,Carry,222,Villarreal,4,From Throw In,1041,Sporting Gijón,,,"['73f00b6f-0a86-447e-bd42-f48941110d48', '966e5289-bab9-4ea6-b33b-444b9f2d1077', 'f92adc1f-2848-4285-9569-c2d031e42f40']",,"[70.0, 19.8]",18925.0,Ignacio Cases Mora,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,"[71.5, 17.3]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1773.301
f92adc1f-2848-4285-9569-c2d031e42f40,2936,2,00:29:34.033,74,34,154,0.657015,17,Pressure,222,Villarreal,4,From Throw In,222,Villarreal,,,['a8edbb04-766b-4215-8193-73a0d0060436'],,"[48.0, 63.7]",6761.0,Leonardo Carrilho Baptistão,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1774.033
73f00b6f-0a86-447e-bd42-f48941110d48,2937,2,00:29:34.896,74,34,154,0.0,3,Dispossessed,222,Villarreal,4,From Throw In,1041,Sporting Gijón,,,['0ff7230e-49b5-4e1b-9d86-80c42d191a1e'],,"[71.5, 17.3]",18925.0,Ignacio Cases Mora,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1774.896
0ff7230e-49b5-4e1b-9d86-80c42d191a1e,2938,2,00:29:34.896,74,34,154,0.0,4,Duel,222,Villarreal,4,From Throw In,222,Villarreal,,,['73f00b6f-0a86-447e-bd42-f48941110d48'],,"[48.6, 62.8]",6761.0,Leonardo Carrilho Baptistão,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,True,,True,11.0,Tackle,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1774.896
