id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,counterpress,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,foul_won_defensive,interception_outcome_id,interception_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,dribble_overrun,dribble_outcome_id,dribble_outcome_name,pass_aerial_won,foul_committed_type_id,foul_committed_type_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_first_time,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,pass_no_touch,out,foul_committed_advantage,foul_won_advantage,miscontrol_aerial_won,pass_technique_id,pass_technique_name,pass_through_ball,pass_inswinging,clearance_head,clearance_aerial_won,pass_cross,pass_outswinging,clearance_left_foot,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_deflected,shot_aerial_won,shot_one_on_one,foul_committed_card_id,foul_committed_card_name,ball_recovery_recovery_failure,pass_miscommunication,block_deflection,bad_behaviour_card_id,bad_behaviour_card_name,injury_stoppage_in_chain,pass_goal_assist,foul_committed_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_penalty,foul_won_penalty,timestamp_seconds
898bd6ab-d98b-4308-8f7b-d88d8bcce9aa,1723,1,00:42:49.551,42,49,88,0.8326,30,Pass,222,Villarreal,1,Regular Play,222,Villarreal,,,['aa4dbfd5-c483-4efb-8d63-8b7211805660'],,"[28.8, 29.6]",6827.0,Daniele Bonera,3.0,Right Center Back,22819.0,Bruno Soriano Llido,8.30542,-0.03612885,2.0,Low Pass,"[37.1, 29.3]",,,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2569.551
aa4dbfd5-c483-4efb-8d63-8b7211805660,1724,1,00:42:50.383,42,50,88,,42,Ball Receipt*,222,Villarreal,1,Regular Play,222,Villarreal,,,['898bd6ab-d98b-4308-8f7b-d88d8bcce9aa'],,"[37.1, 29.3]",22819.0,Bruno Soriano Llido,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2570.383
f5969442-8e37-46c8-bb22-4575b103d1cd,1725,1,00:42:50.383,42,50,88,0.749634,43,Carry,222,Villarreal,1,Regular Play,222,Villarreal,,,"['7b3cc70a-9e65-42ef-8af3-5787b9e52153', 'aa4dbfd5-c483-4efb-8d63-8b7211805660']",,"[37.1, 29.3]",22819.0,Bruno Soriano Llido,10.0,Center Defensive Midfield,,,,,,,,,,,,"[37.1, 29.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2570.383
7b3cc70a-9e65-42ef-8af3-5787b9e52153,1726,1,00:42:51.133,42,51,88,0.6,30,Pass,222,Villarreal,1,Regular Play,222,Villarreal,,,['a3edf912-791a-49fa-b60d-8c91d5c71b1b'],,"[37.1, 29.3]",22819.0,Bruno Soriano Llido,10.0,Center Defensive Midfield,6357.0,Jonathan dos Santos Ramírez,5.2611785,-1.418147,1.0,Ground Pass,"[37.9, 24.1]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2571.133
a3edf912-791a-49fa-b60d-8c91d5c71b1b,1727,1,00:42:51.733,42,51,88,,42,Ball Receipt*,222,Villarreal,1,Regular Play,222,Villarreal,,,['7b3cc70a-9e65-42ef-8af3-5787b9e52153'],,"[37.9, 24.1]",6357.0,Jonathan dos Santos Ramírez,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2571.733
527782d5-9a4f-47be-8de1-6e866bbc5feb,1728,1,00:42:51.733,42,51,88,0.4,43,Carry,222,Villarreal,1,Regular Play,222,Villarreal,,,"['24b7c510-e20a-4ab4-95d2-8aeb802fa580', 'a3edf912-791a-49fa-b60d-8c91d5c71b1b']",,"[37.9, 24.1]",6357.0,Jonathan dos Santos Ramírez,15.0,Left Center Midfield,,,,,,,,,,,,"[37.9, 24.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2571.733
24b7c510-e20a-4ab4-95d2-8aeb802fa580,1729,1,00:42:52.133,42,52,88,0.580315,30,Pass,222,Villarreal,1,Regular Play,222,Villarreal,,,['6ee53d49-e1d3-4a38-86bf-1c0fc9339228'],,"[37.9, 24.1]",6357.0,Jonathan dos Santos Ramírez,15.0,Left Center Midfield,22819.0,Bruno Soriano Llido,4.8083262,1.8662372,1.0,Ground Pass,"[36.5, 28.7]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2572.133
6ee53d49-e1d3-4a38-86bf-1c0fc9339228,1730,1,00:42:52.713,42,52,88,,42,Ball Receipt*,222,Villarreal,1,Regular Play,222,Villarreal,,,['24b7c510-e20a-4ab4-95d2-8aeb802fa580'],,"[36.5, 28.7]",22819.0,Bruno Soriano Llido,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2572.713
9e93fe4f-572f-414a-ab68-5194531102fd,1731,1,00:42:52.713,42,52,88,0.84754,43,Carry,222,Villarreal,1,Regular Play,222,Villarreal,,,"['6ee53d49-e1d3-4a38-86bf-1c0fc9339228', 'c3190a28-a9c6-4ef9-a0c5-741db1316e62']",,"[36.5, 28.7]",22819.0,Bruno Soriano Llido,10.0,Center Defensive Midfield,,,,,,,,,,,,"[34.8, 37.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2572.713
c3190a28-a9c6-4ef9-a0c5-741db1316e62,1732,1,00:42:53.561,42,53,88,1.289739,30,Pass,222,Villarreal,1,Regular Play,222,Villarreal,,,['b7985855-c231-4c6d-af8a-3c30d62364d1'],,"[34.8, 37.0]",22819.0,Bruno Soriano Llido,10.0,Center Defensive Midfield,6772.0,Mario Gaspar Pérez Martínez,17.822739,1.5202775,1.0,Ground Pass,"[35.7, 54.8]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2573.561
