id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,counterpress,duel_outcome_id,duel_outcome_name,pass_switch,interception_outcome_id,interception_outcome_name,pass_deflected,dribble_outcome_id,dribble_outcome_name,off_camera,ball_recovery_recovery_failure,pass_no_touch,out,miscontrol_aerial_won,pass_cross,goalkeeper_end_location,foul_won_defensive,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,dribble_nutmeg,dribble_overrun,pass_technique_id,pass_technique_name,pass_inswinging,50_50_outcome_id,50_50_outcome_name,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,clearance_head,pass_outswinging,shot_aerial_won,foul_committed_advantage,foul_won_advantage,clearance_aerial_won,clearance_left_foot,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_cut_back,shot_deflected,block_deflection,pass_goal_assist,shot_one_on_one,foul_committed_type_id,foul_committed_type_name,pass_straight,pass_through_ball,timestamp_seconds
2424ce9a-50a9-4726-95ad-63dd080d76a3,1113,1,00:27:31.051,27,31,54,0.794955,30,Pass,207,Valencia,4,From Throw In,207,Valencia,,,"['07638221-7210-4560-9d08-0f2313e9ea06', '6b500977-350b-43a5-8f29-7e32fafc4d56']","[43.4, 7.6]",6751.0,Javier Fuego Martínez,15.0,Left Center Midfield,26780.0,Guilherme Magdalena Siqueira,6.9339743,-2.56159,2.0,Low Pass,"[37.6, 3.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1651.051
6b500977-350b-43a5-8f29-7e32fafc4d56,1114,1,00:27:31.846,27,31,54,,42,Ball Receipt*,207,Valencia,4,From Throw In,207,Valencia,,,"['07638221-7210-4560-9d08-0f2313e9ea06', '2424ce9a-50a9-4726-95ad-63dd080d76a3']","[37.6, 3.8]",26780.0,Guilherme Magdalena Siqueira,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1651.846
655c2eb5-2c14-4f3f-bf9b-997372bc80e3,1115,1,00:27:31.846,27,31,54,0.177796,43,Carry,207,Valencia,4,From Throw In,207,Valencia,,,"['07638221-7210-4560-9d08-0f2313e9ea06', '6b500977-350b-43a5-8f29-7e32fafc4d56', '86dfb47b-9621-45ae-8459-bfb8bd58873a', '9bc9c159-4db8-4ef1-b258-dd9dc52a48ea']","[37.6, 3.8]",26780.0,Guilherme Magdalena Siqueira,6.0,Left Back,,,,,,,,,,,,"[35.5, 5.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1651.846
9bc9c159-4db8-4ef1-b258-dd9dc52a48ea,1116,1,00:27:32.023,27,32,54,0.0,39,Dribbled Past,207,Valencia,4,From Throw In,216,Getafe,,,"['23537e71-5020-4b9c-8ff1-a3cf979a60f4', '655c2eb5-2c14-4f3f-bf9b-997372bc80e3', '86dfb47b-9621-45ae-8459-bfb8bd58873a']","[84.6, 74.9]",11675.0,Moisés Gómez Bordonado,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1652.023
86dfb47b-9621-45ae-8459-bfb8bd58873a,1117,1,00:27:32.023,27,32,54,0.0,14,Dribble,207,Valencia,4,From Throw In,207,Valencia,,,"['07638221-7210-4560-9d08-0f2313e9ea06', '9bc9c159-4db8-4ef1-b258-dd9dc52a48ea']","[35.5, 5.2]",26780.0,Guilherme Magdalena Siqueira,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1652.023
23537e71-5020-4b9c-8ff1-a3cf979a60f4,1118,1,00:27:32.023,27,32,54,3.811308,43,Carry,207,Valencia,4,From Throw In,207,Valencia,,,"['07638221-7210-4560-9d08-0f2313e9ea06', '86dfb47b-9621-45ae-8459-bfb8bd58873a', '9bc9c159-4db8-4ef1-b258-dd9dc52a48ea', 'e3bca6c7-b6d5-4576-a468-0da794b4a1a7', 'ef584255-6348-4b9e-aeb1-79cf75899182']","[35.5, 5.2]",26780.0,Guilherme Magdalena Siqueira,6.0,Left Back,,,,,,,,,,,,"[44.9, 20.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1652.023
e3bca6c7-b6d5-4576-a468-0da794b4a1a7,1119,1,00:27:33.246,27,33,54,2.517784,17,Pressure,207,Valencia,4,From Throw In,216,Getafe,,,['23537e71-5020-4b9c-8ff1-a3cf979a60f4'],"[86.2, 71.2]",11675.0,Moisés Gómez Bordonado,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1653.246
ef584255-6348-4b9e-aeb1-79cf75899182,1120,1,00:27:35.835,27,35,54,2.479131,30,Pass,207,Valencia,4,From Throw In,207,Valencia,,,['b4eb5ebf-6c35-4c7b-a135-1e1788699cee'],"[44.9, 20.9]",26780.0,Guilherme Magdalena Siqueira,6.0,Left Back,6663.0,Antonio Barragán Fernández,42.428764,1.4669063,3.0,High Pass,"[49.3, 63.1]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1655.835
b4eb5ebf-6c35-4c7b-a135-1e1788699cee,1121,1,00:27:38.314,27,38,54,,42,Ball Receipt*,207,Valencia,4,From Throw In,207,Valencia,,,['ef584255-6348-4b9e-aeb1-79cf75899182'],"[49.3, 63.1]",6663.0,Antonio Barragán Fernández,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1658.314
9440e2e4-08e4-4a5e-8121-9adc83f0c2df,1122,1,00:27:38.314,27,38,54,1.477698,43,Carry,207,Valencia,4,From Throw In,207,Valencia,,,"['02cc722d-05bf-419c-b319-034239a6d337', 'b4eb5ebf-6c35-4c7b-a135-1e1788699cee']","[49.3, 63.1]",6663.0,Antonio Barragán Fernández,2.0,Right Back,,,,,,,,,,,,"[42.8, 56.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1658.314
