id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,foul_won_defensive,off_camera,pass_switch,counterpress,interception_outcome_id,interception_outcome_name,ball_recovery_recovery_failure,duel_type_id,duel_type_name,pass_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,out,pass_technique_id,pass_technique_name,pass_outswinging,clearance_head,duel_outcome_id,duel_outcome_name,foul_committed_advantage,foul_won_advantage,pass_cross,clearance_left_foot,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_first_time,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,foul_committed_card_id,foul_committed_card_name,dribble_outcome_id,dribble_outcome_name,goalkeeper_outcome_id,goalkeeper_outcome_name,miscontrol_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,dribble_nutmeg,pass_goal_assist,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,clearance_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_inswinging,pass_through_ball,shot_one_on_one,block_offensive,pass_miscommunication,pass_cut_back,shot_saved_to_post,goalkeeper_shot_saved_to_post,timestamp_seconds
7d77479d-5661-448c-8e22-c5800f5560a4,1663,1,00:44:55.407,44,55,120,0.34449,43,Carry,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['0e213ff0-b4ca-4b67-9ca6-99cc4652eaa8', '5334b9ba-8e7e-4d94-b907-1ae41bdc7058', 'c360a22f-ed8e-4f79-b8ab-fe219c569ed2']","[39.8, 52.4]",8440.0,Aythami Artiles Oliva,3.0,Right Center Back,,,,,,,,,,,,"[40.3, 50.6]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2695.407
5334b9ba-8e7e-4d94-b907-1ae41bdc7058,1664,1,00:44:55.752,44,55,120,2.061739,30,Pass,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['c360a22f-ed8e-4f79-b8ab-fe219c569ed2', 'dcf9919e-e00d-41bf-924a-2ff2215235bd']","[40.3, 50.6]",8440.0,Aythami Artiles Oliva,3.0,Right Center Back,26753.0,Javier Varas Herrera,27.635485,-3.0109541,1.0,Ground Pass,"[12.9, 47.0]",,,40.0,Right Foot,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2695.752
dcf9919e-e00d-41bf-924a-2ff2215235bd,1665,1,00:44:57.813,44,57,120,,42,Ball Receipt*,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['5334b9ba-8e7e-4d94-b907-1ae41bdc7058'],"[12.9, 47.0]",26753.0,Javier Varas Herrera,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2697.813
daa4438d-f8d4-4910-9843-192ffd578eb3,1666,1,00:44:57.813,44,57,120,1.73045,43,Carry,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['395ce33b-663c-45a6-8dbc-7ccde62191c3', '71c502fa-5e34-4c23-bbaf-239c5a068e4e', 'dcf9919e-e00d-41bf-924a-2ff2215235bd']","[12.9, 47.0]",26753.0,Javier Varas Herrera,1.0,Goalkeeper,,,,,,,,,,,,"[15.9, 47.7]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2697.813
71c502fa-5e34-4c23-bbaf-239c5a068e4e,1667,1,00:44:58.299,44,58,120,1.048632,17,Pressure,208,Las Palmas,1,Regular Play,210,Real Sociedad,,,['daa4438d-f8d4-4910-9843-192ffd578eb3'],"[103.2, 34.6]",6677.0,Imanol Agirretxe Arruti,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2698.299
02fc7083-468a-42c3-b46b-c48c82ed6a3a,1668,1,00:44:59.544,44,59,120,0.0,39,Dribbled Past,208,Las Palmas,1,Regular Play,210,Real Sociedad,,,"['054946b7-13a1-4de2-afcf-bb931d5a84a1', '395ce33b-663c-45a6-8dbc-7ccde62191c3']","[104.2, 32.4]",6677.0,Imanol Agirretxe Arruti,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2699.544
395ce33b-663c-45a6-8dbc-7ccde62191c3,1669,1,00:44:59.544,44,59,120,0.0,14,Dribble,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['02fc7083-468a-42c3-b46b-c48c82ed6a3a'],"[15.9, 47.7]",26753.0,Javier Varas Herrera,1.0,Goalkeeper,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,2699.544
054946b7-13a1-4de2-afcf-bb931d5a84a1,1670,1,00:44:59.544,44,59,120,2.284059,43,Carry,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['02fc7083-468a-42c3-b46b-c48c82ed6a3a', '395ce33b-663c-45a6-8dbc-7ccde62191c3', '5c1be5c8-ebd1-4908-88d8-6e7593355355']","[15.9, 47.7]",26753.0,Javier Varas Herrera,1.0,Goalkeeper,,,,,,,,,,,,"[16.5, 46.4]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2699.544
5c1be5c8-ebd1-4908-88d8-6e7593355355,1671,1,00:45:01.828,45,1,120,5.508677,30,Pass,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['53e490c9-37ff-4f80-9971-e9512b2c9574', 'f2b79e86-1ad6-4125-b526-32c808bee09c']","[16.5, 46.4]",26753.0,Javier Varas Herrera,1.0,Goalkeeper,6608.0,Nabil El Zhar,65.239555,0.3537474,3.0,High Pass,"[77.7, 69.0]",,,40.0,Right Foot,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2701.828
f2b79e86-1ad6-4125-b526-32c808bee09c,1672,1,00:45:07.337,45,7,120,,42,Ball Receipt*,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['5c1be5c8-ebd1-4908-88d8-6e7593355355'],"[71.9, 61.8]",6608.0,Nabil El Zhar,12.0,Right Midfield,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2707.337
