id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,interception_outcome_id,interception_outcome_name,counterpress,dribble_outcome_id,dribble_outcome_name,pass_switch,off_camera,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_aerial_won,foul_committed_type_id,foul_committed_type_name,pass_through_ball,pass_technique_id,pass_technique_name,duel_outcome_id,duel_outcome_name,out,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_no_touch,foul_won_defensive,shot_first_time,dribble_overrun,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_right_foot,foul_committed_advantage,foul_won_advantage,pass_inswinging,miscontrol_aerial_won,ball_recovery_recovery_failure,clearance_left_foot,pass_outswinging,foul_committed_penalty,foul_won_penalty,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_deflected,block_deflection,bad_behaviour_card_id,bad_behaviour_card_name,50_50_outcome_id,50_50_outcome_name,foul_committed_card_id,foul_committed_card_name,shot_one_on_one,foul_committed_offensive,dribble_nutmeg,pass_miscommunication,injury_stoppage_in_chain,timestamp_seconds
05e3a090-03ce-4366-89fa-67a01e38b82c,2064,2,00:14:32.143,59,32,136,0.0,10,Interception,207,Valencia,1,Regular Play,207,Valencia,,,"['e9b58830-5e09-4ab7-85c0-ad09a3643ded', 'e9b5cdd6-7be6-4085-a091-4e0257992ba4']","[20.8, 17.8]",6596.0,José Luis Gayà Peña,6.0,Left Back,,,,,,,,,,,,,True,,,,,,,,,,,4.0,Won,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872.143
ec2aaa0a-69da-4db5-8c8f-fe71f1319886,2065,2,00:14:32.143,59,32,136,1.853406,43,Carry,207,Valencia,1,Regular Play,207,Valencia,,,"['05e3a090-03ce-4366-89fa-67a01e38b82c', 'e9b58830-5e09-4ab7-85c0-ad09a3643ded', 'f1bd83d6-778b-4714-a214-a013b36c2bd3']","[20.8, 17.8]",6596.0,José Luis Gayà Peña,6.0,Left Back,,,,,,,,,,,,"[3.9, 13.4]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872.143
f1bd83d6-778b-4714-a214-a013b36c2bd3,2066,2,00:14:33.997,59,33,136,0.0,38,Miscontrol,207,Valencia,1,Regular Play,207,Valencia,,,['e9b58830-5e09-4ab7-85c0-ad09a3643ded'],"[3.9, 13.4]",6596.0,José Luis Gayà Peña,6.0,Left Back,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873.997
2df6b5c5-e40e-4ef0-b1e8-0e7d6928f708,2067,2,00:15:12.770,60,12,137,2.371724,30,Pass,1041,Sporting Gijón,2,From Corner,1041,Sporting Gijón,,,,"[120.0, 80.0]",27526.0,Rachid Aït-Atmane,9.0,Right Defensive Midfield,,,45.631676,-1.8918539,3.0,High Pass,"[105.6, 36.7]",40.0,Right Foot,61.0,Corner,,,77.0,Unknown,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,Outswinging,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,912.77
c0098e92-c7a1-44be-bd36-b9e1dd512ea3,2068,2,00:15:15.142,60,15,137,0.0,22,Foul Committed,1041,Sporting Gijón,2,From Corner,1041,Sporting Gijón,,,,"[105.6, 36.7]",13107.0,Sergio Álvarez Díaz,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,Handball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915.142
165a586e-cb25-495a-b2a0-74834e7975d4,2069,2,00:15:27.924,60,27,138,1.275635,30,Pass,207,Valencia,3,From Free Kick,207,Valencia,,,['9e2e1c6f-81ae-47ce-b805-d05286ea9c4f'],"[14.7, 40.5]",5741.0,Enzo Nicolás Pérez,10.0,Center Defensive Midfield,10802.0,André Filipe Tavares Gomes,17.280336,-0.99563414,1.0,Ground Pass,"[24.1, 26.0]",38.0,Left Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927.924
9e2e1c6f-81ae-47ce-b805-d05286ea9c4f,2070,2,00:15:29.199,60,29,138,,42,Ball Receipt*,207,Valencia,3,From Free Kick,207,Valencia,,,['165a586e-cb25-495a-b2a0-74834e7975d4'],"[24.1, 26.0]",10802.0,André Filipe Tavares Gomes,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929.199
f5012f62-a745-49a7-92aa-137511fb69d1,2071,2,00:15:30.002,60,30,138,1.973614,30,Pass,207,Valencia,3,From Free Kick,207,Valencia,,,['855cc9d8-5ed0-4be6-a891-f12a0a940323'],"[35.2, 24.0]",10802.0,André Filipe Tavares Gomes,15.0,Left Center Midfield,5741.0,Enzo Nicolás Pérez,22.211033,1.6023175,1.0,Ground Pass,"[34.5, 46.2]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930.002
855cc9d8-5ed0-4be6-a891-f12a0a940323,2072,2,00:15:31.975,60,31,138,,42,Ball Receipt*,207,Valencia,3,From Free Kick,207,Valencia,,,['f5012f62-a745-49a7-92aa-137511fb69d1'],"[34.5, 46.2]",5741.0,Enzo Nicolás Pérez,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,931.975
9368b09f-2d7a-4a99-a518-6c5ad38d2374,2073,2,00:15:33.098,60,33,138,1.791098,30,Pass,207,Valencia,3,From Free Kick,207,Valencia,,,['4ad4a13c-3fba-4b14-bf24-c5c0fa5cc184'],"[34.5, 47.6]",5741.0,Enzo Nicolás Pérez,10.0,Center Defensive Midfield,3638.0,Shkodran Mustafi,13.13659,0.8770327,1.0,Ground Pass,"[42.9, 57.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933.098
