id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,counterpress,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,duel_type_id,duel_type_name,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,clearance_aerial_won,clearance_head,dribble_overrun,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,pass_cross,pass_switch,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_aerial_won,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,block_offensive,pass_through_ball,pass_technique_id,pass_technique_name,interception_outcome_id,interception_outcome_name,shot_first_time,out,ball_recovery_recovery_failure,pass_miscommunication,pass_outswinging,foul_committed_type_id,foul_committed_type_name,clearance_other,foul_committed_advantage,foul_won_advantage,pass_inswinging,goalkeeper_punched_out,pass_cut_back,miscontrol_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_no_touch,goalkeeper_technique_id,goalkeeper_technique_name,clearance_left_foot,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_deflected,block_deflection,ball_recovery_offensive,injury_stoppage_in_chain,bad_behaviour_card_id,bad_behaviour_card_name,dribble_nutmeg,timestamp_seconds
ce2924dd-c7b7-46f6-81d8-996347b67414,1952,2,00:07:51.413,52,51,130,,42,Ball Receipt*,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['7f828d2a-7978-41bd-a3d9-4f8981ae523d'],,"[86.0, 58.1]",5199.0,Jorge Resurrección Merodio,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.413
9fb903cb-95f3-49a9-94ac-3e79bdf24bae,1953,2,00:07:51.413,52,51,130,1.490702,30,Pass,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['97c86549-29e9-437f-b704-cdb33e450980'],,"[86.0, 58.1]",5199.0,Jorge Resurrección Merodio,12.0,Right Midfield,6384.0,Gabriel Fernández Arenas,13.981773,2.4422758,1.0,Ground Pass,"[75.3, 67.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.413
97c86549-29e9-437f-b704-cdb33e450980,1954,2,00:07:52.903,52,52,130,,42,Ball Receipt*,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['9fb903cb-95f3-49a9-94ac-3e79bdf24bae'],,"[75.3, 67.1]",6384.0,Gabriel Fernández Arenas,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.903
657b8b4d-64e1-46b2-a087-b68a6d7afd47,1955,2,00:07:52.903,52,52,130,2.363967,30,Pass,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['1fb575f1-34bd-462d-9e66-33266c044f56'],,"[75.3, 67.1]",6384.0,Gabriel Fernández Arenas,9.0,Right Defensive Midfield,5249.0,Diego Roberto Godín Leal,35.06565,-1.7659547,1.0,Ground Pass,"[68.5, 32.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.903
1fb575f1-34bd-462d-9e66-33266c044f56,1956,2,00:07:55.267,52,55,130,,42,Ball Receipt*,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['657b8b4d-64e1-46b2-a087-b68a6d7afd47'],,"[68.5, 32.7]",5249.0,Diego Roberto Godín Leal,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.267
4004d314-161c-42bd-bb17-546f40491460,1957,2,00:07:55.267,52,55,130,1.571509,43,Carry,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['1fb575f1-34bd-462d-9e66-33266c044f56', '63f4050f-8a9d-467a-9f24-85a581d39b86']",,"[68.5, 32.7]",5249.0,Diego Roberto Godín Leal,5.0,Left Center Back,,,,,,,,,,,,"[68.5, 36.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.267
63f4050f-8a9d-467a-9f24-85a581d39b86,1958,2,00:07:56.839,52,56,130,2.685563,30,Pass,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['424e7406-0fe6-4266-8eaf-ce94c896df44'],,"[68.5, 36.1]",5249.0,Diego Roberto Godín Leal,5.0,Left Center Back,6375.0,Juan Francisco Torres Belén,52.212067,0.7528893,3.0,High Pass,"[106.6, 71.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.839
424e7406-0fe6-4266-8eaf-ce94c896df44,1959,2,00:07:59.524,52,59,130,,42,Ball Receipt*,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['63f4050f-8a9d-467a-9f24-85a581d39b86'],,"[106.6, 71.8]",6375.0,Juan Francisco Torres Belén,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.524
3e27b910-0ae2-4be5-8e75-f748355dc09c,1960,2,00:07:59.524,52,59,130,1.364596,43,Carry,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['1042ecc1-f4dc-44e4-9519-5834825288d5', '424e7406-0fe6-4266-8eaf-ce94c896df44', 'ecb31a93-7c92-402c-9879-dec0032e5e8c']",,"[106.6, 71.8]",6375.0,Juan Francisco Torres Belén,2.0,Right Back,,,,,,,,,,,,"[108.9, 62.4]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.524
1042ecc1-f4dc-44e4-9519-5834825288d5,1961,2,00:07:59.571,52,59,130,0.79072,17,Pressure,212,Atlético Madrid,1,Regular Play,213,Sevilla,,,['3e27b910-0ae2-4be5-8e75-f748355dc09c'],,"[15.5, 10.0]",6718.0,Sergio Escudero Palomo,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.571
ecb31a93-7c92-402c-9879-dec0032e5e8c,1962,2,00:08:00.889,53,0,130,0.437202,30,Pass,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['3e60bfa8-2469-4ad2-8bc8-e4d321790fc3', '578b2417-1dae-44b3-b5d7-518a8fbf9dc5']",,"[108.9, 62.4]",6375.0,Juan Francisco Torres Belén,2.0,Right Back,6744.0,Luciano Vietto,11.552056,-1.3615168,1.0,Ground Pass,"[111.3, 51.1]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.889
578b2417-1dae-44b3-b5d7-518a8fbf9dc5,1963,2,00:08:01.326,53,1,130,,42,Ball Receipt*,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['ecb31a93-7c92-402c-9879-dec0032e5e8c'],,"[113.4, 40.8]",6744.0,Luciano Vietto,22.0,Right Center Forward,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.326
3e60bfa8-2469-4ad2-8bc8-e4d321790fc3,1964,2,00:08:01.326,53,1,130,0.0,9,Clearance,212,Atlético Madrid,1,Regular Play,213,Sevilla,,,['ecb31a93-7c92-402c-9879-dec0032e5e8c'],,"[8.8, 29.0]",27483.0,Benoît Trémoulinas,6.0,Left Back,,,,,,,,,,,,,,,,,True,,True,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.326
a7da8823-829a-4784-8e40-830005c9d1b1,1965,2,00:08:02.667,53,2,131,1.041978,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,['99eaeeda-bcf7-4a3c-ac89-43152d73430c'],,"[9.3, 31.2]",5737.0,Steven N''Kemboanza Mike Christopher Nzonzi,11.0,Left Defensive Midfield,6718.0,Sergio Escudero Palomo,17.454226,-1.1455913,1.0,Ground Pass,"[16.5, 15.3]",40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.667
99eaeeda-bcf7-4a3c-ac89-43152d73430c,1966,2,00:08:03.709,53,3,131,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,['a7da8823-829a-4784-8e40-830005c9d1b1'],,"[16.5, 15.3]",6718.0,Sergio Escudero Palomo,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.709
