id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,out,duel_type_id,duel_type_name,pass_aerial_won,counterpress,duel_outcome_id,duel_outcome_name,off_camera,dribble_outcome_id,dribble_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,interception_outcome_id,interception_outcome_name,clearance_aerial_won,pass_switch,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_cross,clearance_right_foot,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,dribble_no_touch,shot_one_on_one,foul_committed_advantage,foul_won_advantage,pass_no_touch,goalkeeper_body_part_id,goalkeeper_body_part_name,ball_recovery_recovery_failure,goalkeeper_technique_id,goalkeeper_technique_name,pass_technique_id,pass_technique_name,pass_outswinging,pass_through_ball,goalkeeper_punched_out,pass_goal_assist,miscontrol_aerial_won,clearance_left_foot,shot_aerial_won,foul_committed_type_id,foul_committed_type_name,dribble_nutmeg,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_inswinging,dribble_overrun,pass_miscommunication,block_deflection,shot_deflected,block_offensive,timestamp_seconds
00e05a89-c256-492a-bd9c-eeaf106d3e5e,2839,2,00:34:20.069,79,20,172,0.104458,43,Carry,214,Espanyol,1,Regular Play,214,Espanyol,,,"['159b3640-6d08-4f8d-adc8-2544d4310a6b', '591e9203-2f39-4ec6-8d4c-a5afd2197e7d']","[101.8, 27.7]",6766.0,Gerard Moreno Balaguero,24.0,Left Center Forward,,,,,,,,,,,,"[102.9, 26.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060.069
159b3640-6d08-4f8d-adc8-2544d4310a6b,2840,2,00:34:20.173,79,20,172,0.0,38,Miscontrol,214,Espanyol,1,Regular Play,214,Espanyol,,,,"[102.9, 26.4]",6766.0,Gerard Moreno Balaguero,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060.173
207e9e87-0cb3-4d5d-b875-817499a60107,2841,2,00:34:21.001,79,21,172,0.0,2,Ball Recovery,214,Espanyol,1,Regular Play,212,Atlético Madrid,,,,"[16.4, 57.2]",6375.0,Juan Francisco Torres Belén,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2061.001
287ab4cd-5010-475c-b5ae-4e41d4234294,2842,2,00:34:21.001,79,21,172,0.409743,43,Carry,214,Espanyol,1,Regular Play,212,Atlético Madrid,,,"['0d9d3372-59b1-4657-b360-5014b5d4d64e', '207e9e87-0cb3-4d5d-b875-817499a60107']","[16.4, 57.2]",6375.0,Juan Francisco Torres Belén,2.0,Right Back,,,,,,,,,,,,"[16.8, 58.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2061.001
0d9d3372-59b1-4657-b360-5014b5d4d64e,2843,2,00:34:21.411,79,21,172,1.372735,30,Pass,214,Espanyol,1,Regular Play,212,Atlético Madrid,,,['2b097927-5fa8-4689-8a31-c15087f78723'],"[16.8, 58.2]",6375.0,Juan Francisco Torres Belén,2.0,Right Back,6384.0,Gabriel Fernández Arenas,11.1892805,0.42366892,1.0,Ground Pass,"[27.0, 62.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2061.411
2b097927-5fa8-4689-8a31-c15087f78723,2844,2,00:34:22.784,79,22,172,,42,Ball Receipt*,214,Espanyol,1,Regular Play,212,Atlético Madrid,,,['0d9d3372-59b1-4657-b360-5014b5d4d64e'],"[27.0, 62.8]",6384.0,Gabriel Fernández Arenas,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2062.784
e1600115-0002-4b2d-bd20-385d4424027f,2845,2,00:34:22.784,79,22,172,0.10131,43,Carry,214,Espanyol,1,Regular Play,212,Atlético Madrid,,,"['2b097927-5fa8-4689-8a31-c15087f78723', '4a7ca462-61d6-48ff-8af8-655b6cbf4b59']","[27.0, 62.8]",6384.0,Gabriel Fernández Arenas,13.0,Right Center Midfield,,,,,,,,,,,,"[27.0, 62.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2062.784
4a7ca462-61d6-48ff-8af8-655b6cbf4b59,2846,2,00:34:22.885,79,22,172,0.719669,30,Pass,214,Espanyol,1,Regular Play,212,Atlético Madrid,,,"['7104d632-4e3f-4e64-ac6c-230df9fdb785', 'a8f61baa-bced-4c17-893f-9d4b6369a135']","[27.0, 62.8]",6384.0,Gabriel Fernández Arenas,13.0,Right Center Midfield,6377.0,Ángel Martín Correa,8.438009,-0.094951704,1.0,Ground Pass,"[35.4, 62.0]",40.0,Right Foot,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2062.885
a8f61baa-bced-4c17-893f-9d4b6369a135,2847,2,00:34:23.605,79,23,172,,42,Ball Receipt*,214,Espanyol,1,Regular Play,212,Atlético Madrid,,,['4a7ca462-61d6-48ff-8af8-655b6cbf4b59'],"[35.1, 62.0]",6377.0,Ángel Martín Correa,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2063.605
7104d632-4e3f-4e64-ac6c-230df9fdb785,2848,2,00:34:23.605,79,23,172,0.0,10,Interception,214,Espanyol,1,Regular Play,214,Espanyol,,,['4a7ca462-61d6-48ff-8af8-655b6cbf4b59'],"[84.7, 18.1]",27148.0,Abraham González Casanova,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2063.605
