id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,dribble_outcome_id,dribble_outcome_name,counterpress,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_outcome_id,pass_outcome_name,pass_aerial_won,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,out,clearance_right_foot,block_deflection,pass_switch,interception_outcome_id,interception_outcome_name,pass_through_ball,pass_technique_id,pass_technique_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_cross,clearance_aerial_won,clearance_head,off_camera,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,50_50_outcome_id,50_50_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,goalkeeper_end_location,dribble_overrun,foul_committed_advantage,foul_won_advantage,foul_won_defensive,foul_committed_card_id,foul_committed_card_name,pass_inswinging,pass_cut_back,dribble_nutmeg,shot_first_time,ball_recovery_recovery_failure,pass_goal_assist,dribble_no_touch,shot_one_on_one,pass_no_touch,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
0ecd08e4-a4ac-4f40-acab-225ede8aff4d,3123,2,00:39:43.080,84,43,169,1.132568,43,Carry,219,RC Deportivo La Coruña,3,From Free Kick,219,RC Deportivo La Coruña,,,"['685d4c22-3151-48e8-876c-107001ce8924', 'cbe907f8-f4e9-4c31-8f33-a5aad4b2d7da', 'f01517ba-2fa1-4638-a5d8-3c93f180ec50']","[70.2, 69.7]",6738.0,Juan Francisco Moreno Fuertes,2.0,Right Back,,,,,,,,,,,,"[70.4, 68.5]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2383.08
cbe907f8-f4e9-4c31-8f33-a5aad4b2d7da,3124,2,00:39:43.115,84,43,169,0.951405,17,Pressure,219,RC Deportivo La Coruña,3,From Free Kick,221,Levante UD,,,['0ecd08e4-a4ac-4f40-acab-225ede8aff4d'],"[48.2, 11.6]",23943.0,Rubén García Santos,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2383.115
231c8484-eec3-4182-aa26-fd21822e72d1,3125,2,00:39:44.212,84,44,169,0.0,39,Dribbled Past,219,RC Deportivo La Coruña,3,From Free Kick,221,Levante UD,,,"['685d4c22-3151-48e8-876c-107001ce8924', 'e7b4578a-0d23-4612-954b-fe6064147e2e']","[49.7, 11.6]",23943.0,Rubén García Santos,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2384.212
685d4c22-3151-48e8-876c-107001ce8924,3126,2,00:39:44.212,84,44,169,0.0,14,Dribble,219,RC Deportivo La Coruña,3,From Free Kick,219,RC Deportivo La Coruña,,,['231c8484-eec3-4182-aa26-fd21822e72d1'],"[70.4, 68.5]",6738.0,Juan Francisco Moreno Fuertes,2.0,Right Back,,,,,,,,,,,,,True,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2384.212
e7b4578a-0d23-4612-954b-fe6064147e2e,3127,2,00:39:44.212,84,44,169,0.907622,43,Carry,219,RC Deportivo La Coruña,3,From Free Kick,219,RC Deportivo La Coruña,,,"['231c8484-eec3-4182-aa26-fd21822e72d1', '685d4c22-3151-48e8-876c-107001ce8924', 'dabd6d24-98d8-4f18-b626-8bac9be8603a']","[70.4, 68.5]",6738.0,Juan Francisco Moreno Fuertes,2.0,Right Back,,,,,,,,,,,,"[71.1, 67.1]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2384.212
dabd6d24-98d8-4f18-b626-8bac9be8603a,3128,2,00:39:45.120,84,45,169,1.882427,30,Pass,219,RC Deportivo La Coruña,3,From Free Kick,219,RC Deportivo La Coruña,,,['3983918b-172c-481d-a703-e65022291ef6'],"[71.1, 67.1]",6738.0,Juan Francisco Moreno Fuertes,2.0,Right Back,6728.0,Federico Nicolás Cartabia,16.648123,0.67474097,1.0,Ground Pass,"[84.1, 77.5]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2385.12
3983918b-172c-481d-a703-e65022291ef6,3129,2,00:39:47.003,84,47,169,,42,Ball Receipt*,219,RC Deportivo La Coruña,3,From Free Kick,219,RC Deportivo La Coruña,,,['dabd6d24-98d8-4f18-b626-8bac9be8603a'],"[84.1, 77.5]",6728.0,Federico Nicolás Cartabia,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2387.003
d272723a-3381-4b5f-adb5-33b724597430,3130,2,00:39:47.003,84,47,169,4.126777,43,Carry,219,RC Deportivo La Coruña,3,From Free Kick,219,RC Deportivo La Coruña,,,"['3983918b-172c-481d-a703-e65022291ef6', 'e6b3e8af-9e98-4d6f-a4c3-728bfedda254']","[84.1, 77.5]",6728.0,Federico Nicolás Cartabia,17.0,Right Wing,,,,,,,,,,,,"[97.4, 74.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2387.003
e6b3e8af-9e98-4d6f-a4c3-728bfedda254,3131,2,00:39:51.129,84,51,169,1.994294,30,Pass,219,RC Deportivo La Coruña,3,From Free Kick,219,RC Deportivo La Coruña,,,['7de2ea31-84c3-429c-9fc0-1dca3c274650'],"[97.4, 74.0]",6728.0,Federico Nicolás Cartabia,17.0,Right Wing,7782.0,Luis Alberto Romero Alconchel,44.40867,-1.1111768,3.0,High Pass,"[117.1, 34.2]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,a9956cd8-7cba-43bc-ac99-e9f798ba799a,True,,,,,,,,,,,,,,,,,,,,,,,,,,,2391.129
7de2ea31-84c3-429c-9fc0-1dca3c274650,3132,2,00:39:53.124,84,53,169,,42,Ball Receipt*,219,RC Deportivo La Coruña,3,From Free Kick,219,RC Deportivo La Coruña,,,['e6b3e8af-9e98-4d6f-a4c3-728bfedda254'],"[117.1, 34.2]",7782.0,Luis Alberto Romero Alconchel,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2393.124
7583c9ae-6668-40c1-bb05-0e816d373328,3133,2,00:39:53.124,84,53,169,0.61382,43,Carry,219,RC Deportivo La Coruña,3,From Free Kick,219,RC Deportivo La Coruña,,,"['7de2ea31-84c3-429c-9fc0-1dca3c274650', 'a9956cd8-7cba-43bc-ac99-e9f798ba799a', 'd3e7dc31-c65c-4496-aabd-79334745590a']","[117.1, 34.2]",7782.0,Luis Alberto Romero Alconchel,19.0,Center Attacking Midfield,,,,,,,,,,,,"[117.6, 35.1]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2393.124
d3e7dc31-c65c-4496-aabd-79334745590a,3134,2,00:39:53.256,84,53,169,0.483708,17,Pressure,219,RC Deportivo La Coruña,3,From Free Kick,221,Levante UD,,,"['7583c9ae-6668-40c1-bb05-0e816d373328', 'a9956cd8-7cba-43bc-ac99-e9f798ba799a']","[4.2, 45.7]",5678.0,Jefferson Andrés Lerma Solís,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2393.256
