id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,off_camera,under_pressure,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,counterpress,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,foul_won_defensive,pass_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_cross,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_deflected,out,clearance_head,pass_outswinging,shot_first_time,clearance_aerial_won,foul_committed_advantage,foul_won_advantage,pass_straight,ball_recovery_recovery_failure,pass_inswinging,clearance_left_foot,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_card_id,foul_committed_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_aerial_won,pass_cut_back,shot_deflected,block_deflection,shot_one_on_one,dribble_overrun,foul_committed_type_id,foul_committed_type_name,block_save_block,timestamp_seconds
f89b1516-08e5-479e-8299-e830de5915ea,2175,2,00:07:21.954,52,21,126,0.0,2,Ball Recovery,207,Valencia,7,From Goal Kick,207,Valencia,,,['33920c30-ef4f-4b3e-a12d-9ab0cad31685'],"[59.7, 30.4]",10802.0,André Filipe Tavares Gomes,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.954
98691a86-36d4-45ac-8c30-bb36876a6b01,2176,2,00:07:21.954,52,21,126,1.638007,43,Carry,207,Valencia,7,From Goal Kick,207,Valencia,,,"['13327320-9237-4bc2-8f3d-869a01f7bc2c', '33920c30-ef4f-4b3e-a12d-9ab0cad31685', 'f89b1516-08e5-479e-8299-e830de5915ea']","[59.7, 30.4]",10802.0,André Filipe Tavares Gomes,15.0,Left Center Midfield,,,,,,,,,,,,"[52.7, 39.0]",,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.954
13327320-9237-4bc2-8f3d-869a01f7bc2c,2177,2,00:07:23.592,52,23,126,1.153167,30,Pass,207,Valencia,7,From Goal Kick,207,Valencia,,,['6db68dbc-2d62-41a0-83d7-5889ab3dd12c'],"[52.7, 39.0]",10802.0,André Filipe Tavares Gomes,15.0,Left Center Midfield,27482.0,Aderllan Leandro de Jesus Santos,10.823123,2.4740665,1.0,Ground Pass,"[44.2, 45.7]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.592
6db68dbc-2d62-41a0-83d7-5889ab3dd12c,2178,2,00:07:24.745,52,24,126,,42,Ball Receipt*,207,Valencia,7,From Goal Kick,207,Valencia,,,['13327320-9237-4bc2-8f3d-869a01f7bc2c'],"[44.2, 45.7]",27482.0,Aderllan Leandro de Jesus Santos,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.745
7a492380-eedb-41ef-9af8-732ec76f2e16,2179,2,00:07:24.745,52,24,126,1.700612,43,Carry,207,Valencia,7,From Goal Kick,207,Valencia,,,"['6db68dbc-2d62-41a0-83d7-5889ab3dd12c', 'd08ed72e-67e8-4624-8298-df6a846edae3']","[44.2, 45.7]",27482.0,Aderllan Leandro de Jesus Santos,3.0,Right Center Back,,,,,,,,,,,,"[44.5, 47.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.745
d08ed72e-67e8-4624-8298-df6a846edae3,2180,2,00:07:26.446,52,26,126,2.655053,30,Pass,207,Valencia,7,From Goal Kick,207,Valencia,,,['674c8a83-6f82-47d8-b011-e53288b9a2e0'],"[44.5, 47.0]",27482.0,Aderllan Leandro de Jesus Santos,3.0,Right Center Back,6663.0,Antonio Barragán Fernández,16.420109,1.1371125,1.0,Ground Pass,"[51.4, 61.9]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.446
674c8a83-6f82-47d8-b011-e53288b9a2e0,2181,2,00:07:29.101,52,29,126,,42,Ball Receipt*,207,Valencia,7,From Goal Kick,207,Valencia,,,['d08ed72e-67e8-4624-8298-df6a846edae3'],"[51.4, 61.9]",6663.0,Antonio Barragán Fernández,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.101
0e538e0c-e131-4471-b983-b56efedbf579,2182,2,00:07:29.101,52,29,126,0.031198,43,Carry,207,Valencia,7,From Goal Kick,207,Valencia,,,"['674c8a83-6f82-47d8-b011-e53288b9a2e0', '9e3fbf39-054e-4a56-b259-3985523041da']","[51.4, 61.9]",6663.0,Antonio Barragán Fernández,2.0,Right Back,,,,,,,,,,,,"[55.8, 75.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.101
9e3fbf39-054e-4a56-b259-3985523041da,2183,2,00:07:29.132,52,29,126,4.18238,30,Pass,207,Valencia,7,From Goal Kick,207,Valencia,,,"['f565aea0-6fc4-48a8-b271-328a285dbb82', 'fffaf2ff-9be9-4d1a-91ae-3b705fdda49c']","[55.8, 75.9]",6663.0,Antonio Barragán Fernández,2.0,Right Back,31469.0,Andrés Pascual Santoja,63.158928,-0.27416745,3.0,High Pass,"[116.6, 58.8]",,,40.0,Right Foot,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.132
fffaf2ff-9be9-4d1a-91ae-3b705fdda49c,2184,2,00:07:33.314,52,33,126,,42,Ball Receipt*,207,Valencia,7,From Goal Kick,207,Valencia,,,['9e3fbf39-054e-4a56-b259-3985523041da'],"[112.9, 61.3]",31469.0,Andrés Pascual Santoja,17.0,Right Wing,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.314
