id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,counterpress,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance_head,clearance_body_part_id,clearance_body_part_name,ball_recovery_recovery_failure,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,out,pass_aerial_won,clearance_right_foot,interception_outcome_id,interception_outcome_name,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_end_location,pass_through_ball,pass_technique_id,pass_technique_name,clearance_aerial_won,foul_won_defensive,pass_assisted_shot_id,pass_goal_assist,shot_key_pass_id,shot_first_time,miscontrol_aerial_won,foul_committed_offensive,dribble_outcome_id,dribble_outcome_name,pass_shot_assist,goalkeeper_body_part_id,goalkeeper_body_part_name,shot_one_on_one,clearance_left_foot,pass_cross,pass_switch,pass_outswinging,foul_committed_card_id,foul_committed_card_name,pass_inswinging,clearance_other,shot_aerial_won,block_save_block,pass_straight,foul_committed_advantage,foul_won_advantage,foul_committed_type_id,foul_committed_type_name,dribble_nutmeg,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,bad_behaviour_card_id,bad_behaviour_card_name,pass_cut_back,timestamp_seconds
22be518a-bd58-4ba6-a07a-1a6c7ab6f611,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,1049,Granada,1,Regular Play,1049,Granada,442.0,"[{'player': {'id': 8697, 'name': 'Andrés Eduardo Fernández Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 20064, 'name': 'Hugo Miguel Almeida Costa Lopes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6702, 'name': 'David Rodríguez Lombán'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 19454, 'name': 'Ricardo Miguel Moreira da Costa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 7158, 'name': 'Cristiano Biraghi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6599, 'name': 'Rubén Salvador Pérez Del Mármol'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 3292, 'name': 'Abdoulaye Doucouré'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 6680, 'name': 'Rubén Rochina Naixes'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 23}, {'player': {'id': 26776, 'name': 'Juan Isaac Cuenca López'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 6847, 'name': 'Adalberto Peñaranda Maestre'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 27}, {'player': {'id': 27109, 'name': 'Youssef El-Arabi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
e7730fb1-a5cb-4123-8a81-8d55a2590dd1,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,1049,Granada,1,Regular Play,208,Las Palmas,4231.0,"[{'player': {'id': 7905, 'name': 'Raúl Lizoáin Cruz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7906, 'name': 'David Simón Rodríguez Santana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8440, 'name': 'Aythami Artiles Oliva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 7907, 'name': 'Pedro Bigas Rigo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 26448, 'name': 'Javier Garrido Behovide'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 3610, 'name': 'Roque Mesa Quevedo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 24144, 'name': 'Ángel Montoro Sánchez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 24}, {'player': {'id': 10755, 'name': 'Jonathan Viera Ramos'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 6626, 'name': 'Mubarak Wakaso'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 12}, {'player': {'id': 8167, 'name': 'Sergio Ezequiel Araújo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
710e8a77-198b-40f8-aebe-93cb37613177,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,1049,Granada,1,Regular Play,1049,Granada,,,['0a46df78-ee33-4a22-9b57-716e65b8e6d4'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0a46df78-ee33-4a22-9b57-716e65b8e6d4,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,1049,Granada,1,Regular Play,208,Las Palmas,,,['710e8a77-198b-40f8-aebe-93cb37613177'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
f6ff4d16-9617-47eb-8851-e0698ff82cf3,5,1,00:00:00.736,0,0,2,0.772392,30,Pass,208,Las Palmas,9,From Kick Off,208,Las Palmas,,,['9f1d554f-7ae7-4b29-8cda-adfc0b98e9c6'],True,"[60.0, 40.0]",8167.0,Sergio Ezequiel Araújo,23.0,Center Forward,10755.0,Jonathan Viera Ramos,1.9,-1.5707964,1.0,Ground Pass,"[60.0, 38.1]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.736
9f1d554f-7ae7-4b29-8cda-adfc0b98e9c6,6,1,00:00:01.508,0,1,2,,42,Ball Receipt*,208,Las Palmas,9,From Kick Off,208,Las Palmas,,,['f6ff4d16-9617-47eb-8851-e0698ff82cf3'],,"[60.0, 38.1]",10755.0,Jonathan Viera Ramos,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.508
936d5b76-c353-4dca-995a-20fa8a5ba3c7,7,1,00:00:01.728,0,1,2,0.612421,30,Pass,208,Las Palmas,9,From Kick Off,208,Las Palmas,,,['498c7439-86c9-4261-88ad-c6e55ab68552'],,"[60.0, 39.8]",10755.0,Jonathan Viera Ramos,19.0,Center Attacking Midfield,3610.0,Roque Mesa Quevedo,7.2691126,-3.0035865,1.0,Ground Pass,"[52.8, 38.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.728
498c7439-86c9-4261-88ad-c6e55ab68552,8,1,00:00:02.340,0,2,2,,42,Ball Receipt*,208,Las Palmas,9,From Kick Off,208,Las Palmas,,,['936d5b76-c353-4dca-995a-20fa8a5ba3c7'],,"[52.8, 38.8]",3610.0,Roque Mesa Quevedo,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34
853b9816-d041-46d7-bd14-381237ca2844,9,1,00:00:02.340,0,2,2,1.661129,43,Carry,208,Las Palmas,9,From Kick Off,208,Las Palmas,,,"['498c7439-86c9-4261-88ad-c6e55ab68552', '7c2e9d62-18d1-4ab9-ad45-c5961b5b8f6f', 'e99a9797-dbf1-4f84-a6ac-9c7352baaa04']",,"[52.8, 38.8]",3610.0,Roque Mesa Quevedo,9.0,Right Defensive Midfield,,,,,,,,,,,,True,"[53.0, 35.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34
7c2e9d62-18d1-4ab9-ad45-c5961b5b8f6f,10,1,00:00:03.449,0,3,2,0.575344,17,Pressure,208,Las Palmas,9,From Kick Off,1049,Granada,,,"['853b9816-d041-46d7-bd14-381237ca2844', 'e99a9797-dbf1-4f84-a6ac-9c7352baaa04']",,"[64.7, 38.9]",27109.0,Youssef El-Arabi,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.449
