id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,out,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_aerial_won,duel_type_id,duel_type_name,clearance_aerial_won,clearance_head,off_camera,pass_switch,dribble_outcome_id,dribble_outcome_name,foul_committed_advantage,foul_won_advantage,duel_outcome_id,duel_outcome_name,foul_won_defensive,pass_technique_id,pass_technique_name,pass_through_ball,clearance_left_foot,pass_cross,interception_outcome_id,interception_outcome_name,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,foul_committed_type_id,foul_committed_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,injury_stoppage_in_chain,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_assisted_shot_id,pass_shot_assist,pass_outswinging,shot_key_pass_id,shot_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,dribble_overrun,ball_recovery_recovery_failure,foul_committed_penalty,foul_committed_card_id,foul_committed_card_name,foul_won_penalty,shot_one_on_one,bad_behaviour_card_id,bad_behaviour_card_name,pass_cut_back,pass_goal_assist,pass_deflected,block_deflection,shot_saved_to_post,goalkeeper_shot_saved_to_post,pass_straight,dribble_nutmeg,timestamp_seconds
5fabe690-9a46-4ae7-8f19-ac8c2914a8d1,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,217,Barcelona,1,Regular Play,217,Barcelona,433.0,"[{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
ee075e37-5262-4de9-ab2d-3d76b3e01ede,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,217,Barcelona,1,Regular Play,218,Real Betis,442.0,"[{'player': {'id': 6654, 'name': 'Antonio Adán Garrido'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6865, 'name': 'Francisco José Molinero Calderón'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6872, 'name': 'Bruno González Cabrera'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 27349, 'name': 'Heiko Westermann'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 27347, 'name': 'Juan Manuel Vargas Risco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 26723, 'name': 'Álvaro Cejudo Carmona'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 27346, 'name': 'Petros Matheus dos Santos Araújo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 5671, 'name': ""Alfred John Momar N''Diaye""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 6697, 'name': 'Daniel Ceballos Fernández'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 27348, 'name': 'Ricky van Wolfswinkel'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6832, 'name': 'Rubén Castro Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 24}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
c2ca043d-ed81-404e-b3b9-037b56d804a4,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,217,Barcelona,1,Regular Play,217,Barcelona,,,['5ef285c5-63cb-41bf-88d4-9aaeaaa7b77f'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
5ef285c5-63cb-41bf-88d4-9aaeaaa7b77f,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,217,Barcelona,1,Regular Play,218,Real Betis,,,['c2ca043d-ed81-404e-b3b9-037b56d804a4'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
c49f7044-cfe1-409a-a34d-65e37c3d94c8,5,1,00:00:01.085,0,1,2,0.2714,30,Pass,218,Real Betis,9,From Kick Off,218,Real Betis,,,['3291aada-92d4-4329-92ad-fa857c20a0f3'],"[61.0, 40.1]",6697.0,Daniel Ceballos Fernández,16.0,Left Midfield,6832.0,Rubén Castro Martín,2.8071337,1.6421038,1.0,Ground Pass,"[60.8, 42.9]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.085
3291aada-92d4-4329-92ad-fa857c20a0f3,6,1,00:00:01.357,0,1,2,,42,Ball Receipt*,218,Real Betis,9,From Kick Off,218,Real Betis,,,['c49f7044-cfe1-409a-a34d-65e37c3d94c8'],"[60.8, 42.9]",6832.0,Rubén Castro Martín,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.357
6d09074f-abcb-4db3-b834-ae765649b599,7,1,00:00:01.357,0,1,2,0.16,43,Carry,218,Real Betis,9,From Kick Off,218,Real Betis,,,"['3291aada-92d4-4329-92ad-fa857c20a0f3', 'e5c3d91c-de04-4492-8e5f-2e90e54c4f5e']","[60.8, 42.9]",6832.0,Rubén Castro Martín,24.0,Left Center Forward,,,,,,,,,,,,"[59.7, 43.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.357
e5c3d91c-de04-4492-8e5f-2e90e54c4f5e,8,1,00:00:01.517,0,1,2,1.454616,30,Pass,218,Real Betis,9,From Kick Off,218,Real Betis,,,['504c3bee-312c-430f-9a1b-603c477d1992'],"[59.7, 43.2]",6832.0,Rubén Castro Martín,24.0,Left Center Forward,27349.0,Heiko Westermann,22.299103,-3.0472786,1.0,Ground Pass,"[37.5, 41.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.517
504c3bee-312c-430f-9a1b-603c477d1992,9,1,00:00:02.971,0,2,2,,42,Ball Receipt*,218,Real Betis,9,From Kick Off,218,Real Betis,,,['e5c3d91c-de04-4492-8e5f-2e90e54c4f5e'],"[37.5, 41.1]",27349.0,Heiko Westermann,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.971
26299fac-68f5-429c-9f5d-73c39622bb2b,10,1,00:00:02.971,0,2,2,1.469084,43,Carry,218,Real Betis,9,From Kick Off,218,Real Betis,,,"['1e02de30-18dc-40fb-bea0-f001a72760d3', '504c3bee-312c-430f-9a1b-603c477d1992', '85630b22-c034-4c30-8fb6-023bd8d64232']","[37.5, 41.1]",27349.0,Heiko Westermann,5.0,Left Center Back,,,,,,,,,,,,"[40.0, 46.3]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.971
