id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,dribble_outcome_id,dribble_outcome_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,counterpress,foul_committed_advantage,foul_won_advantage,pass_cross,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_deflected,shot_first_time,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,block_deflection,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_shot_assist,shot_saved_to_post,goalkeeper_shot_saved_to_post,goalkeeper_body_part_id,goalkeeper_body_part_name,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_aerial_won,foul_committed_type_id,foul_committed_type_name,clearance_head,pass_switch,pass_through_ball,pass_technique_id,pass_technique_name,shot_one_on_one,clearance_other,50_50_outcome_id,50_50_outcome_name,goalkeeper_end_location,pass_outswinging,ball_recovery_recovery_failure,shot_aerial_won,pass_inswinging,clearance_left_foot,foul_committed_card_id,foul_committed_card_name,dribble_overrun,pass_cut_back,pass_deflected,shot_open_goal,foul_won_defensive,shot_saved_off_target,goalkeeper_shot_saved_off_target,pass_straight,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_no_touch,clearance_aerial_won,timestamp_seconds
c55c60c5-2d03-4725-92bb-131165fcf784,556,1,00:16:09.021,16,9,39,0.0,21,Foul Won,213,Sevilla,1,Regular Play,213,Sevilla,,,"['81f59328-4f9c-4230-8a6e-be2ea26246af', 'd010137a-34e1-46a5-95c4-27f5008f9cef']",,"[73.7, 49.3]",23816.0,José Antonio Reyes Calderón,17.0,Right Wing,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969.021
26561071-e3f2-455f-9a4b-0cb6c121b73e,557,1,00:16:12.180,16,12,40,1.872136,30,Pass,213,Sevilla,3,From Free Kick,213,Sevilla,,,['be12c8af-a4f2-4aea-b33c-18bcbef793fd'],,"[73.7, 49.3]",23816.0,José Antonio Reyes Calderón,17.0,Right Wing,21210.0,Mariano Ferreira Filho,32.044033,1.0078967,3.0,High Pass,"[90.8, 76.4]",38.0,Left Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,972.18
be12c8af-a4f2-4aea-b33c-18bcbef793fd,558,1,00:16:14.052,16,14,40,,42,Ball Receipt*,213,Sevilla,3,From Free Kick,213,Sevilla,,,['26561071-e3f2-455f-9a4b-0cb6c121b73e'],,"[90.8, 76.4]",21210.0,Mariano Ferreira Filho,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974.052
92e21d6c-0710-4d47-ab7f-f5bb4702c11a,559,1,00:16:14.052,16,14,40,2.568178,43,Carry,213,Sevilla,3,From Free Kick,213,Sevilla,,,"['3ac5c486-6a80-42d1-941c-061f27e707d4', 'be12c8af-a4f2-4aea-b33c-18bcbef793fd']",,"[90.8, 76.4]",21210.0,Mariano Ferreira Filho,2.0,Right Back,,,,,,,,,,,,"[105.0, 70.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974.052
3ac5c486-6a80-42d1-941c-061f27e707d4,560,1,00:16:16.620,16,16,40,1.252731,30,Pass,213,Sevilla,3,From Free Kick,213,Sevilla,,,['96a4961a-3fc6-4d65-acf3-3a2783b9288f'],,"[105.0, 70.9]",21210.0,Mariano Ferreira Filho,2.0,Right Back,,,17.74514,-1.225877,3.0,High Pass,"[111.0, 54.2]",40.0,Right Foot,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976.62
96a4961a-3fc6-4d65-acf3-3a2783b9288f,561,1,00:16:17.873,16,17,40,0.0,9,Clearance,213,Sevilla,3,From Free Kick,221,Levante UD,,,['3ac5c486-6a80-42d1-941c-061f27e707d4'],,"[9.1, 25.9]",27122.0,Simão Mate,11.0,Left Defensive Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,Head,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977.873
ecdc6e7c-490e-441e-b45d-82290426bcfe,562,1,00:16:19.832,16,19,40,0.0,9,Clearance,213,Sevilla,3,From Free Kick,221,Levante UD,,,,,"[12.6, 48.0]",5678.0,Jefferson Andrés Lerma Solís,12.0,Right Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979.832
d79cb6d1-93f3-4576-b578-4a2c6fa9c610,563,1,00:16:22.021,16,22,40,0.461196,17,Pressure,213,Sevilla,3,From Free Kick,213,Sevilla,,,,,"[76.6, 45.6]",3253.0,Adil Rami,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982.021
ee031df3-e71a-4e9b-bc74-80001e2f7650,564,1,00:16:22.800,16,22,40,0.0,2,Ball Recovery,213,Sevilla,3,From Free Kick,221,Levante UD,,,,,"[40.4, 34.5]",7141.0,Giuseppe Rossi,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,982.8
c404bc59-afe5-468f-8b51-68c820cd6d7f,565,1,00:16:23.768,16,23,40,0.0,2,Ball Recovery,213,Sevilla,3,From Free Kick,213,Sevilla,,,,,"[85.9, 46.9]",23816.0,José Antonio Reyes Calderón,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983.768
