id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,interception_outcome_id,interception_outcome_name,counterpress,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_head,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,out,clearance_aerial_won,ball_recovery_recovery_failure,50_50_outcome_id,50_50_outcome_name,pass_aerial_won,pass_technique_id,pass_technique_name,pass_through_ball,dribble_outcome_id,dribble_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_switch,foul_won_defensive,foul_committed_advantage,foul_won_advantage,clearance_left_foot,pass_assisted_shot_id,pass_goal_assist,shot_open_goal,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_first_time,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,clearance_right_foot,dribble_nutmeg,dribble_overrun,foul_committed_card_id,foul_committed_card_name,pass_shot_assist,shot_one_on_one,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,pass_cut_back,shot_deflected,block_deflection,foul_committed_type_id,foul_committed_type_name,block_offensive,pass_inswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,injury_stoppage_in_chain,pass_outswinging,pass_straight,timestamp_seconds
5aa056dc-51bf-432f-9d4e-c301d291ec5e,160,1,00:03:47.427,3,47,10,0.722904,30,Pass,1041,Sporting Gijón,3,From Free Kick,1041,Sporting Gijón,,,"['c4717328-775f-433f-b7ea-e5cb5cecc237', 'f7fba000-0243-4ab6-81b4-e5149b7da53d']",,"[63.6, 21.3]",24263.0,Ismael López Blanco,6.0,Left Back,6573.0,Bernardo José Espinosa Zúñiga,10.288342,2.773721,1.0,Ground Pass,"[54.0, 25.0]",40.0,Right Foot,66.0,Recovery,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.427
f7fba000-0243-4ab6-81b4-e5149b7da53d,161,1,00:03:48.150,3,48,10,,42,Ball Receipt*,1041,Sporting Gijón,3,From Free Kick,1041,Sporting Gijón,,,['5aa056dc-51bf-432f-9d4e-c301d291ec5e'],,"[54.0, 25.0]",6573.0,Bernardo José Espinosa Zúñiga,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.15
12157dcf-0eaa-41af-b69e-a8c51b864fe3,162,1,00:03:48.150,3,48,10,1.057538,43,Carry,1041,Sporting Gijón,3,From Free Kick,1041,Sporting Gijón,,,"['433402fc-a286-4c37-a797-dbc964f4828a', 'c712b910-6abe-42ec-a487-d55d2b465405', 'f7fba000-0243-4ab6-81b4-e5149b7da53d']",,"[54.0, 25.0]",6573.0,Bernardo José Espinosa Zúñiga,5.0,Left Center Back,,,,,,,,,,,,"[51.9, 25.0]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.15
c712b910-6abe-42ec-a487-d55d2b465405,163,1,00:03:48.894,3,48,10,0.38184,17,Pressure,1041,Sporting Gijón,3,From Free Kick,209,Celta Vigo,,,"['12157dcf-0eaa-41af-b69e-a8c51b864fe3', '433402fc-a286-4c37-a797-dbc964f4828a']",,"[66.3, 57.8]",23785.0,Théo Bongonda Mbul''Ofeko Batombo,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.894
433402fc-a286-4c37-a797-dbc964f4828a,164,1,00:03:49.207,3,49,10,2.163824,30,Pass,1041,Sporting Gijón,3,From Free Kick,1041,Sporting Gijón,,,"['2c94046d-eb34-44cf-a9de-0cc0f7999941', 'c712b910-6abe-42ec-a487-d55d2b465405']",,"[51.9, 25.0]",6573.0,Bernardo José Espinosa Zúñiga,5.0,Left Center Back,24263.0,Ismael López Blanco,19.709135,-2.091201,3.0,High Pass,"[42.1, 7.9]",40.0,Right Foot,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.207
2c94046d-eb34-44cf-a9de-0cc0f7999941,165,1,00:03:51.371,3,51,10,,42,Ball Receipt*,1041,Sporting Gijón,3,From Free Kick,1041,Sporting Gijón,,,['433402fc-a286-4c37-a797-dbc964f4828a'],,"[42.1, 7.9]",24263.0,Ismael López Blanco,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.371
7d0f8b5c-e94f-43aa-b0bf-84e900c40712,166,1,00:03:51.371,3,51,10,1.59964,43,Carry,1041,Sporting Gijón,3,From Free Kick,1041,Sporting Gijón,,,"['2c94046d-eb34-44cf-a9de-0cc0f7999941', 'c03ea158-95d8-4a69-a72f-b5070dcc8edb', 'fda1045a-f85b-43e4-8ec8-fef82c681758']",,"[42.1, 7.9]",24263.0,Ismael López Blanco,6.0,Left Back,,,,,,,,,,,,"[43.9, 5.3]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.371
c03ea158-95d8-4a69-a72f-b5070dcc8edb,167,1,00:03:52.335,3,52,10,0.522154,17,Pressure,1041,Sporting Gijón,3,From Free Kick,209,Celta Vigo,,,['7d0f8b5c-e94f-43aa-b0bf-84e900c40712'],,"[79.1, 71.3]",23785.0,Théo Bongonda Mbul''Ofeko Batombo,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.335
fda1045a-f85b-43e4-8ec8-fef82c681758,168,1,00:03:52.971,3,52,10,3.612802,30,Pass,1041,Sporting Gijón,3,From Free Kick,1041,Sporting Gijón,,,['50c70e04-75b3-42a8-bde0-64a580adf05c'],,"[43.9, 5.3]",24263.0,Ismael López Blanco,6.0,Left Back,6880.0,Arnaldo Antonio Sanabria Ayala,61.41954,0.16354269,3.0,High Pass,"[104.5, 15.3]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.971
50c70e04-75b3-42a8-bde0-64a580adf05c,169,1,00:03:56.584,3,56,10,,42,Ball Receipt*,1041,Sporting Gijón,3,From Free Kick,1041,Sporting Gijón,,,['fda1045a-f85b-43e4-8ec8-fef82c681758'],,"[104.5, 15.3]",6880.0,Arnaldo Antonio Sanabria Ayala,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.584
d510d948-621c-4414-a3a6-ae75e6a6452f,170,1,00:03:56.584,3,56,10,2.822727,43,Carry,1041,Sporting Gijón,3,From Free Kick,1041,Sporting Gijón,,,"['382a12cb-bd42-4f29-b7cb-50b397ea8bfb', '50c70e04-75b3-42a8-bde0-64a580adf05c', '7d428c73-1895-4af8-83eb-368c0b5387d6']",,"[104.5, 15.3]",6880.0,Arnaldo Antonio Sanabria Ayala,23.0,Center Forward,,,,,,,,,,,,"[116.2, 12.7]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.584
