id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,dribble_outcome_id,dribble_outcome_name,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,out,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_switch,pass_technique_id,pass_technique_name,pass_inswinging,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance_left_foot,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,clearance_aerial_won,counterpress,duel_outcome_id,duel_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,pass_aerial_won,clearance_right_foot,pass_cross,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_advantage,foul_won_advantage,pass_through_ball,interception_outcome_id,interception_outcome_name,50_50_outcome_id,50_50_outcome_name,miscontrol_aerial_won,pass_goal_assist,foul_committed_type_id,foul_committed_type_name,foul_won_defensive,block_offensive,shot_first_time,pass_outswinging,ball_recovery_recovery_failure,pass_cut_back,clearance_other,shot_aerial_won,foul_committed_card_id,foul_committed_card_name,foul_committed_penalty,foul_won_penalty,bad_behaviour_card_id,bad_behaviour_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_overrun,shot_open_goal,shot_one_on_one,pass_straight,foul_committed_offensive,timestamp_seconds
c3450e4f-eeab-4c78-9fa2-acf273560fb7,1212,1,00:37:20.817,37,20,100,,42,Ball Receipt*,216,Getafe,4,From Throw In,216,Getafe,,,['9fda85a5-f1fc-4ddd-bf46-de82afbd256c'],,"[80.1, 3.5]",6907.0,Pedro León Sánchez Gil,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240.817
4b36f1e4-fc4d-49c1-8612-7da7c346c413,1213,1,00:37:20.817,37,20,100,1.108844,43,Carry,216,Getafe,4,From Throw In,216,Getafe,,,"['c3450e4f-eeab-4c78-9fa2-acf273560fb7', 'c464ec77-a944-41cb-8acd-c37d4946ee37', 'd439a154-ed28-45b4-b453-f7f9c5c6fabd']",,"[80.1, 3.5]",6907.0,Pedro León Sánchez Gil,21.0,Left Wing,,,,,,,,,,,,True,"[80.1, 4.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240.817
c464ec77-a944-41cb-8acd-c37d4946ee37,1214,1,00:37:21.474,37,21,100,0.522217,17,Pressure,216,Getafe,4,From Throw In,221,Levante UD,,,"['4b36f1e4-fc4d-49c1-8612-7da7c346c413', 'd439a154-ed28-45b4-b453-f7f9c5c6fabd']",,"[40.0, 75.3]",5678.0,Jefferson Andrés Lerma Solís,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2241.474
6c48b223-8956-4b16-b13f-879f16c829c2,1215,1,00:37:21.926,37,21,100,0.0,22,Foul Committed,216,Getafe,4,From Throw In,221,Levante UD,,,['d439a154-ed28-45b4-b453-f7f9c5c6fabd'],,"[40.0, 75.3]",5678.0,Jefferson Andrés Lerma Solís,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2241.926
d439a154-ed28-45b4-b453-f7f9c5c6fabd,1216,1,00:37:21.926,37,21,100,0.0,21,Foul Won,216,Getafe,4,From Throw In,216,Getafe,,,"['6c48b223-8956-4b16-b13f-879f16c829c2', 'c464ec77-a944-41cb-8acd-c37d4946ee37']",,"[80.1, 4.8]",6907.0,Pedro León Sánchez Gil,21.0,Left Wing,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2241.926
4863c4df-944b-4272-9050-70d48ac4d1ef,1217,1,00:37:59.627,37,59,101,1.896055,30,Pass,216,Getafe,3,From Free Kick,216,Getafe,,,['49f0d8aa-55e3-4f30-86dd-5ab397bef22a'],,"[87.3, 9.8]",6720.0,Pablo Sarabia García,19.0,Center Attacking Midfield,25881.0,Juan Antonio Rodríguez Villamuela,37.304424,0.97610235,3.0,High Pass,"[108.2, 40.7]",38.0,Left Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2fbac16a-b234-4d6d-b493-7cb27a7d3d50,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2279.627
49f0d8aa-55e3-4f30-86dd-5ab397bef22a,1218,1,00:38:01.524,38,1,101,,42,Ball Receipt*,216,Getafe,3,From Free Kick,216,Getafe,,,['4863c4df-944b-4272-9050-70d48ac4d1ef'],,"[108.2, 40.7]",25881.0,Juan Antonio Rodríguez Villamuela,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2281.524
4d43a673-fa2a-470c-b70a-32c8205a398b,1219,1,00:38:01.524,38,1,101,0.0,4,Duel,216,Getafe,3,From Free Kick,221,Levante UD,,,['2fbac16a-b234-4d6d-b493-7cb27a7d3d50'],,"[10.6, 38.6]",27122.0,Simão Mate,11.0,Left Defensive Midfield,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2281.524
2fbac16a-b234-4d6d-b493-7cb27a7d3d50,1220,1,00:38:01.524,38,1,101,1.079162,16,Shot,216,Getafe,3,From Free Kick,216,Getafe,,,"['4d43a673-fa2a-470c-b70a-32c8205a398b', 'a7ba4fab-a48c-48a7-b24e-8112112c3b60']",,"[109.5, 41.5]",25881.0,Juan Antonio Rodríguez Villamuela,9.0,Right Defensive Midfield,,,,,,,,,,,,True,,,,,,,,,0.04479567,"[120.0, 36.6, 4.8]",37.0,Head,87.0,Open Play,98.0,Off T,93.0,Normal,"[{'location': [111.3, 34.3], 'player': {'id': 24035, 'name': 'Álvaro Vázquez García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.4, 34.0], 'player': {'id': 27403, 'name': 'Santiago Vergini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [87.3, 8.3], 'player': {'id': 27092, 'name': 'Abdoul Karim Yoda'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [93.7, 20.3], 'player': {'id': 6907, 'name': 'Pedro León Sánchez Gil'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [110.0, 42.6], 'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.5, 37.5], 'player': {'id': 26211, 'name': 'Joan Verdú Fernández'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [105.3, 47.3], 'player': {'id': 24149, 'name': 'José Antonio García Rabasco'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [95.2, 20.0], 'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [106.2, 39.1], 'player': {'id': 27656, 'name': 'Carl Medjani'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.7, 46.0], 'player': {'id': 6784, 'name': 'Antonio García Aranda'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.6, 40.7], 'player': {'id': 27122, 'name': 'Simão Mate'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [110.4, 41.1], 'player': {'id': 26012, 'name': 'David Navarro Pedrós'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.5, 31.1], 'player': {'id': 25134, 'name': 'Deyverson Brum Silva Acosta'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [95.6, 14.5], 'player': {'id': 7141, 'name': 'Giuseppe Rossi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [119.3, 41.0], 'player': {'id': 23843, 'name': 'Diego Mariño Villar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [92.1, 38.8], 'player': {'id': 11675, 'name': 'Moisés Gómez Bordonado'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.5, 54.7], 'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [103.8, 47.0], 'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",,,,,,,,,,,,,,,,,,,,,,,,4863c4df-944b-4272-9050-70d48ac4d1ef,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,2281.524
a7ba4fab-a48c-48a7-b24e-8112112c3b60,1221,1,00:38:02.603,38,2,101,0.0,23,Goal Keeper,216,Getafe,3,From Free Kick,221,Levante UD,,,['2fbac16a-b234-4d6d-b493-7cb27a7d3d50'],,"[0.8, 39.1]",23843.0,Diego Mariño Villar,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.8, 39.1]",44.0,Set,32.0,Shot Faced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2282.603
