id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,out,duel_type_id,duel_type_name,pass_aerial_won,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,counterpress,pass_technique_id,pass_technique_name,pass_through_ball,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,clearance_right_foot,pass_cross,pass_switch,clearance_head,pass_assisted_shot_id,pass_shot_assist,pass_outswinging,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,dribble_outcome_id,dribble_outcome_name,ball_recovery_recovery_failure,duel_outcome_id,duel_outcome_name,shot_deflected,block_deflection,goalkeeper_technique_id,goalkeeper_technique_name,pass_inswinging,shot_first_time,pass_goal_assist,clearance_aerial_won,pass_deflected,pass_no_touch,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_nutmeg,pass_cut_back,pass_miscommunication,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_advantage,foul_won_advantage,miscontrol_aerial_won,dribble_no_touch,pass_straight,timestamp_seconds
b8b0bdfb-a529-4c28-861a-c8eba6fdf999,2226,2,00:29:04.412,74,4,161,0.937813,43,Carry,221,Levante UD,3,From Free Kick,221,Levante UD,,,"['08f7ad08-265b-495e-a479-f496f6002f0c', '5fb51505-46c7-4e23-a067-c0f2cc72c013']",,"[74.7, 48.2]",23970.0,José María Martín-Bejarano Serrano,10.0,Center Defensive Midfield,,,,,,,,,,,,"[70.7, 48.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1744.412
5fb51505-46c7-4e23-a067-c0f2cc72c013,2227,2,00:29:05.350,74,5,161,1.510243,30,Pass,221,Levante UD,3,From Free Kick,221,Levante UD,,,,,"[70.7, 48.4]",23970.0,José María Martín-Bejarano Serrano,10.0,Center Defensive Midfield,25824.0,Ángel Trujillo Canorea,14.236924,1.8191822,1.0,Ground Pass,"[67.2, 62.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1745.35
60ea82ce-fe00-4aac-b03c-4e2eff3eb304,2228,2,00:29:09.422,74,9,161,0.151658,30,Pass,221,Levante UD,3,From Free Kick,221,Levante UD,,,['6b8096bc-9115-4c0c-a6df-b66466cf7d06'],,"[76.5, 72.4]",25824.0,Ángel Trujillo Canorea,3.0,Right Center Back,,,8.373769,-0.8699419,3.0,High Pass,"[81.9, 66.0]",40.0,Right Foot,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1749.422
6b8096bc-9115-4c0c-a6df-b66466cf7d06,2229,2,00:29:09.574,74,9,161,0.0,6,Block,221,Levante UD,3,From Free Kick,322,Eibar,,,['60ea82ce-fe00-4aac-b03c-4e2eff3eb304'],,"[38.2, 14.1]",6557.0,Adrián González Morales,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1749.574
c33a1435-c8dd-41bb-b7de-062153d5b5f8,2230,2,00:29:12.811,74,12,161,0.0,2,Ball Recovery,221,Levante UD,3,From Free Kick,221,Levante UD,,,,,"[86.2, 73.3]",25824.0,Ángel Trujillo Canorea,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752.811
b7c663b5-c991-457e-8f9e-4fb46aa775a6,2231,2,00:29:12.811,74,12,161,4.320355,43,Carry,221,Levante UD,3,From Free Kick,221,Levante UD,,,"['c33a1435-c8dd-41bb-b7de-062153d5b5f8', 'e762bed5-ab7d-49bf-85bc-34e174f6c08b', 'fc36d07f-9245-4c19-87b6-4e690e5c4738']",,"[86.2, 73.3]",25824.0,Ángel Trujillo Canorea,3.0,Right Center Back,,,,,,,,,,,,"[114.8, 77.0]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752.811
e762bed5-ab7d-49bf-85bc-34e174f6c08b,2232,2,00:29:16.112,74,16,161,1.030279,17,Pressure,221,Levante UD,3,From Free Kick,322,Eibar,,,"['b7c663b5-c991-457e-8f9e-4fb46aa775a6', 'fc36d07f-9245-4c19-87b6-4e690e5c4738']",,"[27.2, 2.9]",6557.0,Adrián González Morales,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1756.112
fc36d07f-9245-4c19-87b6-4e690e5c4738,2233,2,00:29:17.131,74,17,161,1.068844,30,Pass,221,Levante UD,3,From Free Kick,221,Levante UD,,,"['488df749-10d7-4fbf-b534-337b4b470528', 'e762bed5-ab7d-49bf-85bc-34e174f6c08b']",,"[114.8, 77.0]",25824.0,Ángel Trujillo Canorea,3.0,Right Center Back,,,24.030397,-1.4665729,2.0,Low Pass,"[117.3, 53.1]",40.0,Right Foot,,,,True,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1757.131
488df749-10d7-4fbf-b534-337b4b470528,2234,2,00:29:18.200,74,18,161,0.0,9,Clearance,221,Levante UD,3,From Free Kick,322,Eibar,,,['fc36d07f-9245-4c19-87b6-4e690e5c4738'],,"[2.8, 27.0]",27239.0,Aleksandar Pantić,5.0,Left Center Back,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,38.0,Left Foot,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1758.2
8ec67d01-07cc-4d95-aac6-bf3f33222b4c,2235,2,00:29:20.622,74,20,161,0.0,2,Ball Recovery,221,Levante UD,3,From Free Kick,322,Eibar,,,,,"[17.6, 1.7]",24070.0,Saúl Berjón Pérez,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1760.622
