id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,under_pressure,counterpress,dribble_outcome_id,dribble_outcome_name,dribble_overrun,pass_cross,pass_assisted_shot_id,pass_shot_assist,duel_type_id,duel_type_name,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_aerial_won,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,off_camera,pass_switch,pass_goal_assist,pass_no_touch,shot_first_time,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,duel_outcome_id,duel_outcome_name,out,clearance_right_foot,pass_outswinging,pass_technique_id,pass_technique_name,pass_through_ball,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_deflected,foul_won_defensive,ball_recovery_recovery_failure,shot_one_on_one,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_straight,foul_committed_advantage,foul_won_advantage,miscontrol_aerial_won,clearance_left_foot,foul_committed_penalty,foul_committed_card_id,foul_committed_card_name,foul_won_penalty,foul_committed_type_id,foul_committed_type_name,pass_miscommunication,timestamp_seconds
16cc9ab7-2238-4443-a9c8-32163f65ca87,159,1,00:05:06.437,5,6,13,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,"['4af77e09-42b9-47d4-ba4d-70693761ea57', '6bd78ed9-e58f-4ef5-84eb-f0114611d403']","[55.8, 63.6]",6742.0,Sergio Gontán Gallardo,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.437
4a344cbf-7f9e-4384-b2a3-24ac1ef4c715,160,1,00:05:06.437,5,6,13,4.482657,43,Carry,322,Eibar,1,Regular Play,322,Eibar,,,"['16cc9ab7-2238-4443-a9c8-32163f65ca87', '4af77e09-42b9-47d4-ba4d-70693761ea57', 'd5b4dcf7-4006-435e-8fe6-2e37a5de49e1']","[55.8, 63.6]",6742.0,Sergio Gontán Gallardo,12.0,Right Midfield,,,,,,,,,,,,"[77.8, 72.6]",,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.437
d5b4dcf7-4006-435e-8fe6-2e37a5de49e1,161,1,00:05:10.920,5,10,13,0.879008,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,['6e5122ac-ff2c-44fb-abee-04d71b702be9'],"[77.8, 72.6]",6742.0,Sergio Gontán Gallardo,12.0,Right Midfield,6699.0,Ander Capa Rodríguez,13.958868,0.15101534,1.0,Ground Pass,"[91.6, 74.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.92
6e5122ac-ff2c-44fb-abee-04d71b702be9,162,1,00:05:11.799,5,11,13,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['d5b4dcf7-4006-435e-8fe6-2e37a5de49e1'],"[91.6, 74.7]",6699.0,Ander Capa Rodríguez,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.799
27282c25-9027-42c2-a0ae-a3235e71c4b8,163,1,00:05:11.799,5,11,13,1.520051,43,Carry,322,Eibar,1,Regular Play,322,Eibar,,,"['60ddeecf-1fbf-48db-a236-6a1e50e98163', '6e5122ac-ff2c-44fb-abee-04d71b702be9', 'cd67dee4-bddd-44cc-adb1-06297d48d856']","[91.6, 74.7]",6699.0,Ander Capa Rodríguez,2.0,Right Back,,,,,,,,,,,,"[89.1, 75.7]",,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.799
60ddeecf-1fbf-48db-a236-6a1e50e98163,164,1,00:05:12.523,5,12,13,0.825876,17,Pressure,322,Eibar,1,Regular Play,215,Athletic Club,,,"['27282c25-9027-42c2-a0ae-a3235e71c4b8', 'cd67dee4-bddd-44cc-adb1-06297d48d856']","[30.0, 5.2]",6789.0,Mikel Balenziaga Oruesagasti,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.523
cd67dee4-bddd-44cc-adb1-06297d48d856,165,1,00:05:13.319,5,13,13,0.110577,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,"['4755ae0f-db71-4000-8fea-bb2a82126f1f', '60ddeecf-1fbf-48db-a236-6a1e50e98163', '620fa861-3102-4271-a5d1-55ac243a3b43']","[89.1, 75.7]",6699.0,Ander Capa Rodríguez,2.0,Right Back,6742.0,Sergio Gontán Gallardo,3.5057096,0.057080783,1.0,Ground Pass,"[92.6, 75.9]",40.0,Right Foot,,,,9.0,Incomplete,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.319
4755ae0f-db71-4000-8fea-bb2a82126f1f,166,1,00:05:13.429,5,13,13,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['cd67dee4-bddd-44cc-adb1-06297d48d856'],"[95.3, 68.2]",6742.0,Sergio Gontán Gallardo,12.0,Right Midfield,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.429
620fa861-3102-4271-a5d1-55ac243a3b43,167,1,00:05:13.429,5,13,13,0.0,6,Block,322,Eibar,1,Regular Play,215,Athletic Club,,,['cd67dee4-bddd-44cc-adb1-06297d48d856'],"[27.5, 4.2]",6789.0,Mikel Balenziaga Oruesagasti,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.429
c3b78fd8-3862-48f2-80f0-8b87e7ea6da2,168,1,00:05:26.185,5,26,14,1.536609,30,Pass,322,Eibar,4,From Throw In,322,Eibar,,,"['19daaeab-c6b4-4fe6-bc65-c82102779c0c', 'fd873803-3e6c-4d56-ba16-4ad6f2db1b86']","[93.0, 80.0]",6699.0,Ander Capa Rodríguez,2.0,Right Back,6742.0,Sergio Gontán Gallardo,21.293427,-0.8152896,3.0,High Pass,"[107.6, 64.5]",,,67.0,Throw-in,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.185
