id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,duel_outcome_id,duel_outcome_name,counterpress,pass_no_touch,off_camera,dribble_outcome_id,dribble_outcome_name,foul_committed_advantage,foul_won_advantage,pass_cross,pass_switch,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_deflected,shot_first_time,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,block_deflection,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,ball_recovery_recovery_failure,interception_outcome_id,interception_outcome_name,pass_aerial_won,dribble_overrun,out,foul_won_defensive,clearance_right_foot,pass_technique_id,pass_technique_name,pass_outswinging,clearance_left_foot,pass_shot_assist,shot_aerial_won,goalkeeper_end_location,pass_cut_back,foul_committed_offensive,goalkeeper_body_part_id,goalkeeper_body_part_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_card_id,foul_committed_card_name,pass_straight,shot_one_on_one,pass_through_ball,miscontrol_aerial_won,pass_inswinging,foul_committed_type_id,foul_committed_type_name,ball_recovery_offensive,dribble_nutmeg,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
3e99a311-4858-490c-b6c5-46c68bb0f076,1344,1,00:31:19.405,31,19,69,1.562723,17,Pressure,212,Atlético Madrid,1,Regular Play,214,Espanyol,,,['1ea4fbca-6aa3-4853-9ca0-4e30a03aa8da'],"[32.3, 65.1]",6867.0,Papa Kouly Diop,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1879.405
436c7373-240d-4922-b1f3-54b85471b558,1345,1,00:31:21.710,31,21,69,1.476253,30,Pass,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['14ec4065-ec7c-42f5-93ba-6dded581b924'],"[96.7, 3.9]",6320.0,Filipe Luís Kasmirski,6.0,Left Back,5487.0,Antoine Griezmann,6.4257298,-2.775536,1.0,Ground Pass,"[90.7, 1.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1881.71
14ec4065-ec7c-42f5-93ba-6dded581b924,1346,1,00:31:23.187,31,23,69,,42,Ball Receipt*,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['436c7373-240d-4922-b1f3-54b85471b558'],"[90.7, 1.6]",5487.0,Antoine Griezmann,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1883.187
619ea9b2-9f65-44ba-866c-ea3d17cddcb1,1347,1,00:31:23.187,31,23,69,2.174821,43,Carry,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['14ec4065-ec7c-42f5-93ba-6dded581b924', '9e46d609-e780-4f4d-9253-b629c343df9c']","[90.7, 1.6]",5487.0,Antoine Griezmann,22.0,Right Center Forward,,,,,,,,,,,,"[90.7, 1.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1883.187
9e46d609-e780-4f4d-9253-b629c343df9c,1348,1,00:31:25.361,31,25,69,1.939921,30,Pass,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['7b0baa80-5de5-4a86-9831-2aac09d6926d'],"[90.7, 1.6]",5487.0,Antoine Griezmann,22.0,Right Center Forward,6381.0,Saúl Ñíguez Esclapez,29.513388,2.1437626,1.0,Ground Pass,"[74.7, 26.4]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1885.361
7b0baa80-5de5-4a86-9831-2aac09d6926d,1349,1,00:31:27.301,31,27,69,,42,Ball Receipt*,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['9e46d609-e780-4f4d-9253-b629c343df9c'],"[74.7, 26.4]",6381.0,Saúl Ñíguez Esclapez,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1887.301
a7c414d1-48ce-4212-b6e5-ad64cf083572,1350,1,00:31:27.301,31,27,69,0.8,43,Carry,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['7b0baa80-5de5-4a86-9831-2aac09d6926d', 'e53ae102-27ea-4de4-bde7-065fcad6f479']","[74.7, 26.4]",6381.0,Saúl Ñíguez Esclapez,11.0,Left Defensive Midfield,,,,,,,,,,,,"[74.7, 26.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1887.301
e53ae102-27ea-4de4-bde7-065fcad6f479,1351,1,00:31:28.101,31,28,69,1.002614,30,Pass,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['30e991a8-9646-4fb0-84d3-c9e6eed1b9ce'],"[74.7, 26.4]",6381.0,Saúl Ñíguez Esclapez,11.0,Left Defensive Midfield,5249.0,Diego Roberto Godín Leal,17.582378,-2.428648,1.0,Ground Pass,"[61.4, 14.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1888.101
30e991a8-9646-4fb0-84d3-c9e6eed1b9ce,1352,1,00:31:29.104,31,29,69,,42,Ball Receipt*,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['e53ae102-27ea-4de4-bde7-065fcad6f479'],"[61.4, 14.9]",5249.0,Diego Roberto Godín Leal,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1889.104
c9f36fc4-04f9-43ef-a5aa-2d918d14dc69,1353,1,00:31:29.104,31,29,69,0.507719,43,Carry,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['30e991a8-9646-4fb0-84d3-c9e6eed1b9ce', '7a57820c-6fa4-4231-b0ab-26887f2325f4', 'b70dd993-8d54-4abb-943d-66270c627ac0']","[61.4, 14.9]",5249.0,Diego Roberto Godín Leal,5.0,Left Center Back,,,,,,,,,,,,"[60.9, 13.8]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1889.104
