id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,out,pass_cross,under_pressure,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,counterpress,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,ball_recovery_recovery_failure,pass_aerial_won,foul_won_defensive,clearance_head,clearance_aerial_won,miscontrol_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,interception_outcome_id,interception_outcome_name,pass_technique_id,pass_technique_name,pass_through_ball,goalkeeper_end_location,injury_stoppage_in_chain,pass_miscommunication,foul_committed_offensive,shot_aerial_won,clearance_left_foot,pass_goal_assist,shot_open_goal,pass_deflected,pass_outswinging,foul_committed_type_id,foul_committed_type_name,pass_inswinging,foul_committed_advantage,foul_won_advantage,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_no_touch,foul_committed_card_id,foul_committed_card_name,bad_behaviour_card_id,bad_behaviour_card_name,pass_cut_back,dribble_overrun,ball_recovery_offensive,dribble_nutmeg,50_50_outcome_id,50_50_outcome_name,shot_one_on_one,timestamp_seconds
a8e97336-3f61-46a4-836d-0e7ec8d24108,569,1,00:14:54.399,14,54,31,1.540658,30,Pass,213,Sevilla,4,From Throw In,213,Sevilla,,,['60c400bf-bee5-4f83-867d-fb13d9f049d0'],,"[64.2, 20.2]",5504.0,Éver Maximiliano David Banega,19.0,Center Attacking Midfield,6718.0,Sergio Escudero Palomo,18.420097,-0.64675844,1.0,Ground Pass,"[78.9, 9.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894.399
60c400bf-bee5-4f83-867d-fb13d9f049d0,570,1,00:14:55.940,14,55,31,,42,Ball Receipt*,213,Sevilla,4,From Throw In,213,Sevilla,,,['a8e97336-3f61-46a4-836d-0e7ec8d24108'],,"[78.9, 9.1]",6718.0,Sergio Escudero Palomo,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895.94
df3ef907-e799-49b0-aac0-bf558b6e4e81,571,1,00:14:55.940,14,55,31,0.538987,43,Carry,213,Sevilla,4,From Throw In,213,Sevilla,,,"['23e59633-0656-45d0-a9c8-a138062bc31a', '60c400bf-bee5-4f83-867d-fb13d9f049d0']",,"[78.9, 9.1]",6718.0,Sergio Escudero Palomo,6.0,Left Back,,,,,,,,,,,,"[81.9, 7.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895.94
23e59633-0656-45d0-a9c8-a138062bc31a,572,1,00:14:56.479,14,56,31,2.006849,30,Pass,213,Sevilla,4,From Throw In,213,Sevilla,,,['3387c728-7a52-4440-9ece-e231e5fa446a'],,"[81.9, 7.3]",6718.0,Sergio Escudero Palomo,6.0,Left Back,8523.0,Yevhen Konoplyanka,15.316005,0.2845776,1.0,Ground Pass,"[96.6, 11.6]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896.479
3387c728-7a52-4440-9ece-e231e5fa446a,573,1,00:14:58.486,14,58,31,,42,Ball Receipt*,213,Sevilla,4,From Throw In,213,Sevilla,,,['23e59633-0656-45d0-a9c8-a138062bc31a'],,"[96.6, 11.6]",8523.0,Yevhen Konoplyanka,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898.486
7789f340-2d26-4186-b854-00591ac52208,574,1,00:14:58.486,14,58,31,4.006366,43,Carry,213,Sevilla,4,From Throw In,213,Sevilla,,,"['11ebdf24-6999-462a-a814-3d5c2b20cac5', '3387c728-7a52-4440-9ece-e231e5fa446a']",,"[96.6, 11.6]",8523.0,Yevhen Konoplyanka,21.0,Left Wing,,,,,,,,,,,,"[106.7, 10.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898.486
11ebdf24-6999-462a-a814-3d5c2b20cac5,575,1,00:15:02.492,15,2,31,3.086119,30,Pass,213,Sevilla,4,From Throw In,213,Sevilla,,,['53beff14-58f9-4f71-8795-75060e49dd39'],,"[106.7, 10.7]",8523.0,Yevhen Konoplyanka,21.0,Left Wing,,,44.5889,1.4787151,3.0,High Pass,"[110.8, 55.1]",40.0,Right Foot,,,,True,9.0,Incomplete,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902.492
53beff14-58f9-4f71-8795-75060e49dd39,576,1,00:15:05.578,15,5,31,0.914415,30,Pass,213,Sevilla,4,From Throw In,219,RC Deportivo La Coruña,,,"['11ebdf24-6999-462a-a814-3d5c2b20cac5', 'cd18bb0f-d14e-44af-84a7-a1d0873b5345']",,"[9.3, 25.0]",6734.0,Luis Carlos Correia Pinto,8.0,Left Wing Back,27457.0,Manuel Fernández Muñíz,10.860019,2.2124557,2.0,Low Pass,"[2.8, 33.7]",37.0,Head,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905.578
cd18bb0f-d14e-44af-84a7-a1d0873b5345,577,1,00:15:06.493,15,6,31,,42,Ball Receipt*,213,Sevilla,4,From Throw In,219,RC Deportivo La Coruña,,,['53beff14-58f9-4f71-8795-75060e49dd39'],,"[2.8, 33.7]",27457.0,Manuel Fernández Muñíz,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906.493
78a38bbe-fc12-4677-ad9f-6eb5cfc85735,578,1,00:15:11.608,15,11,31,4.583109,30,Pass,213,Sevilla,4,From Throw In,219,RC Deportivo La Coruña,,,"['0e7658d4-8b5f-4381-a0d4-7dc8e7ba0490', '2c111262-d115-4b08-9791-e9bb9cf54d7b']",True,"[7.0, 34.0]",27457.0,Manuel Fernández Muñíz,1.0,Goalkeeper,5582.0,Celso Borges Mora,70.26023,-0.3622689,3.0,High Pass,"[72.7, 9.1]",68.0,Drop Kick,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911.608
0e7658d4-8b5f-4381-a0d4-7dc8e7ba0490,579,1,00:15:16.191,15,16,31,,42,Ball Receipt*,213,Sevilla,4,From Throw In,219,RC Deportivo La Coruña,,,['78a38bbe-fc12-4677-ad9f-6eb5cfc85735'],,"[63.5, 8.7]",5582.0,Celso Borges Mora,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916.191
2c111262-d115-4b08-9791-e9bb9cf54d7b,580,1,00:15:16.191,15,16,31,0.0,2,Ball Recovery,213,Sevilla,4,From Throw In,213,Sevilla,,,['78a38bbe-fc12-4677-ad9f-6eb5cfc85735'],,"[47.4, 71.0]",6825.0,Daniel Filipe Martins Carriço,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916.191
54601c50-cfe9-47e5-93bf-23912a6f871a,581,1,00:15:16.191,15,16,31,0.736234,43,Carry,213,Sevilla,4,From Throw In,213,Sevilla,,,"['2c111262-d115-4b08-9791-e9bb9cf54d7b', 'b058f16a-fe59-4a0f-b01e-aa4a6597c53a']",,"[47.4, 71.0]",6825.0,Daniel Filipe Martins Carriço,3.0,Right Center Back,,,,,,,,,,,,"[50.8, 73.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916.191
b058f16a-fe59-4a0f-b01e-aa4a6597c53a,582,1,00:15:16.927,15,16,31,1.137174,30,Pass,213,Sevilla,4,From Throw In,213,Sevilla,,,['e3d21fb2-b6f5-4b85-b783-f43b4c9425d1'],,"[50.8, 73.5]",6825.0,Daniel Filipe Martins Carriço,3.0,Right Center Back,6672.0,Jorge Andújar Moreno,8.728115,0.3145043,1.0,Ground Pass,"[59.1, 76.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916.927
e3d21fb2-b6f5-4b85-b783-f43b4c9425d1,583,1,00:15:18.064,15,18,31,,42,Ball Receipt*,213,Sevilla,4,From Throw In,213,Sevilla,,,['b058f16a-fe59-4a0f-b01e-aa4a6597c53a'],,"[59.1, 76.2]",6672.0,Jorge Andújar Moreno,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918.064
8d9122fc-7063-492e-b271-e8dec033d5f3,584,1,00:15:18.064,15,18,31,2.749155,43,Carry,213,Sevilla,4,From Throw In,213,Sevilla,,,"['917cbea9-e952-4ab4-b91d-9d6349c0897a', 'e3d21fb2-b6f5-4b85-b783-f43b4c9425d1']",,"[59.1, 76.2]",6672.0,Jorge Andújar Moreno,2.0,Right Back,,,,,,,,,,,,"[71.7, 76.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918.064
917cbea9-e952-4ab4-b91d-9d6349c0897a,585,1,00:15:20.813,15,20,31,0.881167,30,Pass,213,Sevilla,4,From Throw In,213,Sevilla,,,['b49069bd-0087-4b5d-9f2d-6992a4d3f380'],,"[71.7, 76.5]",6672.0,Jorge Andújar Moreno,2.0,Right Back,23816.0,José Antonio Reyes Calderón,5.9665737,-1.3339475,1.0,Ground Pass,"[73.1, 70.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920.813
b49069bd-0087-4b5d-9f2d-6992a4d3f380,586,1,00:15:21.694,15,21,31,,42,Ball Receipt*,213,Sevilla,4,From Throw In,213,Sevilla,,,['917cbea9-e952-4ab4-b91d-9d6349c0897a'],,"[73.1, 70.7]",23816.0,José Antonio Reyes Calderón,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921.694
134fa406-d8fd-4706-bbc4-cb37c0049bb1,587,1,00:15:21.694,15,21,31,0.641992,43,Carry,213,Sevilla,4,From Throw In,213,Sevilla,,,"['b49069bd-0087-4b5d-9f2d-6992a4d3f380', 'e684c18d-7af9-4ca2-82a1-96b3b4a2f397']",,"[73.1, 70.7]",23816.0,José Antonio Reyes Calderón,17.0,Right Wing,,,,,,,,,,,,"[74.3, 70.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921.694
