id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,out,counterpress,pass_miscommunication,foul_committed_type_id,foul_committed_type_name,dribble_outcome_id,dribble_outcome_name,pass_cross,clearance_right_foot,off_camera,duel_outcome_id,duel_outcome_name,miscontrol_aerial_won,clearance_left_foot,pass_switch,pass_deflected,interception_outcome_id,interception_outcome_name,ball_recovery_recovery_failure,pass_through_ball,pass_technique_id,pass_technique_name,foul_committed_card_id,foul_committed_card_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,foul_committed_advantage,foul_won_advantage,foul_won_defensive,shot_one_on_one,goalkeeper_outcome_id,goalkeeper_outcome_name,shot_aerial_won,pass_no_touch,shot_first_time,pass_goal_assist,goalkeeper_technique_id,goalkeeper_technique_name,dribble_nutmeg,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_outswinging,pass_inswinging,block_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_cut_back,bad_behaviour_card_id,bad_behaviour_card_name,shot_open_goal,timestamp_seconds
2b8d0425-7712-470f-94ed-bd34e1bc8d05,1204,1,00:30:18.911,30,18,72,2.239701,43,Carry,322,Eibar,4,From Throw In,322,Eibar,,,"['f3d40680-5633-429f-a8f7-5d3690828d88', 'f955e862-2be1-4cee-a2f9-6760411b82a8']","[80.3, 34.6]",6557.0,Adrián González Morales,15.0,Left Center Midfield,,,,,,,,,,,,"[88.9, 40.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1818.911
f955e862-2be1-4cee-a2f9-6760411b82a8,1205,1,00:30:21.151,30,21,72,1.252471,16,Shot,322,Eibar,4,From Throw In,322,Eibar,,,['2dfcc268-8950-4603-9cc0-c6c4670f1c88'],"[88.9, 40.2]",6557.0,Adrián González Morales,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018393308,"[120.0, 29.2, 1.2]",,98.0,Off T,91.0,Half Volley,38.0,Left Foot,87.0,Open Play,"[{'location': [89.2, 42.3], 'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [85.3, 48.2], 'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [84.7, 63.9], 'player': {'id': 5633, 'name': 'Yannick Ferreira Carrasco'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [96.2, 53.3], 'player': {'id': 5484, 'name': 'Lucas Hernández Pi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [92.0, 30.3], 'player': {'id': 9462, 'name': 'José Ignacio Peleteiro Ramallo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [78.7, 42.6], 'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [80.0, 50.0], 'player': {'id': 6712, 'name': 'Gonzalo Escalante'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [76.2, 60.2], 'player': {'id': 6699, 'name': 'Ander Capa Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [95.9, 50.2], 'player': {'id': 6700, 'name': 'Sergio Enrich Ametller'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [92.0, 55.4], 'player': {'id': 6742, 'name': 'Sergio Gontán Gallardo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [96.9, 47.8], 'player': {'id': 6381, 'name': 'Saúl Ñíguez Esclapez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.0, 41.4], 'player': {'id': 5259, 'name': 'José María Giménez de Vargas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.4, 29.2], 'player': {'id': 4788, 'name': 'Jesús Gámez Duarte'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [74.5, 33.7], 'player': {'id': 6383, 'name': 'Thomas Teye Partey'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [116.2, 40.8], 'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1821.151
2dfcc268-8950-4603-9cc0-c6c4670f1c88,1206,1,00:30:22.404,30,22,72,0.0,23,Goal Keeper,322,Eibar,4,From Throw In,212,Atlético Madrid,,,['f955e862-2be1-4cee-a2f9-6760411b82a8'],"[3.9, 39.3]",6378.0,Jan Oblak,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3.9, 39.3]",44.0,Set,32.0,Shot Faced,,,,,,,,,,,,,,,,,,,,,,,,,,,1822.404
1b6881a2-2d3f-4707-b597-cf3dc1ead1e8,1207,1,00:30:45.688,30,45,73,2.896647,30,Pass,212,Atlético Madrid,7,From Goal Kick,212,Atlético Madrid,,,"['4cdba7e1-9897-4825-82bb-f515fda416e9', 'a183ede0-8c21-4b1d-aa5d-078fe8c94abe']","[7.0, 36.1]",6378.0,Jan Oblak,1.0,Goalkeeper,5487.0,Antoine Griezmann,65.5817,0.24645795,3.0,High Pass,"[70.6, 52.1]",40.0,Right Foot,63.0,Goal Kick,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1845.688
4cdba7e1-9897-4825-82bb-f515fda416e9,1208,1,00:30:48.584,30,48,73,,42,Ball Receipt*,212,Atlético Madrid,7,From Goal Kick,212,Atlético Madrid,,,['1b6881a2-2d3f-4707-b597-cf3dc1ead1e8'],"[70.4, 53.2]",5487.0,Antoine Griezmann,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848.584
a90b0ffd-64cf-4440-b9d2-0d3993c192fd,1209,1,00:30:48.584,30,48,73,0.0,4,Duel,212,Atlético Madrid,7,From Goal Kick,212,Atlético Madrid,,,['a183ede0-8c21-4b1d-aa5d-078fe8c94abe'],"[70.6, 52.1]",5487.0,Antoine Griezmann,22.0,Right Center Forward,,,,,,,,,,,,,True,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848.584
a183ede0-8c21-4b1d-aa5d-078fe8c94abe,1210,1,00:30:48.584,30,48,73,1.719553,30,Pass,212,Atlético Madrid,7,From Goal Kick,322,Eibar,,,"['1b6881a2-2d3f-4707-b597-cf3dc1ead1e8', '4e1f3257-378e-4011-be2e-c1debd7ec0c2', '6c7bcfc8-0da4-4646-9a40-528cb144dfa6', 'a90b0ffd-64cf-4440-b9d2-0d3993c192fd']","[49.5, 28.0]",6775.0,Daniel García Carrillo,10.0,Center Defensive Midfield,6700.0,Sergio Enrich Ametller,19.678669,-0.16849035,3.0,High Pass,"[68.9, 24.7]",,,66.0,Recovery,,True,,,True,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848.584
6c7bcfc8-0da4-4646-9a40-528cb144dfa6,1211,1,00:30:50.304,30,50,73,,42,Ball Receipt*,212,Atlético Madrid,7,From Goal Kick,322,Eibar,,,['a183ede0-8c21-4b1d-aa5d-078fe8c94abe'],"[69.2, 26.9]",6700.0,Sergio Enrich Ametller,23.0,Center Forward,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850.304
fcbd8f98-42e5-4e70-b0ec-01feaf53d5b5,1212,1,00:30:50.304,30,50,73,0.0,4,Duel,212,Atlético Madrid,7,From Goal Kick,322,Eibar,,,['4e1f3257-378e-4011-be2e-c1debd7ec0c2'],"[68.9, 24.7]",6700.0,Sergio Enrich Ametller,23.0,Center Forward,,,,,,,,,,,,,True,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850.304
4e1f3257-378e-4011-be2e-c1debd7ec0c2,1213,1,00:30:50.304,30,50,73,1.465769,30,Pass,212,Atlético Madrid,7,From Goal Kick,212,Atlético Madrid,,,"['5f70126f-9e1c-4ad3-a464-d012bb938fc2', 'a183ede0-8c21-4b1d-aa5d-078fe8c94abe', 'fcbd8f98-42e5-4e70-b0ec-01feaf53d5b5']","[51.2, 55.4]",5259.0,José María Giménez de Vargas,3.0,Right Center Back,5487.0,Antoine Griezmann,17.409193,-0.7447701,3.0,High Pass,"[64.0, 43.6]",,,66.0,Recovery,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850.304
