id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,out,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_switch,pass_cross,foul_won_defensive,pass_technique_id,pass_technique_name,pass_outswinging,counterpress,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,pass_aerial_won,interception_outcome_id,interception_outcome_name,pass_through_ball,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_right_foot,ball_recovery_recovery_failure,pass_inswinging,pass_cut_back,dribble_nutmeg,dribble_overrun,block_deflection,pass_goal_assist,clearance_left_foot,pass_straight,shot_aerial_won,shot_first_time,foul_committed_offensive,miscontrol_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_card_id,foul_committed_card_name,shot_saved_off_target,goalkeeper_shot_saved_off_target,foul_committed_advantage,foul_won_advantage,timestamp_seconds
b54e028d-bd3d-46ce-b1f2-f42ee71e74b1,1334,1,00:36:32.126,36,32,74,3.448919,17,Pressure,221,Levante UD,3,From Free Kick,221,Levante UD,,,"['0dc4e5e5-b546-4ec9-9d04-90a33443a6e4', 'b45f32a6-6924-4873-a4fc-90550318b810', 'be6450ce-0af9-4c72-acea-426c0940d924']",,"[81.5, 39.1]",6668.0,José Luis Morales Nogales,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2192.126
b45f32a6-6924-4873-a4fc-90550318b810,1335,1,00:36:32.842,36,32,74,0.0,2,Ball Recovery,221,Levante UD,3,From Free Kick,219,RC Deportivo La Coruña,,,['b54e028d-bd3d-46ce-b1f2-f42ee71e74b1'],,"[42.9, 37.5]",6733.0,Pedro Mosquera Parada,11.0,Left Defensive Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2192.842
0dc4e5e5-b546-4ec9-9d04-90a33443a6e4,1336,1,00:36:32.842,36,32,74,2.586228,43,Carry,221,Levante UD,3,From Free Kick,219,RC Deportivo La Coruña,,,"['b45f32a6-6924-4873-a4fc-90550318b810', 'b54e028d-bd3d-46ce-b1f2-f42ee71e74b1', 'be6450ce-0af9-4c72-acea-426c0940d924']",,"[42.9, 37.5]",6733.0,Pedro Mosquera Parada,11.0,Left Defensive Midfield,,,,,,,,,,,,"[49.2, 19.2]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2192.842
be6450ce-0af9-4c72-acea-426c0940d924,1337,1,00:36:35.428,36,35,74,5.156251,30,Pass,221,Levante UD,3,From Free Kick,219,RC Deportivo La Coruña,,,"['1971b8f6-efea-4681-9dee-757841da556c', '3fec14b0-5d21-4420-afe7-1432d722bec1', 'b54e028d-bd3d-46ce-b1f2-f42ee71e74b1']",,"[49.2, 19.2]",6733.0,Pedro Mosquera Parada,11.0,Left Defensive Midfield,6732.0,Lucas Pérez Martínez,63.38178,-0.12337652,2.0,Low Pass,"[112.1, 11.4]",,,38.0,Left Foot,,True,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2195.428
1971b8f6-efea-4681-9dee-757841da556c,1338,1,00:36:40.584,36,40,74,,42,Ball Receipt*,221,Levante UD,3,From Free Kick,219,RC Deportivo La Coruña,,,['be6450ce-0af9-4c72-acea-426c0940d924'],,"[110.6, 10.9]",6732.0,Lucas Pérez Martínez,23.0,Center Forward,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200.584
3fec14b0-5d21-4420-afe7-1432d722bec1,1339,1,00:36:40.584,36,40,74,0.0,10,Interception,221,Levante UD,3,From Free Kick,221,Levante UD,,,['be6450ce-0af9-4c72-acea-426c0940d924'],,"[8.0, 68.7]",27122.0,Simão Mate,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200.584
70172163-3620-4a98-85bd-2e0a6551f809,1340,1,00:36:40.584,36,40,74,1.946376,43,Carry,221,Levante UD,3,From Free Kick,221,Levante UD,,,"['3fec14b0-5d21-4420-afe7-1432d722bec1', 'e22ee337-bca7-4475-9a0e-8309c1ee2233']",,"[8.0, 68.7]",27122.0,Simão Mate,10.0,Center Defensive Midfield,,,,,,,,,,,,"[3.7, 75.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200.584
e22ee337-bca7-4475-9a0e-8309c1ee2233,1341,1,00:36:42.531,36,42,74,1.782539,30,Pass,221,Levante UD,3,From Free Kick,221,Levante UD,,,['a43278a3-77f8-40ae-8821-2bf75f8ebaa1'],,"[3.7, 75.2]",27122.0,Simão Mate,10.0,Center Defensive Midfield,6787.0,Pedro López Muñoz,14.001429,-0.014284743,1.0,Ground Pass,"[17.7, 75.0]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2202.531
a43278a3-77f8-40ae-8821-2bf75f8ebaa1,1342,1,00:36:44.313,36,44,74,,42,Ball Receipt*,221,Levante UD,3,From Free Kick,221,Levante UD,,,['e22ee337-bca7-4475-9a0e-8309c1ee2233'],,"[17.7, 75.0]",6787.0,Pedro López Muñoz,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2204.313
2434b55a-dbaa-4dd5-a88a-bffd81ce705d,1343,1,00:36:44.313,36,44,74,1.039999,43,Carry,221,Levante UD,3,From Free Kick,221,Levante UD,,,"['645cbe51-8b04-4076-bcc3-15c92a3e7354', 'a43278a3-77f8-40ae-8821-2bf75f8ebaa1']",,"[17.7, 75.0]",6787.0,Pedro López Muñoz,2.0,Right Back,,,,,,,,,,,,"[17.7, 75.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2204.313
