id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,under_pressure,carry_end_location,duel_type_id,duel_type_name,pass_outcome_id,pass_outcome_name,pass_aerial_won,interception_outcome_id,interception_outcome_name,counterpress,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,out,off_camera,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_technique_id,pass_technique_name,pass_outswinging,clearance_head,pass_switch,duel_outcome_id,duel_outcome_name,clearance_left_foot,clearance_aerial_won,pass_inswinging,miscontrol_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_aerial_won,pass_through_ball,foul_committed_advantage,foul_won_advantage,pass_cross,foul_committed_offensive,foul_won_defensive,shot_first_time,block_save_block,goalkeeper_end_location,pass_goal_assist,pass_cut_back,foul_committed_type_id,foul_committed_type_name,dribble_overrun,foul_committed_card_id,foul_committed_card_name,shot_open_goal,bad_behaviour_card_id,bad_behaviour_card_name,pass_straight,timestamp_seconds
48146600-3e6f-4146-a8c9-51633c350985,1798,2,00:03:28.589,48,28,112,0.0,3,Dispossessed,221,Levante UD,3,From Free Kick,221,Levante UD,,,"['5e2b6270-83cf-4d6c-af85-384f99e3bc6e', '91b518b7-1621-4e59-ab32-c112b6c7ca91']","[95.3, 35.1]",6668.0,José Luis Morales Nogales,16.0,Left Midfield,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.589
91b518b7-1621-4e59-ab32-c112b6c7ca91,1799,2,00:03:28.589,48,28,113,0.0,4,Duel,223,Málaga,1,Regular Play,223,Málaga,,,['48146600-3e6f-4146-a8c9-51633c350985'],"[24.8, 45.0]",6727.0,Raúl Albentosa Redal,3.0,Right Center Back,,,,,,,,,,,,True,,11.0,Tackle,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.589
a881f1cb-9cf3-4e35-b384-3e132bb6f0b2,1800,2,00:03:31.192,48,31,113,1.557392,30,Pass,223,Málaga,1,Regular Play,223,Málaga,,,['3ad5b992-ee85-42f9-b507-0c4f72509c4d'],"[39.0, 49.2]",6764.0,Pablo Fornals Malla,11.0,Left Defensive Midfield,6563.0,Juan Pablo Añor Acosta,13.023056,1.3854483,1.0,Ground Pass,"[41.4, 62.0]",66.0,Recovery,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.192
3ad5b992-ee85-42f9-b507-0c4f72509c4d,1801,2,00:03:32.749,48,32,113,,42,Ball Receipt*,223,Málaga,1,Regular Play,223,Málaga,,,['a881f1cb-9cf3-4e35-b384-3e132bb6f0b2'],"[41.4, 62.0]",6563.0,Juan Pablo Añor Acosta,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.749
e867fdc3-b4c9-4eab-9db8-1b6ddc88a12a,1802,2,00:03:32.749,48,32,113,5.87133,43,Carry,223,Málaga,1,Regular Play,223,Málaga,,,"['1e323afb-6d16-4558-9d77-ab147a6cd21f', '3ad5b992-ee85-42f9-b507-0c4f72509c4d', 'cb56e5b7-5199-4aa5-9632-6194b967c432']","[41.4, 62.0]",6563.0,Juan Pablo Añor Acosta,12.0,Right Midfield,,,,,,,,,,,,True,"[71.2, 74.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.749
cb56e5b7-5199-4aa5-9632-6194b967c432,1803,2,00:03:37.338,48,37,113,0.505814,17,Pressure,223,Málaga,1,Regular Play,221,Levante UD,,,['e867fdc3-b4c9-4eab-9db8-1b6ddc88a12a'],"[47.6, 9.3]",24149.0,José Antonio García Rabasco,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.338
1e323afb-6d16-4558-9d77-ab147a6cd21f,1804,2,00:03:38.620,48,38,113,1.536902,30,Pass,223,Málaga,1,Regular Play,223,Málaga,,,['42b169d5-4f88-4282-a06b-46bfcb019fe0'],"[71.2, 74.8]",6563.0,Juan Pablo Añor Acosta,12.0,Right Midfield,6764.0,Pablo Fornals Malla,6.5604877,-2.485897,1.0,Ground Pass,"[66.0, 70.8]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.62
42b169d5-4f88-4282-a06b-46bfcb019fe0,1805,2,00:03:40.157,48,40,113,,42,Ball Receipt*,223,Málaga,1,Regular Play,223,Málaga,,,['1e323afb-6d16-4558-9d77-ab147a6cd21f'],"[66.0, 70.8]",6764.0,Pablo Fornals Malla,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.15699999999998
33958676-7322-49b9-a928-31109f6f5313,1806,2,00:03:40.157,48,40,113,1.376183,43,Carry,223,Málaga,1,Regular Play,223,Málaga,,,"['00bc48e2-f057-4310-b42a-d654ae765497', '42b169d5-4f88-4282-a06b-46bfcb019fe0', '5250910c-0a1a-4747-98ad-447c68543175']","[66.0, 70.8]",6764.0,Pablo Fornals Malla,11.0,Left Defensive Midfield,,,,,,,,,,,,True,"[58.8, 70.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.15699999999998
5250910c-0a1a-4747-98ad-447c68543175,1807,2,00:03:40.468,48,40,113,0.797022,17,Pressure,223,Málaga,1,Regular Play,221,Levante UD,,,['33958676-7322-49b9-a928-31109f6f5313'],"[54.5, 9.7]",24149.0,José Antonio García Rabasco,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.46800000000002
