id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,interception_outcome_id,interception_outcome_name,out,clearance_body_part_id,clearance_body_part_name,clearance_head,counterpress,clearance_right_foot,ball_recovery_recovery_failure,foul_won_defensive,pass_switch,pass_technique_id,pass_technique_name,pass_outswinging,miscontrol_aerial_won,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_aerial_won,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,foul_committed_card_id,foul_committed_card_name,clearance_left_foot,pass_cross,pass_cut_back,off_camera,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,dribble_overrun,pass_miscommunication,dribble_nutmeg,foul_committed_advantage,foul_won_advantage,pass_inswinging,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_punched_out,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_no_touch,50_50_outcome_id,50_50_outcome_name,clearance_other,pass_goal_assist,pass_through_ball,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,block_save_block,pass_straight,block_offensive,timestamp_seconds
2e1910a6-4f13-4f99-b358-46cb9f9f25a9,2674,2,00:42:16.525,87,16,197,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['51517b33-a4ce-4845-8de8-35d1e3f9c337'],"[51.2, 8.9]",24508.0,Manuel Castellano Castro,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2536.525
3cfed061-939b-4af0-aa64-8ae1f4df5dfe,2675,2,00:42:16.525,87,16,197,0.319999,43,Carry,322,Eibar,1,Regular Play,322,Eibar,,,"['06476c7d-23a8-4707-ae07-81df2295ae49', '2e1910a6-4f13-4f99-b358-46cb9f9f25a9']","[51.2, 8.9]",24508.0,Manuel Castellano Castro,6.0,Left Back,,,,,,,,,,,,"[51.2, 8.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2536.525
06476c7d-23a8-4707-ae07-81df2295ae49,2676,2,00:42:16.845,87,16,197,0.56,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,['5298e1e9-842f-4751-9d66-20fd2fc9b480'],"[51.2, 8.9]",24508.0,Manuel Castellano Castro,6.0,Left Back,6557.0,Adrián González Morales,17.297688,1.2472177,1.0,Ground Pass,"[56.7, 25.3]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2536.845
5298e1e9-842f-4751-9d66-20fd2fc9b480,2677,2,00:42:17.405,87,17,197,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['06476c7d-23a8-4707-ae07-81df2295ae49'],"[56.7, 25.3]",6557.0,Adrián González Morales,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2537.405
57b21c02-78e6-4fa7-8b78-03a9f332354a,2678,2,00:42:17.405,87,17,197,0.92,43,Carry,322,Eibar,1,Regular Play,322,Eibar,,,"['023e1c63-7c43-480d-a092-d6b2cb92fa60', '5298e1e9-842f-4751-9d66-20fd2fc9b480']","[56.7, 25.3]",6557.0,Adrián González Morales,11.0,Left Defensive Midfield,,,,,,,,,,,,"[58.2, 24.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2537.405
023e1c63-7c43-480d-a092-d6b2cb92fa60,2679,2,00:42:18.325,87,18,197,1.24,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,['4493cb8b-dd41-427f-bc42-15bf89171985'],"[58.2, 24.1]",6557.0,Adrián González Morales,11.0,Left Defensive Midfield,7170.0,Simone Verdi,24.517748,-1.0779599,1.0,Ground Pass,"[69.8, 2.5]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2538.325
4493cb8b-dd41-427f-bc42-15bf89171985,2680,2,00:42:19.565,87,19,197,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['023e1c63-7c43-480d-a092-d6b2cb92fa60'],"[69.8, 2.5]",7170.0,Simone Verdi,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2539.565
24ccb25c-1129-4513-9be7-28af7e427fa9,2681,2,00:42:19.565,87,19,197,3.769132,43,Carry,322,Eibar,1,Regular Play,322,Eibar,,,"['4493cb8b-dd41-427f-bc42-15bf89171985', 'd2554c1d-ad16-476e-8c8d-a95776e855bd']","[69.8, 2.5]",7170.0,Simone Verdi,19.0,Center Attacking Midfield,,,,,,,,,,,,"[83.9, 11.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2539.565
d2554c1d-ad16-476e-8c8d-a95776e855bd,2682,2,00:42:23.334,87,23,197,1.321194,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,"['5ba5eaa9-2de6-4f0b-9220-92565b0d9b3d', 'd46864f1-987b-446e-b83c-a34e437f43a9']","[83.9, 11.0]",7170.0,Simone Verdi,19.0,Center Attacking Midfield,24508.0,Manuel Castellano Castro,17.561605,-0.22978646,1.0,Ground Pass,"[101.0, 7.0]",,,40.0,Right Foot,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2543.334
d46864f1-987b-446e-b83c-a34e437f43a9,2683,2,00:42:24.655,87,24,197,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['d2554c1d-ad16-476e-8c8d-a95776e855bd'],"[103.7, 12.2]",24508.0,Manuel Castellano Castro,6.0,Left Back,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2544.655
5ba5eaa9-2de6-4f0b-9220-92565b0d9b3d,2684,2,00:42:24.655,87,24,198,0.792024,30,Pass,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['c4bacaf0-6085-453f-aa6b-35aa51a67590', 'd2554c1d-ad16-476e-8c8d-a95776e855bd']","[19.1, 73.1]",8818.0,Jorge Meré Pérez,5.0,Left Center Back,40822.0,Daniel Arnaud N''Di	,8.3600235,0.11990398,1.0,Ground Pass,"[27.4, 74.1]",64.0,Interception,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2544.655
c4bacaf0-6085-453f-aa6b-35aa51a67590,2685,2,00:42:25.447,87,25,198,,42,Ball Receipt*,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['5ba5eaa9-2de6-4f0b-9220-92565b0d9b3d'],"[27.4, 74.1]",40822.0,Daniel Arnaud N''Di	,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2545.447
