id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,dribble_outcome_id,dribble_outcome_name,foul_committed_card_id,foul_committed_card_name,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,off_camera,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,pass_aerial_won,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,pass_switch,counterpress,foul_won_defensive,pass_cross,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_technique_id,pass_technique_name,pass_through_ball,pass_no_touch,out,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,goalkeeper_punched_out,50_50_outcome_id,50_50_outcome_name,pass_straight,pass_cut_back,dribble_overrun,clearance_left_foot,clearance_right_foot,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_aerial_won,goalkeeper_end_location,ball_recovery_recovery_failure,shot_first_time,pass_outswinging,clearance_other,shot_one_on_one,pass_inswinging,block_deflection,foul_committed_advantage,foul_won_advantage,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_nutmeg,shot_deflected,miscontrol_aerial_won,bad_behaviour_card_id,bad_behaviour_card_name,shot_open_goal,timestamp_seconds
04464db4-446c-4198-86c2-97b3e9354737,496,1,00:12:24.246,12,24,46,1.91774,43,Carry,223,Málaga,1,Regular Play,223,Málaga,,,"['29765098-2d34-40de-9393-732f68c3ff66', '2e05b31d-580e-4551-bd50-91a38c28d2a2']","[52.0, 37.4]",26669.0,Weligton Róbson Pena de Oliveira,5.0,Left Center Back,,,,,,,,,,,,"[52.0, 37.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744.246
29765098-2d34-40de-9393-732f68c3ff66,497,1,00:12:26.164,12,26,46,0.855874,30,Pass,223,Málaga,1,Regular Play,223,Málaga,,,['d7250737-a670-4bf8-a32b-b12f1d083325'],"[52.0, 37.4]",26669.0,Weligton Róbson Pena de Oliveira,5.0,Left Center Back,6764.0,Pablo Fornals Malla,11.788554,0.17909478,1.0,Ground Pass,"[63.6, 39.5]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.164
d7250737-a670-4bf8-a32b-b12f1d083325,498,1,00:12:27.019,12,27,46,,42,Ball Receipt*,223,Málaga,1,Regular Play,223,Málaga,,,['29765098-2d34-40de-9393-732f68c3ff66'],"[63.6, 39.5]",6764.0,Pablo Fornals Malla,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747.019
4c79e390-ab3a-46cf-b1bc-984200229e2d,499,1,00:12:27.019,12,27,46,1.799997,43,Carry,223,Málaga,1,Regular Play,223,Málaga,,,"['9e101ca7-ef88-4807-b3d3-fdb8be3aac94', 'd7250737-a670-4bf8-a32b-b12f1d083325']","[63.6, 39.5]",6764.0,Pablo Fornals Malla,16.0,Left Midfield,,,,,,,,,,,,"[63.6, 39.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747.019
9e101ca7-ef88-4807-b3d3-fdb8be3aac94,500,1,00:12:28.819,12,28,46,1.836731,30,Pass,223,Málaga,1,Regular Play,223,Málaga,,,['adb895f9-d401-4dff-9af7-d882466e3f14'],"[63.6, 39.5]",6764.0,Pablo Fornals Malla,16.0,Left Midfield,6559.0,Juan Carlos Pérez López,30.701466,-1.580568,1.0,Ground Pass,"[63.3, 8.8]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748.819
adb895f9-d401-4dff-9af7-d882466e3f14,501,1,00:12:30.656,12,30,46,,42,Ball Receipt*,223,Málaga,1,Regular Play,223,Málaga,,,['9e101ca7-ef88-4807-b3d3-fdb8be3aac94'],"[63.3, 8.8]",6559.0,Juan Carlos Pérez López,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750.656
55a37f08-3293-4995-96e0-93fc8c302102,502,1,00:12:30.656,12,30,46,1.119999,43,Carry,223,Málaga,1,Regular Play,223,Málaga,,,"['adb895f9-d401-4dff-9af7-d882466e3f14', 'c1ed1c05-dd20-4a15-84a5-c2dfdd18719d']","[63.3, 8.8]",6559.0,Juan Carlos Pérez López,6.0,Left Back,,,,,,,,,,,,"[63.3, 8.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750.656
c1ed1c05-dd20-4a15-84a5-c2dfdd18719d,503,1,00:12:31.776,12,31,46,0.819085,30,Pass,223,Málaga,1,Regular Play,223,Málaga,,,['4ec6f9dd-21e5-40ad-b6f2-7acd14f65730'],"[63.3, 8.8]",6559.0,Juan Carlos Pérez López,6.0,Left Back,6580.0,José Luis García del Pozo,11.375852,1.8285675,1.0,Ground Pass,"[60.4, 19.8]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751.776
4ec6f9dd-21e5-40ad-b6f2-7acd14f65730,504,1,00:12:32.595,12,32,46,,42,Ball Receipt*,223,Málaga,1,Regular Play,223,Málaga,,,['c1ed1c05-dd20-4a15-84a5-c2dfdd18719d'],"[60.4, 19.8]",6580.0,José Luis García del Pozo,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752.595
f789069a-2496-420b-b81f-7a0cb23a195f,505,1,00:12:32.595,12,32,46,3.527779,43,Carry,223,Málaga,1,Regular Play,223,Málaga,,,"['49a74b1e-c57c-48c2-997c-76f05117d80d', '4ec6f9dd-21e5-40ad-b6f2-7acd14f65730']","[60.4, 19.8]",6580.0,José Luis García del Pozo,9.0,Right Defensive Midfield,,,,,,,,,,,,"[60.9, 20.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752.595
