id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,counterpress,out,goalkeeper_body_part_id,goalkeeper_body_part_name,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,foul_committed_advantage,foul_won_advantage,pass_cross,pass_switch,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_aerial_won,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,ball_recovery_recovery_failure,interception_outcome_id,interception_outcome_name,pass_deflected,block_deflection,foul_won_defensive,shot_first_time,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_cut_back,clearance_right_foot,pass_goal_assist,goalkeeper_technique_id,goalkeeper_technique_name,miscontrol_aerial_won,pass_technique_id,pass_technique_name,pass_straight,dribble_overrun,pass_outswinging,pass_inswinging,dribble_nutmeg,shot_one_on_one,50_50_outcome_id,50_50_outcome_name,timestamp_seconds
3472484d-2eed-4665-b9ae-15941c87b431,2373,2,00:21:15.255,66,15,128,0.33544,17,Pressure,222,Villarreal,4,From Throw In,213,Sevilla,,,['ce8350b7-e7d0-4bcc-b3fc-3e95a1b82906'],,"[35.8, 11.2]",5504.0,Éver Maximiliano David Banega,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275.255
2d21ca8b-1e51-417c-8900-5d2e8c67be06,2374,2,00:21:15.845,66,15,128,0.0,39,Dribbled Past,222,Villarreal,4,From Throw In,213,Sevilla,,,"['9b9e6e0e-45f3-4fa8-aede-50fc5b855d9a', 'b4648b1a-1b13-480d-bd7a-80090f73d436']",,"[33.4, 11.8]",5504.0,Éver Maximiliano David Banega,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275.845
b4648b1a-1b13-480d-bd7a-80090f73d436,2375,2,00:21:15.845,66,15,128,0.0,14,Dribble,222,Villarreal,4,From Throw In,222,Villarreal,,,['2d21ca8b-1e51-417c-8900-5d2e8c67be06'],,"[86.7, 68.3]",6609.0,Denis Suárez Fernández,12.0,Right Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,1275.845
9b9e6e0e-45f3-4fa8-aede-50fc5b855d9a,2376,2,00:21:15.845,66,15,128,3.269469,43,Carry,222,Villarreal,4,From Throw In,222,Villarreal,,,"['2d21ca8b-1e51-417c-8900-5d2e8c67be06', '4c649854-3a02-4c93-a3f5-f96557fc138c', 'b4648b1a-1b13-480d-bd7a-80090f73d436', 'd9e6c862-2477-44ba-abbd-29a25a3ca413']",,"[86.7, 68.3]",6609.0,Denis Suárez Fernández,12.0,Right Midfield,,,,,,,,,,,,"[109.3, 55.8]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275.845
d9e6c862-2477-44ba-abbd-29a25a3ca413,2377,2,00:21:17.673,66,17,128,0.866897,17,Pressure,222,Villarreal,4,From Throw In,213,Sevilla,,,['9b9e6e0e-45f3-4fa8-aede-50fc5b855d9a'],,"[15.1, 22.3]",6825.0,Daniel Filipe Martins Carriço,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1277.673
4c649854-3a02-4c93-a3f5-f96557fc138c,2378,2,00:21:19.115,66,19,128,0.385182,16,Shot,222,Villarreal,4,From Throw In,222,Villarreal,,,['6f0d7568-134a-4e72-be04-c340169bda16'],,"[109.3, 55.8]",6609.0,Denis Suárez Fernández,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041316465,"[117.2, 44.8, 2.0]",2f4248ff-3269-4f5a-aad5-e0d381f82b94,87.0,Open Play,40.0,Right Foot,,100.0,Saved,93.0,Normal,"[{'location': [105.2, 50.0], 'player': {'id': 7154, 'name': 'Sebastián Carlos Cristóforo Pepe'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [109.0, 54.9], 'player': {'id': 6825, 'name': 'Daniel Filipe Martins Carriço'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.8, 53.2], 'player': {'id': 3253, 'name': 'Adil Rami'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.3, 42.6], 'player': {'id': 21210, 'name': 'Mariano Ferreira Filho'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.0, 44.5], 'player': {'id': 6823, 'name': 'Sergio Rico González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.9, 45.9], 'player': {'id': 6862, 'name': 'Cédric Bakambu'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [102.4, 32.8], 'player': {'id': 6829, 'name': 'Samuel Castillejo Azuaga'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1279.115
6f0d7568-134a-4e72-be04-c340169bda16,2379,2,00:21:19.500,66,19,128,0.0,23,Goal Keeper,222,Villarreal,4,From Throw In,213,Sevilla,,,['4c649854-3a02-4c93-a3f5-f96557fc138c'],,"[3.1, 35.6]",6823.0,Sergio Rico González,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,33.0,Shot Saved,59.0,Touched Out,,,35.0,Both Hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,Set,,,,,,,,,,,,,,,46.0,Standing,,,,,,,,,,,,1279.5
933e5902-d703-4c69-94fb-f854e10dfe1d,2380,2,00:21:41.643,66,41,129,1.65224,30,Pass,222,Villarreal,2,From Corner,222,Villarreal,,,['ae31e6b6-9df7-4eff-9508-50212ce22372'],,"[120.0, 80.0]",6829.0,Samuel Castillejo Azuaga,16.0,Left Midfield,,,35.62527,-1.6833135,3.0,High Pass,"[116.0, 44.6]",38.0,Left Foot,61.0,Corner,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,Inswinging,,,,True,,,,,1301.643
ae31e6b6-9df7-4eff-9508-50212ce22372,2381,2,00:21:43.295,66,43,129,0.0,9,Clearance,222,Villarreal,2,From Corner,213,Sevilla,,,['933e5902-d703-4c69-94fb-f854e10dfe1d'],,"[4.1, 35.5]",6825.0,Daniel Filipe Martins Carriço,5.0,Left Center Back,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,37.0,Head,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1303.295
a540be19-56da-4d30-bbc0-27227f17f759,2382,2,00:21:46.889,66,46,130,0.0,2,Ball Recovery,213,Sevilla,6,From Counter,213,Sevilla,,,,,"[32.6, 4.0]",6401.0,Kevin Gameiro,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1306.889
