id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,off_camera,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,counterpress,foul_committed_advantage,foul_won_advantage,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,interception_outcome_id,interception_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,out,pass_switch,pass_technique_id,pass_technique_name,pass_outswinging,clearance_head,clearance_aerial_won,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,ball_recovery_recovery_failure,foul_won_defensive,clearance_left_foot,goalkeeper_technique_id,goalkeeper_technique_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,miscontrol_aerial_won,pass_straight,shot_first_time,pass_inswinging,shot_deflected,block_deflection,pass_no_touch,shot_one_on_one,dribble_overrun,foul_committed_card_id,foul_committed_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_aerial_won,pass_through_ball,shot_saved_off_target,goalkeeper_shot_saved_off_target,timestamp_seconds
50dfd12c-b25f-46e4-badf-e868c8453353,3356,2,00:38:17.175,83,17,185,1.281972,17,Pressure,212,Atlético Madrid,1,Regular Play,222,Villarreal,,,"['408c980c-dda0-47d7-b4fe-c3414a107fc5', '8a872587-befb-4748-bfe3-ec416d76bd9b']","[41.0, 72.3]",6772.0,Mario Gaspar Pérez Martínez,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2297.175
408c980c-dda0-47d7-b4fe-c3414a107fc5,3357,2,00:38:18.279,83,18,185,1.114895,30,Pass,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['39e6a712-985a-491a-804c-1519cbbfb885', '50dfd12c-b25f-46e4-badf-e868c8453353']","[83.8, 23.3]",5199.0,Jorge Resurrección Merodio,16.0,Left Midfield,12021.0,Óliver Torres Muñoz,12.571794,1.7791119,1.0,Ground Pass,"[81.2, 35.6]",40.0,Right Foot,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2298.279
39e6a712-985a-491a-804c-1519cbbfb885,3358,2,00:38:19.394,83,19,185,,42,Ball Receipt*,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['408c980c-dda0-47d7-b4fe-c3414a107fc5'],"[81.2, 35.6]",12021.0,Óliver Torres Muñoz,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2299.394
e7c01134-6c95-4938-b455-0bed259a11cd,3359,2,00:38:19.394,83,19,185,1.848462,43,Carry,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['39e6a712-985a-491a-804c-1519cbbfb885', 'b859b228-9742-49fe-947e-8a7d943064e4']","[81.2, 35.6]",12021.0,Óliver Torres Muñoz,12.0,Right Midfield,,,,,,,,,,,,"[85.5, 39.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2299.394
b859b228-9742-49fe-947e-8a7d943064e4,3360,2,00:38:21.242,83,21,185,1.833524,30,Pass,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['480a42a1-2e3a-40e0-bcc6-7fb9cabb565c'],"[85.5, 39.2]",12021.0,Óliver Torres Muñoz,12.0,Right Midfield,6744.0,Luciano Vietto,36.763298,-0.35272172,2.0,Low Pass,"[120.0, 26.5]",40.0,Right Foot,,,,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,Through Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,2301.242
480a42a1-2e3a-40e0-bcc6-7fb9cabb565c,3361,2,00:38:23.076,83,23,185,,42,Ball Receipt*,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['b859b228-9742-49fe-947e-8a7d943064e4'],"[109.9, 25.6]",6744.0,Luciano Vietto,22.0,Right Center Forward,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2303.076
4d60edd9-1d9c-41ad-8f63-8540e58d6485,3362,2,00:38:49.045,83,49,186,3.713323,30,Pass,222,Villarreal,7,From Goal Kick,222,Villarreal,,,['a71b6dc4-e587-42c0-bd5e-5bf842a4d6bf'],"[6.0, 44.0]",3379.0,Alphonse Areola,1.0,Goalkeeper,6735.0,Adrián López Álvarez,70.4756,-0.41476664,3.0,High Pass,"[70.5, 15.6]",40.0,Right Foot,63.0,Goal Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2329.045
a71b6dc4-e587-42c0-bd5e-5bf842a4d6bf,3363,2,00:38:52.758,83,52,186,,42,Ball Receipt*,222,Villarreal,7,From Goal Kick,222,Villarreal,,,['4d60edd9-1d9c-41ad-8f63-8540e58d6485'],"[70.5, 15.6]",6735.0,Adrián López Álvarez,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2332.758
21efa850-8a3f-4e0c-bd54-2fd6551840ca,3364,2,00:38:52.758,83,52,186,1.891443,30,Pass,222,Villarreal,7,From Goal Kick,222,Villarreal,,,"['548d1af7-3d87-46cf-807a-cfbd0d794b86', '88c35aac-fffa-4bd4-809c-e8ee2fdc3dd2', 'fa01967b-0b8b-485c-804c-120f5e537e9e']","[70.5, 15.8]",6735.0,Adrián López Álvarez,22.0,Right Center Forward,6761.0,Leonardo Carrilho Baptistão,16.60271,0.31222704,3.0,High Pass,"[86.3, 20.9]",,,,,,9.0,Incomplete,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2332.758
88c35aac-fffa-4bd4-809c-e8ee2fdc3dd2,3365,2,00:38:52.758,83,52,186,0.0,4,Duel,222,Villarreal,7,From Goal Kick,212,Atlético Madrid,,,['21efa850-8a3f-4e0c-bd54-2fd6551840ca'],"[49.6, 64.3]",18904.0,Claudio Matías Kranevitter,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,True,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2332.758
