id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,under_pressure,carry_end_location,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,counterpress,pass_aerial_won,pass_technique_id,pass_technique_name,pass_through_ball,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_switch,pass_cross,out,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_aerial_won,pass_outswinging,clearance_left_foot,pass_assisted_shot_id,pass_shot_assist,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_right_foot,pass_goal_assist,shot_first_time,goalkeeper_end_location,foul_committed_advantage,foul_won_advantage,ball_recovery_recovery_failure,pass_inswinging,shot_saved_to_post,goalkeeper_shot_saved_to_post,shot_aerial_won,foul_committed_penalty,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,foul_won_penalty,goalkeeper_punched_out,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_cut_back,foul_committed_offensive,shot_open_goal,dribble_nutmeg,shot_deflected,block_deflection,timestamp_seconds
f8f9de88-62ce-451a-bacd-31114a458b1c,320,1,00:07:32.959,7,32,16,,42,Ball Receipt*,213,Sevilla,4,From Throw In,213,Sevilla,,,['3ee417d4-a239-411d-8723-aab6b923dbb9'],,"[85.9, 73.5]",7154.0,Sebastián Carlos Cristóforo Pepe,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.959
21c6bc61-836a-4802-a9aa-cbb71b92e643,321,1,00:07:32.959,7,32,16,1.275911,43,Carry,213,Sevilla,4,From Throw In,213,Sevilla,,,"['9902e143-1029-4589-9102-8e18fdedf3de', 'a1a295dc-227a-4738-89f7-cf767686b11e', 'f8f9de88-62ce-451a-bacd-31114a458b1c']",,"[85.9, 73.5]",7154.0,Sebastián Carlos Cristóforo Pepe,11.0,Left Defensive Midfield,,,,,,,,,,,,True,"[88.1, 74.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.959
9902e143-1029-4589-9102-8e18fdedf3de,322,1,00:07:34.022,7,34,16,0.318977,17,Pressure,213,Sevilla,4,From Throw In,220,Real Madrid,,,"['21c6bc61-836a-4802-a9aa-cbb71b92e643', 'a1a295dc-227a-4738-89f7-cf767686b11e']",,"[29.0, 5.0]",5574.0,Toni Kroos,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.022
a1a295dc-227a-4738-89f7-cf767686b11e,323,1,00:07:34.235,7,34,16,0.591099,30,Pass,213,Sevilla,4,From Throw In,213,Sevilla,,,"['9902e143-1029-4589-9102-8e18fdedf3de', 'b68c79a8-6413-4755-8635-5b5067e6b645']",,"[88.1, 74.3]",7154.0,Sebastián Carlos Cristóforo Pepe,11.0,Left Defensive Midfield,10881.0,Diogo José Rosário Gomes Figueiras,10.041912,-0.79948175,2.0,Low Pass,"[95.1, 67.1]",,,40.0,Right Foot,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.235
b68c79a8-6413-4755-8635-5b5067e6b645,324,1,00:07:34.826,7,34,16,,42,Ball Receipt*,213,Sevilla,4,From Throw In,213,Sevilla,,,['a1a295dc-227a-4738-89f7-cf767686b11e'],,"[95.1, 67.1]",10881.0,Diogo José Rosário Gomes Figueiras,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.826
5fb244f0-9c3a-453b-ad4d-f274206d4403,325,1,00:07:34.826,7,34,16,0.152781,43,Carry,213,Sevilla,4,From Throw In,213,Sevilla,,,"['1880b81a-7fda-4588-93a4-f2b67204f52e', 'b68c79a8-6413-4755-8635-5b5067e6b645']",,"[95.1, 67.1]",10881.0,Diogo José Rosário Gomes Figueiras,12.0,Right Midfield,,,,,,,,,,,,,"[95.1, 66.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.826
1880b81a-7fda-4588-93a4-f2b67204f52e,326,1,00:07:34.979,7,34,16,0.719425,30,Pass,213,Sevilla,4,From Throw In,213,Sevilla,,,['9cf7d498-5c64-40ff-b293-27b98e08090a'],,"[95.1, 66.9]",10881.0,Diogo José Rosário Gomes Figueiras,12.0,Right Midfield,6672.0,Jorge Andújar Moreno,9.794897,1.0934509,2.0,Low Pass,"[99.6, 75.6]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.979
e83bf99e-9e8c-4a4c-84e3-71ef33d77965,327,1,00:07:35.675,7,35,16,0.311172,17,Pressure,213,Sevilla,4,From Throw In,220,Real Madrid,,,"['7f14d1c3-18c0-4f99-a7da-659ac84d5105', '9cf7d498-5c64-40ff-b293-27b98e08090a', 'bc8b576d-ced7-4f55-b983-baf1146659b5']",,"[19.1, 6.7]",5552.0,Marcelo Vieira da Silva Júnior,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.675
9cf7d498-5c64-40ff-b293-27b98e08090a,328,1,00:07:35.698,7,35,16,,42,Ball Receipt*,213,Sevilla,4,From Throw In,213,Sevilla,,,"['1880b81a-7fda-4588-93a4-f2b67204f52e', 'e83bf99e-9e8c-4a4c-84e3-71ef33d77965']",,"[99.6, 75.6]",6672.0,Jorge Andújar Moreno,2.0,Right Back,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.698
7f14d1c3-18c0-4f99-a7da-659ac84d5105,329,1,00:07:35.698,7,35,16,0.197028,43,Carry,213,Sevilla,4,From Throw In,213,Sevilla,,,"['9cf7d498-5c64-40ff-b293-27b98e08090a', 'bc8b576d-ced7-4f55-b983-baf1146659b5', 'e83bf99e-9e8c-4a4c-84e3-71ef33d77965']",,"[99.6, 75.6]",6672.0,Jorge Andújar Moreno,2.0,Right Back,,,,,,,,,,,,True,"[99.5, 75.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.698
bc8b576d-ced7-4f55-b983-baf1146659b5,330,1,00:07:35.895,7,35,16,1.752374,30,Pass,213,Sevilla,4,From Throw In,213,Sevilla,,,"['062422b1-3033-4539-b8fa-8a46d074e15e', 'e83bf99e-9e8c-4a4c-84e3-71ef33d77965']",,"[99.5, 75.3]",6672.0,Jorge Andújar Moreno,2.0,Right Back,10881.0,Diogo José Rosário Gomes Figueiras,13.194695,-1.0902011,3.0,High Pass,"[105.6, 63.6]",,,40.0,Right Foot,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.895
062422b1-3033-4539-b8fa-8a46d074e15e,331,1,00:07:37.647,7,37,16,,42,Ball Receipt*,213,Sevilla,4,From Throw In,213,Sevilla,,,['bc8b576d-ced7-4f55-b983-baf1146659b5'],,"[105.6, 63.6]",10881.0,Diogo José Rosário Gomes Figueiras,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.647
0deca859-5cb0-4856-9ec0-3f43a16e2a3e,332,1,00:07:37.647,7,37,16,0.486802,43,Carry,213,Sevilla,4,From Throw In,213,Sevilla,,,"['062422b1-3033-4539-b8fa-8a46d074e15e', '35554a85-ac32-474c-be31-9d0eaab61f02', '901018ce-0e34-4b6e-a080-0c0fb05020d8']",,"[105.6, 63.6]",10881.0,Diogo José Rosário Gomes Figueiras,12.0,Right Midfield,,,,,,,,,,,,True,"[106.1, 60.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.647
901018ce-0e34-4b6e-a080-0c0fb05020d8,333,1,00:07:37.997,7,37,16,0.426338,17,Pressure,213,Sevilla,4,From Throw In,220,Real Madrid,,,"['0deca859-5cb0-4856-9ec0-3f43a16e2a3e', '35554a85-ac32-474c-be31-9d0eaab61f02']",,"[13.7, 20.1]",5202.0,José Ignacio Fernández Iglesias,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.997
35554a85-ac32-474c-be31-9d0eaab61f02,334,1,00:07:38.134,7,38,16,1.006763,30,Pass,213,Sevilla,4,From Throw In,213,Sevilla,,,"['85eedc36-eaaf-4d56-841f-36ed114d7a23', '901018ce-0e34-4b6e-a080-0c0fb05020d8']",,"[106.1, 60.6]",10881.0,Diogo José Rosário Gomes Figueiras,12.0,Right Midfield,6401.0,Kevin Gameiro,10.829589,-1.6447353,3.0,High Pass,"[105.3, 49.8]",,,40.0,Right Foot,True,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,86f6479e-832d-44f2-a252-6e36c70c7e00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.134
85eedc36-eaaf-4d56-841f-36ed114d7a23,335,1,00:07:39.141,7,39,16,,42,Ball Receipt*,213,Sevilla,4,From Throw In,213,Sevilla,,,['35554a85-ac32-474c-be31-9d0eaab61f02'],,"[105.3, 49.8]",6401.0,Kevin Gameiro,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.141
a6581672-90c7-4fae-affe-4504e92bb234,336,1,00:07:39.141,7,39,16,0.32666,43,Carry,213,Sevilla,4,From Throw In,213,Sevilla,,,"['85eedc36-eaaf-4d56-841f-36ed114d7a23', '86f6479e-832d-44f2-a252-6e36c70c7e00']",,"[105.3, 49.8]",6401.0,Kevin Gameiro,23.0,Center Forward,,,,,,,,,,,,,"[106.9, 51.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.141
86f6479e-832d-44f2-a252-6e36c70c7e00,337,1,00:07:39.468,7,39,16,0.593553,16,Shot,213,Sevilla,4,From Throw In,213,Sevilla,,,['3b4cf0b4-4cd2-49ff-8b9f-5f1ea4356e71'],,"[106.9, 51.5]",6401.0,Kevin Gameiro,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08754849,"[120.0, 41.8, 4.6]",35554a85-ac32-474c-be31-9d0eaab61f02,98.0,Off T,87.0,Open Play,95.0,Volley,40.0,Right Foot,"[{'location': [106.6, 39.0], 'player': {'id': 6718, 'name': 'Sergio Escudero Palomo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [107.6, 42.1], 'player': {'id': 3497, 'name': 'Vicente Iborra De La Fuente'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [109.5, 60.5], 'player': {'id': 10881, 'name': 'Diogo José Rosário Gomes Figueiras'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [109.2, 67.4], 'player': {'id': 6672, 'name': 'Jorge Andújar Moreno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [118.3, 41.7], 'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.6, 38.6], 'player': {'id': 3063, 'name': 'Danilo Luiz da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.8, 42.8], 'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.4, 55.5], 'player': {'id': 5539, 'name': 'Carlos Henrique Casimiro'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.8, 55.1], 'player': {'id': 5202, 'name': 'José Ignacio Fernández Iglesias'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.3, 42.0], 'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [103.4, 52.3], 'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.468
3b4cf0b4-4cd2-49ff-8b9f-5f1ea4356e71,338,1,00:07:40.061,7,40,16,0.0,23,Goal Keeper,213,Sevilla,4,From Throw In,220,Real Madrid,,,['86f6479e-832d-44f2-a252-6e36c70c7e00'],,"[1.8, 38.4]",5597.0,Keylor Navas Gamboa,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,Shot Faced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,Set,,,,,,"[1.8, 38.4]",,,,,,,,,,,,,,,,,,,,,,,,460.061
278744a6-f7c4-4a6f-968b-7647f2ddd8f4,339,1,00:07:55.435,7,55,17,3.99799,30,Pass,220,Real Madrid,7,From Goal Kick,220,Real Madrid,,,['15eb30fe-413c-44e6-a405-433a17926763'],True,"[6.0, 36.0]",5597.0,Keylor Navas Gamboa,1.0,Goalkeeper,,,52.911434,-0.020790955,2.0,Low Pass,"[58.9, 34.9]",63.0,Goal Kick,40.0,Right Foot,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.435
