id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,counterpress,pass_switch,pass_aerial_won,duel_type_id,duel_type_name,interception_outcome_id,interception_outcome_name,off_camera,foul_won_defensive,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_straight,pass_technique_id,pass_technique_name,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_outswinging,goalkeeper_end_location,clearance_left_foot,clearance_head,clearance_aerial_won,injury_stoppage_in_chain,shot_one_on_one,ball_recovery_recovery_failure,dribble_overrun,pass_through_ball,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,block_deflection,shot_aerial_won,dribble_no_touch,pass_inswinging,block_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_offensive,50_50_outcome_id,50_50_outcome_name,foul_committed_advantage,foul_won_advantage,ball_recovery_offensive,miscontrol_aerial_won,bad_behaviour_card_id,bad_behaviour_card_name,shot_redirect,timestamp_seconds
6ae179ee-d4bb-42d2-8df4-372b35645d85,3028,2,00:31:12.783,76,12,169,,42,Ball Receipt*,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['1847e86f-3715-4a74-91f8-2ff53ed2184c'],"[79.2, 67.7]",10755.0,Jonathan Viera Ramos,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1872.783
66734e8f-c7ec-45bf-a2de-cd6bc47b2965,3029,2,00:31:12.783,76,12,169,0.040000003,43,Carry,208,Las Palmas,4,From Throw In,208,Las Palmas,,,"['6ae179ee-d4bb-42d2-8df4-372b35645d85', 'b159ded6-8406-4cb6-ab24-d0d86cf9a8c9']","[79.2, 67.7]",10755.0,Jonathan Viera Ramos,21.0,Left Wing,,,,,,,,,,,,"[79.2, 67.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1872.783
b159ded6-8406-4cb6-ab24-d0d86cf9a8c9,3030,2,00:31:12.823,76,12,169,1.138232,30,Pass,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['0c9382f6-894f-40cd-8e9b-956a021c64b0'],"[79.2, 67.7]",10755.0,Jonathan Viera Ramos,21.0,Left Wing,7906.0,David Simón Rodríguez Santana,4.418144,1.6614562,2.0,Low Pass,"[78.8, 72.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1872.823
0c9382f6-894f-40cd-8e9b-956a021c64b0,3031,2,00:31:13.961,76,13,169,,42,Ball Receipt*,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['b159ded6-8406-4cb6-ab24-d0d86cf9a8c9'],"[78.8, 72.1]",7906.0,David Simón Rodríguez Santana,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1873.961
855dc317-30e8-4299-8bb7-eb0426c930d9,3032,2,00:31:13.961,76,13,169,0.197467,43,Carry,208,Las Palmas,4,From Throw In,208,Las Palmas,,,"['0c9382f6-894f-40cd-8e9b-956a021c64b0', '4d9601e4-61e5-4cb7-a55d-59c10bf2df2e', '65f5687c-8928-4dfb-b5e9-aa47faf98eaf']","[78.8, 72.1]",7906.0,David Simón Rodríguez Santana,2.0,Right Back,,,,,,,,,,,,"[77.9, 72.1]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1873.961
4d9601e4-61e5-4cb7-a55d-59c10bf2df2e,3033,2,00:31:14.138,76,14,169,0.082294,17,Pressure,208,Las Palmas,4,From Throw In,215,Athletic Club,,,"['65f5687c-8928-4dfb-b5e9-aa47faf98eaf', '855dc317-30e8-4299-8bb7-eb0426c930d9']","[38.8, 9.2]",6390.0,Markel Susaeta Laskurain,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1874.138
e070b609-bcf3-4496-a4e0-049a0075533c,3034,2,00:31:14.159,76,14,169,0.0,39,Dribbled Past,208,Las Palmas,4,From Throw In,215,Athletic Club,,,['65f5687c-8928-4dfb-b5e9-aa47faf98eaf'],"[42.2, 8.0]",6390.0,Markel Susaeta Laskurain,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1874.159
65f5687c-8928-4dfb-b5e9-aa47faf98eaf,3035,2,00:31:14.159,76,14,169,0.0,14,Dribble,208,Las Palmas,4,From Throw In,208,Las Palmas,,,"['4d9601e4-61e5-4cb7-a55d-59c10bf2df2e', 'e070b609-bcf3-4496-a4e0-049a0075533c']","[77.9, 72.1]",7906.0,David Simón Rodríguez Santana,2.0,Right Back,,,,,,,,,,,,,,,,,True,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,1874.159
8bd4c5f3-edeb-4ecb-80bb-379fdeef7a7b,3036,2,00:31:15.167,76,15,169,0.857468,30,Pass,208,Las Palmas,4,From Throw In,215,Athletic Club,,,['873b941f-4de8-46d1-a99e-4be15059ef08'],"[35.5, 12.0]",6388.0,Ander Iturraspe Derteano,9.0,Right Defensive Midfield,6390.0,Markel Susaeta Laskurain,17.311268,-0.70361376,2.0,Low Pass,"[48.7, 0.8]",38.0,Left Foot,66.0,Recovery,,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1875.167
873b941f-4de8-46d1-a99e-4be15059ef08,3037,2,00:31:16.024,76,16,169,,42,Ball Receipt*,208,Las Palmas,4,From Throw In,215,Athletic Club,,,['8bd4c5f3-edeb-4ecb-80bb-379fdeef7a7b'],"[42.5, 6.9]",6390.0,Markel Susaeta Laskurain,21.0,Left Wing,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1876.024
25f2e276-c87b-4505-8a26-64ac4d828afe,3038,2,00:31:23.489,76,23,170,2.25251,30,Pass,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['4d9c5dbe-3612-472a-89a2-6de5b8875682'],"[74.8, 80.0]",7906.0,David Simón Rodríguez Santana,2.0,Right Back,6927.0,David García Santana,27.923468,-2.7131867,2.0,Low Pass,"[49.4, 68.4]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1883.489
4d9c5dbe-3612-472a-89a2-6de5b8875682,3039,2,00:31:25.742,76,25,170,,42,Ball Receipt*,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['25f2e276-c87b-4505-8a26-64ac4d828afe'],"[49.4, 68.4]",6927.0,David García Santana,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1885.742
cad9574e-d785-42d2-b631-c220b054ef2a,3040,2,00:31:25.742,76,25,170,1.3071,43,Carry,208,Las Palmas,4,From Throw In,208,Las Palmas,,,"['4d9c5dbe-3612-472a-89a2-6de5b8875682', '735a0300-68d4-4f12-a194-785fc41c2a68']","[49.4, 68.4]",6927.0,David García Santana,3.0,Right Center Back,,,,,,,,,,,,"[42.2, 65.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1885.742
735a0300-68d4-4f12-a194-785fc41c2a68,3041,2,00:31:27.049,76,27,170,2.376747,30,Pass,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['79a5407a-fafd-492d-b1e3-150bfdcf7e95'],"[42.2, 65.1]",6927.0,David García Santana,3.0,Right Center Back,8440.0,Aythami Artiles Oliva,48.601646,-1.5790266,1.0,Ground Pass,"[41.8, 16.5]",40.0,Right Foot,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1887.049
79a5407a-fafd-492d-b1e3-150bfdcf7e95,3042,2,00:31:29.425,76,29,170,,42,Ball Receipt*,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['735a0300-68d4-4f12-a194-785fc41c2a68'],"[41.8, 16.5]",8440.0,Aythami Artiles Oliva,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1889.425
8bd74187-6a53-4ce3-8f86-f586678ba325,3043,2,00:31:29.425,76,29,170,1.421853,43,Carry,208,Las Palmas,4,From Throw In,208,Las Palmas,,,"['1fa0c15b-93c0-47d0-b602-a054c48b7c1f', '79a5407a-fafd-492d-b1e3-150bfdcf7e95']","[41.8, 16.5]",8440.0,Aythami Artiles Oliva,5.0,Left Center Back,,,,,,,,,,,,"[41.8, 16.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1889.425
1fa0c15b-93c0-47d0-b602-a054c48b7c1f,3044,2,00:31:30.847,76,30,170,1.165684,30,Pass,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['26e46569-4528-476a-819e-65ea1a6c077a'],"[41.8, 16.5]",8440.0,Aythami Artiles Oliva,5.0,Left Center Back,6932.0,Dani Castellano Betancor,18.64001,-0.64457405,1.0,Ground Pass,"[56.7, 5.3]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890.847
