id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,counterpress,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,out,interception_outcome_id,interception_outcome_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,dribble_outcome_id,dribble_outcome_name,pass_switch,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_first_time,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_deflected,shot_technique_id,shot_technique_name,shot_freeze_frame,block_deflection,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,pass_deflected,pass_inswinging,pass_technique_id,pass_technique_name,clearance_head,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_aerial_won,dribble_nutmeg,dribble_overrun,foul_won_defensive,pass_cross,clearance_left_foot,foul_committed_advantage,foul_won_advantage,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,clearance_aerial_won,pass_shot_assist,pass_outswinging,goalkeeper_end_location,pass_through_ball,shot_one_on_one,shot_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,miscontrol_aerial_won,ball_recovery_recovery_failure,bad_behaviour_card_id,bad_behaviour_card_name,pass_cut_back,timestamp_seconds
f8f8d581-3507-4d97-953c-34fa7f6a1482,2010,2,00:09:13.128,54,13,125,2.029729,30,Pass,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['e80c0344-86bb-4023-b1a4-2988387da18f'],,"[30.6, 74.7]",7161.0,Germán Alejandro Pezzella,3.0,Right Center Back,26801.0,Jordi Figueras Montel,42.420868,-1.6463026,1.0,Ground Pass,"[27.4, 32.4]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.128
e80c0344-86bb-4023-b1a4-2988387da18f,2011,2,00:09:15.157,54,15,125,,42,Ball Receipt*,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['f8f8d581-3507-4d97-953c-34fa7f6a1482'],,"[27.4, 32.4]",26801.0,Jordi Figueras Montel,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555.157
5cac12b0-dbae-487f-ada2-8b715dd5e2a2,2012,2,00:09:15.157,54,15,125,2.120852,30,Pass,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['743719ac-2128-4a66-8dd0-01eba3f825e7'],,"[27.4, 32.4]",26801.0,Jordi Figueras Montel,5.0,Left Center Back,6654.0,Antonio Adán Garrido,17.109354,2.7328637,1.0,Ground Pass,"[11.7, 39.2]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555.157
743719ac-2128-4a66-8dd0-01eba3f825e7,2013,2,00:09:17.278,54,17,125,,42,Ball Receipt*,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['5cac12b0-dbae-487f-ada2-8b715dd5e2a2'],,"[11.7, 39.2]",6654.0,Antonio Adán Garrido,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.278
bb91dbf7-8201-4285-919a-4cd921fb8a2a,2014,2,00:09:17.278,54,17,125,4.016192,43,Carry,218,Real Betis,7,From Goal Kick,218,Real Betis,,,"['743719ac-2128-4a66-8dd0-01eba3f825e7', '9e0f86d3-70a6-4379-a1ff-167432bfcb2f']",,"[11.7, 39.2]",6654.0,Antonio Adán Garrido,1.0,Goalkeeper,,,,,,,,,,,,"[15.8, 34.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.278
9e0f86d3-70a6-4379-a1ff-167432bfcb2f,2015,2,00:09:21.294,54,21,125,1.369795,30,Pass,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['a21b376c-4b9d-4922-b081-e50a4ba9f297'],,"[15.8, 34.7]",6654.0,Antonio Adán Garrido,1.0,Goalkeeper,26723.0,Álvaro Cejudo Carmona,25.100199,0.0039840424,1.0,Ground Pass,"[40.9, 34.8]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.294
a21b376c-4b9d-4922-b081-e50a4ba9f297,2016,2,00:09:22.664,54,22,125,,42,Ball Receipt*,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['9e0f86d3-70a6-4379-a1ff-167432bfcb2f'],,"[40.9, 34.8]",26723.0,Álvaro Cejudo Carmona,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.664
06fc11d4-4ca8-4ae9-a9cd-fe2e1e2a5120,2017,2,00:09:22.664,54,22,125,0.790878,43,Carry,218,Real Betis,7,From Goal Kick,218,Real Betis,,,"['932d8615-a41c-4216-af2a-8ea83c766a0a', 'a21b376c-4b9d-4922-b081-e50a4ba9f297']",,"[40.9, 34.8]",26723.0,Álvaro Cejudo Carmona,17.0,Right Wing,,,,,,,,,,,,"[36.7, 36.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.664
932d8615-a41c-4216-af2a-8ea83c766a0a,2018,2,00:09:23.455,54,23,125,1.615581,30,Pass,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['4659e097-0281-46c3-a7fb-47d1c1d7cf0c'],,"[36.7, 36.5]",26723.0,Álvaro Cejudo Carmona,17.0,Right Wing,26801.0,Jordi Figueras Montel,18.933569,-2.114839,1.0,Ground Pass,"[26.9, 20.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563.455
4659e097-0281-46c3-a7fb-47d1c1d7cf0c,2019,2,00:09:25.071,54,25,125,,42,Ball Receipt*,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['932d8615-a41c-4216-af2a-8ea83c766a0a'],,"[26.9, 20.3]",26801.0,Jordi Figueras Montel,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.071
1f9d8b6d-761f-4593-a9d7-ede8d5cd7cce,2020,2,00:09:25.071,54,25,125,2.199007,43,Carry,218,Real Betis,7,From Goal Kick,218,Real Betis,,,"['022b3776-19fe-4acc-bbb5-1110cf2eb56a', '4659e097-0281-46c3-a7fb-47d1c1d7cf0c']",,"[26.9, 20.3]",26801.0,Jordi Figueras Montel,5.0,Left Center Back,,,,,,,,,,,,"[33.6, 18.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.071
022b3776-19fe-4acc-bbb5-1110cf2eb56a,2021,2,00:09:27.270,54,27,125,1.052675,30,Pass,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['697975f7-4e57-4dd5-8834-aafd8ffd4e93'],,"[33.6, 18.4]",26801.0,Jordi Figueras Montel,5.0,Left Center Back,26723.0,Álvaro Cejudo Carmona,19.36595,0.6682894,1.0,Ground Pass,"[48.8, 30.4]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.27
697975f7-4e57-4dd5-8834-aafd8ffd4e93,2022,2,00:09:28.322,54,28,125,,42,Ball Receipt*,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['022b3776-19fe-4acc-bbb5-1110cf2eb56a'],,"[48.8, 30.4]",26723.0,Álvaro Cejudo Carmona,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.322
e2323b96-7cbf-448e-8fe2-10af431ba965,2023,2,00:09:28.322,54,28,125,1.284527,43,Carry,218,Real Betis,7,From Goal Kick,218,Real Betis,,,"['4578519b-9bd2-4b17-9f27-6f5f3398b069', '4953a7d3-1952-4571-a62f-0209cc989b9b', '697975f7-4e57-4dd5-8834-aafd8ffd4e93']",,"[48.8, 30.4]",26723.0,Álvaro Cejudo Carmona,17.0,Right Wing,,,,,,,,,,,,"[49.2, 31.4]",,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.322
4953a7d3-1952-4571-a62f-0209cc989b9b,2024,2,00:09:29.048,54,29,125,0.558969,17,Pressure,218,Real Betis,7,From Goal Kick,322,Eibar,,,"['4578519b-9bd2-4b17-9f27-6f5f3398b069', 'e2323b96-7cbf-448e-8fe2-10af431ba965']",,"[71.3, 49.7]",6775.0,Daniel García Carrillo,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.048
4578519b-9bd2-4b17-9f27-6f5f3398b069,2025,2,00:09:29.607,54,29,125,0.0,14,Dribble,218,Real Betis,7,From Goal Kick,218,Real Betis,,,"['4953a7d3-1952-4571-a62f-0209cc989b9b', '515ed63b-a7f9-4fab-805e-df0a6b1bca00']",,"[49.2, 31.4]",26723.0,Álvaro Cejudo Carmona,17.0,Right Wing,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.607
515ed63b-a7f9-4fab-805e-df0a6b1bca00,2026,2,00:09:29.607,54,29,126,0.0,4,Duel,322,Eibar,1,Regular Play,322,Eibar,,,['4578519b-9bd2-4b17-9f27-6f5f3398b069'],,"[70.9, 48.7]",6775.0,Daniel García Carrillo,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,True,True,11.0,Tackle,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.607
51b0932a-8373-43ef-9319-c132c103704b,2027,2,00:09:31.308,54,31,126,0.0,2,Ball Recovery,322,Eibar,1,Regular Play,322,Eibar,,,,,"[71.7, 51.8]",6700.0,Sergio Enrich Ametller,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.308
24585f74-70da-4eef-98da-79a28d9d0bb5,2028,2,00:09:31.308,54,31,126,2.02876,43,Carry,322,Eibar,1,Regular Play,322,Eibar,,,"['2da03892-8dac-48f4-a889-706beeba620f', '51b0932a-8373-43ef-9319-c132c103704b']",,"[71.7, 51.8]",6700.0,Sergio Enrich Ametller,23.0,Center Forward,,,,,,,,,,,,"[79.3, 58.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.308
