id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,under_pressure,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_aerial_won,counterpress,block_offensive,out,clearance_left_foot,clearance_aerial_won,clearance_head,foul_won_defensive,off_camera,pass_switch,foul_committed_card_id,foul_committed_card_name,foul_committed_advantage,foul_won_advantage,dribble_outcome_id,dribble_outcome_name,pass_technique_id,pass_technique_name,pass_straight,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,pass_cross,miscontrol_aerial_won,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,pass_outswinging,pass_inswinging,ball_recovery_recovery_failure,shot_first_time,shot_aerial_won,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,block_save_block,pass_through_ball,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_cut_back,pass_miscommunication,50_50_outcome_id,50_50_outcome_name,shot_one_on_one,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,pass_deflected,timestamp_seconds
65ec050a-33b0-4236-83fb-eb61d73fd741,699,1,00:23:45.891,23,45,57,1.494901,30,Pass,215,Athletic Club,3,From Free Kick,1049,Granada,,,"['32413912-f2fd-4e26-8f9f-821df18cc677', 'b07d26cd-b8dc-41ad-8ee1-a600c021d224']","[27.7, 37.6]",4498.0,Jean-Sylvain Claude Babin,3.0,Right Center Back,6599.0,Rubén Salvador Pérez Del Mármol,12.205327,0.1314687,3.0,High Pass,"[39.8, 39.2]",37.0,Head,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425.891
b07d26cd-b8dc-41ad-8ee1-a600c021d224,700,1,00:23:47.386,23,47,57,,42,Ball Receipt*,215,Athletic Club,3,From Free Kick,1049,Granada,,,['65ec050a-33b0-4236-83fb-eb61d73fd741'],"[39.8, 39.2]",6599.0,Rubén Salvador Pérez Del Mármol,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427.386
dcb45c68-33a4-4146-99ac-57eceef60fb4,701,1,00:23:47.386,23,47,57,0.184649,43,Carry,215,Athletic Club,3,From Free Kick,1049,Granada,,,"['424595e2-8bd3-426a-8db2-1cda5b7bf46c', 'b07d26cd-b8dc-41ad-8ee1-a600c021d224', 'b63cd65f-160e-4dde-a2f6-c634fed10481']","[39.8, 39.2]",6599.0,Rubén Salvador Pérez Del Mármol,11.0,Left Defensive Midfield,,,,,,,,,,,,"[39.8, 39.2]",,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427.386
b63cd65f-160e-4dde-a2f6-c634fed10481,702,1,00:23:47.571,23,47,57,0.0,22,Foul Committed,215,Athletic Club,3,From Free Kick,215,Athletic Club,,,"['424595e2-8bd3-426a-8db2-1cda5b7bf46c', 'dcb45c68-33a4-4146-99ac-57eceef60fb4']","[80.3, 40.9]",6394.0,Aritz Aduriz Zubeldia,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,7.0,Yellow Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427.571
424595e2-8bd3-426a-8db2-1cda5b7bf46c,703,1,00:23:47.571,23,47,57,0.0,21,Foul Won,215,Athletic Club,3,From Free Kick,1049,Granada,,,['b63cd65f-160e-4dde-a2f6-c634fed10481'],"[39.8, 39.2]",6599.0,Rubén Salvador Pérez Del Mármol,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427.571
0bf6df2b-4b1a-4464-ae85-340a52a23068,704,1,00:23:50.810,23,50,57,0.0,40,Injury Stoppage,215,Athletic Club,3,From Free Kick,215,Athletic Club,,,,,6394.0,Aritz Aduriz Zubeldia,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430.81
ab130d64-dec1-4209-9aa0-7fe4e05dbaf8,705,1,00:24:51.279,24,51,58,3.116033,30,Pass,1049,Granada,3,From Free Kick,1049,Granada,,,"['147437a0-fc4a-4cd2-973c-be8dbca606ec', '197ea6dd-0365-4bdb-8131-72817a7be76d']","[43.8, 35.0]",8697.0,Andrés Eduardo Fernández Moreno,1.0,Goalkeeper,6918.0,Isaac Ajayi Success,39.751854,-0.24131791,3.0,High Pass,"[82.4, 25.5]",40.0,Right Foot,62.0,Free Kick,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1491.279
197ea6dd-0365-4bdb-8131-72817a7be76d,706,1,00:24:54.395,24,54,58,,42,Ball Receipt*,1049,Granada,3,From Free Kick,1049,Granada,,,['ab130d64-dec1-4209-9aa0-7fe4e05dbaf8'],"[81.7, 21.3]",6918.0,Isaac Ajayi Success,21.0,Left Wing,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1494.395
147437a0-fc4a-4cd2-973c-be8dbca606ec,707,1,00:24:54.395,24,54,59,1.815157,30,Pass,215,Athletic Club,1,Regular Play,215,Athletic Club,,,"['1c76958f-f4f7-4326-a83b-c3c93b7e08b7', 'ab130d64-dec1-4209-9aa0-7fe4e05dbaf8']","[37.7, 54.6]",6389.0,Mikel San José Domínguez,9.0,Right Defensive Midfield,6394.0,Aritz Aduriz Zubeldia,23.331095,-0.5154247,3.0,High Pass,"[58.0, 43.1]",37.0,Head,64.0,Interception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1494.395
a5c09b38-d73b-44cb-891d-c890dc23048b,708,1,00:24:56.081,24,56,59,0.485395,17,Pressure,215,Athletic Club,1,Regular Play,1049,Granada,,,"['1c76958f-f4f7-4326-a83b-c3c93b7e08b7', 'c3b77f4d-3cef-47e8-9411-9142e9a10d2b']","[62.3, 35.6]",4498.0,Jean-Sylvain Claude Babin,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1496.081
