id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,clearance_body_part_id,clearance_body_part_name,clearance_head,out,clearance_right_foot,duel_type_id,duel_type_name,pass_aerial_won,foul_committed_offensive,foul_won_defensive,pass_switch,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,interception_outcome_id,interception_outcome_name,clearance_aerial_won,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,pass_technique_id,pass_technique_name,pass_through_ball,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,pass_assisted_shot_id,pass_shot_assist,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,pass_no_touch,foul_committed_type_id,foul_committed_type_name,foul_committed_advantage,clearance_left_foot,pass_cross,pass_cut_back,miscontrol_aerial_won,dribble_outcome_id,dribble_outcome_name,pass_straight,shot_first_time,pass_outswinging,foul_won_advantage,shot_saved_off_target,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_shot_saved_off_target,foul_committed_card_id,foul_committed_card_name,shot_aerial_won,pass_goal_assist,pass_inswinging,shot_saved_to_post,goalkeeper_shot_saved_to_post,dribble_nutmeg,shot_open_goal,50_50_outcome_id,50_50_outcome_name,dribble_overrun,ball_recovery_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,injury_stoppage_in_chain,block_offensive,pass_deflected,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
c2391a75-c137-4f60-90e7-8dbe972941d1,2087,2,00:18:49.121,63,49,147,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['de717909-b523-4328-aee7-aa077b261294'],,"[49.6, 4.3]",24508.0,Manuel Castellano Castro,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1129.121
95159005-a7b8-457d-a048-54b4592fe7b4,2088,2,00:18:49.121,63,49,147,1.679592,43,Carry,322,Eibar,1,Regular Play,322,Eibar,,,"['10c80d8d-43a7-4fe7-83ea-d0904bdce796', 'c2391a75-c137-4f60-90e7-8dbe972941d1']",,"[49.6, 4.3]",24508.0,Manuel Castellano Castro,6.0,Left Back,,,,,,,,,,,,"[45.3, 4.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1129.121
10c80d8d-43a7-4fe7-83ea-d0904bdce796,2089,2,00:18:50.801,63,50,147,3.340653,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,"['564958f5-763a-4fe2-a07d-6bba1ccaafc3', 'b303a857-c776-4ad3-9202-4d8f787707b6']",,"[45.3, 4.6]",24508.0,Manuel Castellano Castro,6.0,Left Back,9462.0,José Ignacio Peleteiro Ramallo,67.70473,1.1878215,3.0,High Pass,"[70.6, 67.4]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1130.801
b303a857-c776-4ad3-9202-4d8f787707b6,2090,2,00:18:54.141,63,54,147,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['10c80d8d-43a7-4fe7-83ea-d0904bdce796'],,"[70.6, 67.4]",9462.0,José Ignacio Peleteiro Ramallo,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1134.141
f11d1378-5623-407f-a6f3-793a79c45004,2091,2,00:18:54.141,63,54,147,0.0,4,Duel,322,Eibar,1,Regular Play,322,Eibar,,,['564958f5-763a-4fe2-a07d-6bba1ccaafc3'],,"[70.6, 67.4]",9462.0,José Ignacio Peleteiro Ramallo,17.0,Right Wing,,,,,,,,,,,,,,,True,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1134.141
564958f5-763a-4fe2-a07d-6bba1ccaafc3,2092,2,00:18:54.141,63,54,147,0.0,9,Clearance,322,Eibar,1,Regular Play,221,Levante UD,,,"['10c80d8d-43a7-4fe7-83ea-d0904bdce796', 'f11d1378-5623-407f-a6f3-793a79c45004']",,"[49.5, 12.7]",27480.0,Lucas Alfonso Orbán Alegre,6.0,Left Back,,,,,,,,,,,,,,,True,37.0,Head,True,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1134.141
f78031ff-1104-40e9-947d-9e428e8a67bf,2093,2,00:19:04.424,64,4,148,1.40735,30,Pass,322,Eibar,4,From Throw In,322,Eibar,,,"['4b0001eb-3c6c-4e24-9859-38a941e44bd3', 'e5dc3222-43cb-48e0-a776-e9e709758379']",,"[42.9, 80.0]",6699.0,Ander Capa Rodríguez,2.0,Right Back,9462.0,José Ignacio Peleteiro Ramallo,22.812277,-0.48325294,2.0,Low Pass,"[63.1, 69.4]",,,67.0,Throw-in,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144.424
e5dc3222-43cb-48e0-a776-e9e709758379,2094,2,00:19:05.831,64,5,148,,42,Ball Receipt*,322,Eibar,4,From Throw In,322,Eibar,,,['f78031ff-1104-40e9-947d-9e428e8a67bf'],,"[63.5, 69.4]",9462.0,José Ignacio Peleteiro Ramallo,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1145.831
4b0001eb-3c6c-4e24-9859-38a941e44bd3,2095,2,00:19:05.831,64,5,148,0.0,10,Interception,322,Eibar,4,From Throw In,221,Levante UD,,,['f78031ff-1104-40e9-947d-9e428e8a67bf'],,"[57.0, 10.7]",6647.0,Zouhair Feddal,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,Lost Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1145.831
abfd8daf-b630-492f-82d6-9092682923ea,2096,2,00:19:19.663,64,19,149,1.364471,30,Pass,322,Eibar,4,From Throw In,322,Eibar,,,['8f47ed55-2b61-49b9-9aed-41e0b147b952'],,"[61.6, 80.0]",6699.0,Ander Capa Rodríguez,2.0,Right Back,9462.0,José Ignacio Peleteiro Ramallo,20.155643,-0.23535201,2.0,Low Pass,"[81.2, 75.3]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1159.663
