id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,ball_recovery_recovery_failure,counterpress,pass_cross,pass_cut_back,out,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_switch,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,pass_technique_id,pass_technique_name,pass_outswinging,clearance_left_foot,clearance_head,clearance_aerial_won,miscontrol_aerial_won,foul_won_defensive,pass_miscommunication,foul_committed_type_id,foul_committed_type_name,shot_first_time,pass_inswinging,shot_aerial_won,foul_committed_card_id,foul_committed_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_overrun,dribble_nutmeg,shot_one_on_one,foul_committed_penalty,foul_won_penalty,bad_behaviour_card_id,bad_behaviour_card_name,block_offensive,shot_open_goal,shot_redirect,pass_goal_assist,shot_deflected,block_deflection,timestamp_seconds
652ee835-8681-40b4-be41-dce61e27fc1a,2665,2,00:42:57.692,87,57,210,1.353211,17,Pressure,221,Levante UD,3,From Free Kick,207,Valencia,,,"['243e5603-38ba-41f1-829b-4b2569922d4f', '26162497-7ccf-4174-bf31-f5613d6d534d']",,"[42.2, 40.9]",6595.0,Daniel Parejo Muñoz,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2577.692
243e5603-38ba-41f1-829b-4b2569922d4f,2666,2,00:42:57.722,87,57,210,,42,Ball Receipt*,221,Levante UD,3,From Free Kick,221,Levante UD,,,"['59d0c1ff-3634-4428-9b54-ae5fdc376069', '652ee835-8681-40b4-be41-dce61e27fc1a']",,"[77.9, 39.2]",5678.0,Jefferson Andrés Lerma Solís,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2577.722
26162497-7ccf-4174-bf31-f5613d6d534d,2667,2,00:42:57.722,87,57,210,1.483467,43,Carry,221,Levante UD,3,From Free Kick,221,Levante UD,,,"['243e5603-38ba-41f1-829b-4b2569922d4f', '617e4a62-8ae9-4f76-a0a0-ee71e949793b', '652ee835-8681-40b4-be41-dce61e27fc1a']",,"[77.9, 39.2]",5678.0,Jefferson Andrés Lerma Solís,13.0,Right Center Midfield,,,,,,,,,,,,"[81.2, 39.2]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2577.722
617e4a62-8ae9-4f76-a0a0-ee71e949793b,2668,2,00:42:59.206,87,59,210,0.0,3,Dispossessed,221,Levante UD,3,From Free Kick,221,Levante UD,,,['7ca87449-5f7b-4159-887e-7a0e3d12b70c'],,"[81.2, 39.2]",5678.0,Jefferson Andrés Lerma Solís,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2579.206
7ca87449-5f7b-4159-887e-7a0e3d12b70c,2669,2,00:42:59.206,87,59,210,0.0,4,Duel,221,Levante UD,3,From Free Kick,207,Valencia,,,['617e4a62-8ae9-4f76-a0a0-ee71e949793b'],,"[38.9, 40.9]",6595.0,Daniel Parejo Muñoz,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,True,11.0,Tackle,,,,,,,,,,,,,,,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2579.206
cf7e7e66-1470-4952-813e-4a2a0b8a76e5,2670,2,00:42:59.486,87,59,210,0.0,6,Block,221,Levante UD,3,From Free Kick,207,Valencia,,,,,"[40.8, 40.7]",6751.0,Javier Fuego Martínez,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,2579.486
0179bc51-e384-4e71-b3fc-770ecc33b4a8,2671,2,00:43:00.519,88,0,210,1.371604,17,Pressure,221,Levante UD,3,From Free Kick,207,Valencia,,,"['31e22efd-55b8-4ed6-a420-a3c2d05a1c6d', '88025e3e-ce5b-49f1-b759-bb7d291455ce', 'db20c3cf-6c06-45e8-a34d-102b2ae99d1e']",,"[42.7, 52.2]",10802.0,André Filipe Tavares Gomes,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2580.519
31e22efd-55b8-4ed6-a420-a3c2d05a1c6d,2672,2,00:43:01.086,88,1,210,0.0,2,Ball Recovery,221,Levante UD,3,From Free Kick,221,Levante UD,,,['0179bc51-e384-4e71-b3fc-770ecc33b4a8'],,"[82.2, 26.9]",23791.0,Víctor Casadesús Castaño,21.0,Left Wing,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2581.086
db20c3cf-6c06-45e8-a34d-102b2ae99d1e,2673,2,00:43:01.086,88,1,210,0.79362,43,Carry,221,Levante UD,3,From Free Kick,221,Levante UD,,,"['0179bc51-e384-4e71-b3fc-770ecc33b4a8', '31e22efd-55b8-4ed6-a420-a3c2d05a1c6d', '88025e3e-ce5b-49f1-b759-bb7d291455ce']",,"[82.2, 26.9]",23791.0,Víctor Casadesús Castaño,21.0,Left Wing,,,,,,,,,,,,"[82.2, 30.0]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2581.086
88025e3e-ce5b-49f1-b759-bb7d291455ce,2674,2,00:43:01.879,88,1,210,0.849112,30,Pass,221,Levante UD,3,From Free Kick,221,Levante UD,,,"['0179bc51-e384-4e71-b3fc-770ecc33b4a8', '36c1b54f-5add-4f61-9c90-39c2722c6666', '672156b3-775d-4d1d-8c9a-a211e5eecd0a']",,"[82.2, 30.0]",23791.0,Víctor Casadesús Castaño,21.0,Left Wing,27123.0,Jordi Xumetra Feliu,9.982485,0.19150172,1.0,Ground Pass,"[92.0, 31.9]",,,40.0,Right Foot,,9.0,Incomplete,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2581.879
