id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,interception_outcome_id,interception_outcome_name,pass_aerial_won,duel_type_id,duel_type_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,foul_won_defensive,pass_switch,clearance_aerial_won,clearance_left_foot,out,pass_cross,duel_outcome_id,duel_outcome_name,clearance_other,pass_inswinging,pass_technique_id,pass_technique_name,ball_recovery_recovery_failure,block_offensive,dribble_outcome_id,dribble_outcome_name,pass_outswinging,goalkeeper_end_location,foul_committed_advantage,foul_won_advantage,foul_committed_type_id,foul_committed_type_name,pass_cut_back,miscontrol_aerial_won,dribble_overrun,foul_committed_card_id,foul_committed_card_name,pass_through_ball,dribble_no_touch,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,bad_behaviour_card_id,bad_behaviour_card_name,shot_aerial_won,dribble_nutmeg,timestamp_seconds
42a7d72e-0cd4-4b1b-98f1-5f61dcefaf1a,771,1,00:20:10.343,20,10,47,0.973523,30,Pass,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,"['726f070e-1f2b-4021-b70f-a9a41b791f05', '74c9f15d-df5d-42fe-963c-6b89838d1a98']",,"[100.3, 73.5]",9246.0,Patrick Ebert,17.0,Right Wing,11542.0,Javier Guerra Rodríguez,29.972155,-1.2902052,3.0,High Pass,"[108.6, 44.7]",38.0,Left Foot,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210.343
726f070e-1f2b-4021-b70f-a9a41b791f05,772,1,00:20:11.317,20,11,47,,42,Ball Receipt*,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['42a7d72e-0cd4-4b1b-98f1-5f61dcefaf1a'],,"[106.5, 48.0]",11542.0,Javier Guerra Rodríguez,23.0,Center Forward,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1211.317
74c9f15d-df5d-42fe-963c-6b89838d1a98,773,1,00:20:11.317,20,11,47,0.0,9,Clearance,360,Rayo Vallecano,1,Regular Play,322,Eibar,,,['42a7d72e-0cd4-4b1b-98f1-5f61dcefaf1a'],,"[11.5, 35.4]",27239.0,Aleksandar Pantić,5.0,Left Center Back,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,Right Foot,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1211.317
d8b6685d-993a-44e4-bdb2-95c409d4dea6,774,1,00:20:12.245,20,12,47,0.32559,17,Pressure,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['0f11018d-930f-446f-97a7-b56fdd225d23'],,"[86.8, 56.4]",26607.0,José Raúl Baena Urdiales,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212.245
0f11018d-930f-446f-97a7-b56fdd225d23,775,1,00:20:12.505,20,12,48,0.847651,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,"['74d4fdc6-0def-46e4-a4bc-155d587c0de0', 'd8b6685d-993a-44e4-bdb2-95c409d4dea6']",,"[31.2, 23.1]",7170.0,Simone Verdi,19.0,Center Attacking Midfield,6775.0,Daniel García Carrillo,9.3,3.1415927,2.0,Low Pass,"[21.9, 23.1]",40.0,Right Foot,66.0,Recovery,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212.505
74d4fdc6-0def-46e4-a4bc-155d587c0de0,776,1,00:20:13.353,20,13,48,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['0f11018d-930f-446f-97a7-b56fdd225d23'],,"[21.9, 23.1]",6775.0,Daniel García Carrillo,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1213.353
a5f19c67-2e7f-4f94-969f-e3ce6713cd72,777,1,00:20:13.353,20,13,48,0.527598,43,Carry,322,Eibar,1,Regular Play,322,Eibar,,,"['74d4fdc6-0def-46e4-a4bc-155d587c0de0', 'c8b58be0-f861-4c53-9bc9-0e8f15da0122']",,"[21.9, 23.1]",6775.0,Daniel García Carrillo,9.0,Right Defensive Midfield,,,,,,,,,,,,,"[22.2, 23.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1213.353
c8b58be0-f861-4c53-9bc9-0e8f15da0122,778,1,00:20:13.880,20,13,48,1.47725,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,['88efe523-0c64-4335-9cac-e0dd65c6f5ac'],,"[22.2, 23.1]",6775.0,Daniel García Carrillo,9.0,Right Defensive Midfield,6742.0,Sergio Gontán Gallardo,31.017736,0.84013796,1.0,Ground Pass,"[42.9, 46.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1213.88
88efe523-0c64-4335-9cac-e0dd65c6f5ac,779,1,00:20:15.358,20,15,48,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['c8b58be0-f861-4c53-9bc9-0e8f15da0122'],,"[42.9, 46.2]",6742.0,Sergio Gontán Gallardo,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1215.358
167150a2-b110-4b08-8837-5551d11c0088,780,1,00:20:15.358,20,15,48,0.75575,43,Carry,322,Eibar,1,Regular Play,322,Eibar,,,"['8448eb11-19c1-4efd-b9fb-b672216a1bec', '88efe523-0c64-4335-9cac-e0dd65c6f5ac', 'bf9236b4-2fde-47fa-bbe9-d53d26734717']",,"[42.9, 46.2]",6742.0,Sergio Gontán Gallardo,17.0,Right Wing,,,,,,,,,,,,True,"[43.4, 47.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1215.358
