id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,foul_won_defensive,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_switch,carry_end_location,pass_assisted_shot_id,pass_shot_assist,counterpress,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_deflected,shot_freeze_frame,block_deflection,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,duel_type_id,duel_type_name,pass_aerial_won,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,pass_deflected,pass_technique_id,pass_technique_name,pass_outswinging,shot_first_time,goalkeeper_end_location,pass_cross,out,foul_committed_card_id,foul_committed_card_name,clearance_aerial_won,miscontrol_aerial_won,shot_aerial_won,clearance_left_foot,ball_recovery_recovery_failure,clearance_right_foot,foul_committed_advantage,foul_won_advantage,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_type_id,foul_committed_type_name,bad_behaviour_card_id,bad_behaviour_card_name,pass_straight,dribble_overrun,ball_recovery_offensive,pass_no_touch,pass_cut_back,pass_through_ball,pass_inswinging,pass_goal_assist,foul_committed_offensive,shot_follows_dribble,timestamp_seconds
43bc2a0d-34d6-4e9e-bfa6-1fe62bcb18fb,1565,1,00:44:56.726,44,56,104,,42,Ball Receipt*,1049,Granada,1,Regular Play,1049,Granada,,,['e6d78e94-d588-4621-bcb2-671cf547ab0f'],,"[85.3, 54.2]",6680.0,Rubén Rochina Naixes,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2696.726
87bef924-faf8-4862-ac7a-17e8eddb6c3f,1566,1,00:44:56.726,44,56,104,0.872973,43,Carry,1049,Granada,1,Regular Play,1049,Granada,,,"['43bc2a0d-34d6-4e9e-bfa6-1fe62bcb18fb', '60d1baa2-2476-4f66-8fe5-30c51bb39a1d', 'f081d6ec-9857-4a66-b70a-41c7fcc7815d']",,"[85.3, 54.2]",6680.0,Rubén Rochina Naixes,12.0,Right Midfield,,,,,,,,,,,,,,,,True,,,,,,"[89.6, 50.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2696.726
60d1baa2-2476-4f66-8fe5-30c51bb39a1d,1567,1,00:44:57.321,44,57,104,0.431835,17,Pressure,1049,Granada,1,Regular Play,218,Real Betis,,,"['87bef924-faf8-4862-ac7a-17e8eddb6c3f', 'f081d6ec-9857-4a66-b70a-41c7fcc7815d']",,"[29.5, 28.2]",6697.0,Daniel Ceballos Fernández,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2697.321
f081d6ec-9857-4a66-b70a-41c7fcc7815d,1568,1,00:44:57.599,44,57,104,1.472764,16,Shot,1049,Granada,1,Regular Play,1049,Granada,,,"['0ac206be-a293-4fdc-b2cf-f0a6fa2097d5', '60d1baa2-2476-4f66-8fe5-30c51bb39a1d']",,"[89.6, 50.0]",6680.0,Rubén Rochina Naixes,12.0,Right Midfield,,,,,,,,,,,,,,,,True,,,,,,,,,,0.022085465,"[120.0, 50.4, 0.1]",e6d78e94-d588-4621-bcb2-671cf547ab0f,93.0,Normal,38.0,Left Foot,87.0,Open Play,98.0,Off T,,"[{'location': [95.2, 76.7], 'player': {'id': 20064, 'name': 'Hugo Miguel Almeida Costa Lopes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [91.1, 54.7], 'player': {'id': 5671, 'name': ""Alfred John Momar N''Diaye""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [72.7, 24.0], 'player': {'id': 7158, 'name': 'Cristiano Biraghi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [99.4, 34.4], 'player': {'id': 27109, 'name': 'Youssef El-Arabi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [98.9, 46.0], 'player': {'id': 6847, 'name': 'Adalberto Peñaranda Maestre'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [72.4, 45.4], 'player': {'id': 4498, 'name': 'Jean-Sylvain Claude Babin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [81.3, 63.5], 'player': {'id': 6599, 'name': 'Rubén Salvador Pérez Del Mármol'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [117.8, 41.0], 'player': {'id': 6654, 'name': 'Antonio Adán Garrido'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.1, 64.0], 'player': {'id': 6655, 'name': 'Fabián Ruiz Peña'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [77.0, 58.8], 'player': {'id': 6832, 'name': 'Rubén Castro Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [99.5, 46.9], 'player': {'id': 6872, 'name': 'Bruno González Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.6, 52.4], 'player': {'id': 27347, 'name': 'Juan Manuel Vargas Risco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [81.6, 49.3], 'player': {'id': 6630, 'name': 'Jorge Molina Vidal'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [91.2, 47.2], 'player': {'id': 6697, 'name': 'Daniel Ceballos Fernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [85.8, 28.1], 'player': {'id': 3601, 'name': 'Charly Musonda Junior'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [101.3, 36.5], 'player': {'id': 7161, 'name': 'Germán Alejandro Pezzella'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.6, 27.5], 'player': {'id': 6593, 'name': 'Martín Montoya Torralbo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.8, 16.6], 'player': {'id': 6918, 'name': 'Isaac Ajayi Success'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2697.599
0ac206be-a293-4fdc-b2cf-f0a6fa2097d5,1569,1,00:44:59.072,44,59,104,0.0,23,Goal Keeper,1049,Granada,1,Regular Play,218,Real Betis,,,['f081d6ec-9857-4a66-b70a-41c7fcc7815d'],,"[2.3, 39.1]",6654.0,Antonio Adán Garrido,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,Shot Faced,,,44.0,Set,,,,,,,,,,,,,,,,,"[2.3, 39.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2699.072
51cfde0e-899c-4b29-b5c7-8220a4a4b9dd,1570,1,00:45:21.777,45,21,105,3.702531,30,Pass,218,Real Betis,7,From Goal Kick,218,Real Betis,,,"['0934feed-6d08-4e64-82dd-ad2d2f1d7bec', '27c20063-a26c-47e0-b1d9-d9fdaa5b0f68']",,"[6.0, 36.0]",6654.0,Antonio Adán Garrido,1.0,Goalkeeper,6630.0,Jorge Molina Vidal,69.11975,-0.4060316,3.0,High Pass,"[69.5, 8.7]",63.0,Goal Kick,40.0,Right Foot,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2721.777
27c20063-a26c-47e0-b1d9-d9fdaa5b0f68,1571,1,00:45:25.480,45,25,105,,42,Ball Receipt*,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['51cfde0e-899c-4b29-b5c7-8220a4a4b9dd'],,"[69.5, 8.7]",6630.0,Jorge Molina Vidal,22.0,Right Center Forward,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2725.48
f8ad602c-cd28-43a6-b0cf-06baade8c734,1572,1,00:45:25.480,45,25,105,0.0,4,Duel,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['0934feed-6d08-4e64-82dd-ad2d2f1d7bec'],,"[69.5, 8.7]",6630.0,Jorge Molina Vidal,22.0,Right Center Forward,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2725.48
0934feed-6d08-4e64-82dd-ad2d2f1d7bec,1573,1,00:45:25.480,45,25,106,1.767272,30,Pass,1049,Granada,1,Regular Play,1049,Granada,,,"['51cfde0e-899c-4b29-b5c7-8220a4a4b9dd', 'e1765b0f-435c-432e-a05f-00bf98c9377f', 'f8ad602c-cd28-43a6-b0cf-06baade8c734']",,"[50.6, 71.4]",20064.0,Hugo Miguel Almeida Costa Lopes,2.0,Right Back,6599.0,Rubén Salvador Pérez Del Mármol,20.388721,-1.6641206,2.0,Low Pass,"[48.7, 51.1]",66.0,Recovery,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2725.48
e1765b0f-435c-432e-a05f-00bf98c9377f,1574,1,00:45:27.247,45,27,106,,42,Ball Receipt*,1049,Granada,1,Regular Play,1049,Granada,,,['0934feed-6d08-4e64-82dd-ad2d2f1d7bec'],,"[48.7, 51.1]",6599.0,Rubén Salvador Pérez Del Mármol,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2727.247
87f99022-aa79-45d7-93e8-8644936fe479,1575,1,00:45:27.247,45,27,106,0.046727,43,Carry,1049,Granada,1,Regular Play,1049,Granada,,,"['086022f8-444f-4b79-a879-f2987df68f0f', 'e1765b0f-435c-432e-a05f-00bf98c9377f']",,"[48.7, 51.1]",6599.0,Rubén Salvador Pérez Del Mármol,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,"[48.7, 50.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2727.247
086022f8-444f-4b79-a879-f2987df68f0f,1576,1,00:45:27.294,45,27,106,1.050109,30,Pass,1049,Granada,1,Regular Play,1049,Granada,,,['b48037d4-9a69-49a6-ba28-b614fa3ddfea'],,"[48.7, 50.9]",6599.0,Rubén Salvador Pérez Del Mármol,9.0,Right Defensive Midfield,6918.0,Isaac Ajayi Success,15.241063,-0.9391057,2.0,Low Pass,"[57.7, 38.6]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2727.294
b48037d4-9a69-49a6-ba28-b614fa3ddfea,1577,1,00:45:28.344,45,28,106,,42,Ball Receipt*,1049,Granada,1,Regular Play,1049,Granada,,,['086022f8-444f-4b79-a879-f2987df68f0f'],,"[57.7, 38.6]",6918.0,Isaac Ajayi Success,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2728.344
e7dd33e2-f3b7-4673-8814-c9e77fb17ced,1578,1,00:45:28.344,45,28,106,1.425379,30,Pass,1049,Granada,1,Regular Play,1049,Granada,,,['15c5f701-9b91-4fbc-91c2-d242c9e53ab3'],,"[56.7, 36.5]",6918.0,Isaac Ajayi Success,16.0,Left Midfield,27109.0,Youssef El-Arabi,10.186265,0.75762755,2.0,Low Pass,"[64.1, 43.5]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2728.344
15c5f701-9b91-4fbc-91c2-d242c9e53ab3,1579,1,00:45:29.769,45,29,106,,42,Ball Receipt*,1049,Granada,1,Regular Play,1049,Granada,,,['e7dd33e2-f3b7-4673-8814-c9e77fb17ced'],,"[64.1, 43.5]",27109.0,Youssef El-Arabi,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2729.769
4732bb1a-6c5a-49e0-a8cd-9d7d75578c3a,1580,1,00:45:29.769,45,29,106,1.994176,43,Carry,1049,Granada,1,Regular Play,1049,Granada,,,"['15c5f701-9b91-4fbc-91c2-d242c9e53ab3', '973370d4-0049-4984-9965-b810b260bbf5']",,"[64.1, 43.5]",27109.0,Youssef El-Arabi,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,"[65.1, 35.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2729.769
