id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,under_pressure,interception_outcome_id,interception_outcome_name,duel_type_id,duel_type_name,pass_aerial_won,duel_outcome_id,duel_outcome_name,pass_deflected,out,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,dribble_outcome_id,dribble_outcome_name,pass_cross,pass_cut_back,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,pass_switch,clearance_head,foul_committed_type_id,foul_committed_type_name,foul_won_defensive,shot_first_time,dribble_nutmeg,shot_one_on_one,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_outswinging,pass_technique_id,pass_technique_name,pass_inswinging,shot_aerial_won,dribble_overrun,pass_goal_assist,foul_committed_advantage,foul_won_advantage,pass_miscommunication,clearance_aerial_won,ball_recovery_recovery_failure,block_deflection,injury_stoppage_in_chain,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_card_id,foul_committed_card_name,bad_behaviour_card_id,bad_behaviour_card_name,miscontrol_aerial_won,pass_no_touch,foul_committed_offensive,pass_through_ball,timestamp_seconds
778f69d4-02d5-492b-8ced-587b8f47afbc,2055,2,00:07:40.297,52,40,98,1.800862,30,Pass,214,Espanyol,2,From Corner,214,Espanyol,,,['591a8970-cb1a-4044-b9ba-9d7926df6bba'],,"[120.0, 0.1]",5719.0,Marco Asensio Willemsen,21.0,Left Wing,,,41.02012,1.8346964,3.0,High Pass,"[109.3, 39.7]",61.0,Corner,38.0,Left Foot,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,105.0,Outswinging,,,,,,,,,,,,,,,,,,,,,,,,460.297
591a8970-cb1a-4044-b9ba-9d7926df6bba,2056,2,00:07:42.098,52,42,98,0.0,9,Clearance,214,Espanyol,2,From Corner,216,Getafe,,,['778f69d4-02d5-492b-8ced-587b8f47afbc'],,"[10.8, 40.4]",27092.0,Abdoul Karim Yoda,6.0,Left Back,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.098
9f7d89b4-a335-47f1-9c5f-7ff789e53447,2057,2,00:07:43.304,52,43,98,5.007169,30,Pass,214,Espanyol,2,From Corner,216,Getafe,,,"['212b9ea4-5387-4820-8441-f04b2b7f3a32', '82757a1a-7e3d-404d-8557-f583b4d0cff0']",,"[19.7, 30.3]",6627.0,Damián Nicolás Suárez Suárez,2.0,Right Back,15893.0,Víctor Rodríguez Romero,49.86632,-0.472616,3.0,High Pass,"[64.1, 7.6]",66.0,Recovery,40.0,Right Foot,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.304
212b9ea4-5387-4820-8441-f04b2b7f3a32,2058,2,00:07:48.311,52,48,98,,42,Ball Receipt*,214,Espanyol,2,From Corner,216,Getafe,,,['9f7d89b4-a335-47f1-9c5f-7ff789e53447'],,"[53.8, 11.3]",15893.0,Víctor Rodríguez Romero,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.311
82757a1a-7e3d-404d-8557-f583b4d0cff0,2059,2,00:07:48.311,52,48,98,0.0,2,Ball Recovery,214,Espanyol,2,From Corner,214,Espanyol,,,['9f7d89b4-a335-47f1-9c5f-7ff789e53447'],,"[56.0, 72.5]",23974.0,Roberto Antonio Correa Silva,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.311
c61d48d2-f783-4a61-87da-1ea1fa39f96e,2060,2,00:07:48.311,52,48,98,2.189556,43,Carry,214,Espanyol,2,From Corner,214,Espanyol,,,"['73c70f46-cc0b-439f-a650-d764f9c0f7b7', '82757a1a-7e3d-404d-8557-f583b4d0cff0']",,"[56.0, 72.5]",23974.0,Roberto Antonio Correa Silva,2.0,Right Back,,,,,,,,,,,,"[61.2, 73.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.311
73c70f46-cc0b-439f-a650-d764f9c0f7b7,2061,2,00:07:50.501,52,50,98,1.745837,30,Pass,214,Espanyol,2,From Corner,214,Espanyol,,,['79165183-9b9e-4769-938c-243944c4c2a7'],,"[61.2, 73.3]",23974.0,Roberto Antonio Correa Silva,2.0,Right Back,27148.0,Abraham González Casanova,22.584286,-2.0344439,1.0,Ground Pass,"[51.1, 53.1]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.501
79165183-9b9e-4769-938c-243944c4c2a7,2062,2,00:07:52.247,52,52,98,,42,Ball Receipt*,214,Espanyol,2,From Corner,214,Espanyol,,,['73c70f46-cc0b-439f-a650-d764f9c0f7b7'],,"[51.1, 53.1]",27148.0,Abraham González Casanova,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.247
26d48530-d6ec-4f95-9438-5a3d5adc0522,2063,2,00:07:52.247,52,52,98,0.993701,43,Carry,214,Espanyol,2,From Corner,214,Espanyol,,,"['79165183-9b9e-4769-938c-243944c4c2a7', 'f87eadeb-d95e-42e7-ad4d-55827c7be08c']",,"[51.1, 53.1]",27148.0,Abraham González Casanova,11.0,Left Defensive Midfield,,,,,,,,,,,,"[51.1, 53.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.247
f87eadeb-d95e-42e7-ad4d-55827c7be08c,2064,2,00:07:53.240,52,53,98,3.400379,30,Pass,214,Espanyol,2,From Corner,214,Espanyol,,,['88a2eba7-5e4d-49b1-9871-30f996512707'],,"[51.1, 53.1]",27148.0,Abraham González Casanova,11.0,Left Defensive Midfield,27241.0,Víctor Guillermo Álvarez Delgado,38.066914,-1.4523064,2.0,Low Pass,"[55.6, 15.3]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.24
