id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,dribble_outcome_id,dribble_outcome_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,duel_type_id,duel_type_name,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_aerial_won,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,off_camera,pass_switch,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,foul_committed_type_id,foul_committed_type_name,counterpress,duel_outcome_id,duel_outcome_name,shot_one_on_one,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_aerial_won,ball_recovery_recovery_failure,interception_outcome_id,interception_outcome_name,clearance_head,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,pass_through_ball,pass_technique_id,pass_technique_name,clearance_left_foot,clearance_aerial_won,out,shot_first_time,bad_behaviour_card_id,bad_behaviour_card_name,dribble_overrun,pass_deflected,foul_committed_advantage,foul_won_advantage,foul_committed_penalty,foul_won_penalty,pass_cut_back,block_deflection,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_offensive,ball_recovery_offensive,pass_outswinging,dribble_nutmeg,miscontrol_aerial_won,pass_no_touch,clearance_other,timestamp_seconds
69f604dc-4ffd-45f9-9102-fed2f49c2f7d,2005,2,00:01:42.996,46,42,82,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['3c1e0c8b-46a3-4838-ac1f-0ef268e469eb'],"[65.3, 43.2]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.99600000000001
9864f526-63b8-498f-bc08-7384f6109fa2,2006,2,00:01:42.996,46,42,82,2.047664,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['69f604dc-4ffd-45f9-9102-fed2f49c2f7d', '7001a852-9c69-4857-9d5b-330c30b710ee']","[65.3, 43.2]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,,,,,,,,,,,,"[67.5, 36.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.99600000000001
7001a852-9c69-4857-9d5b-330c30b710ee,2007,2,00:01:45.043,46,45,82,1.109427,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['79c34835-963a-4e3a-bf98-d777d565f60a'],"[67.5, 36.0]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,5203.0,Sergio Busquets i Burgos,4.356604,2.9802175,1.0,Ground Pass,"[63.2, 36.7]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.043
79c34835-963a-4e3a-bf98-d777d565f60a,2008,2,00:01:46.153,46,46,82,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['7001a852-9c69-4857-9d5b-330c30b710ee'],"[63.2, 36.7]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.15299999999999
ece7426a-a512-42cd-bb31-fe36bdbc6e9a,2009,2,00:01:46.153,46,46,82,0.792087,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['4103e943-499c-4908-bf7b-cf90bbf33569', '79c34835-963a-4e3a-bf98-d777d565f60a']","[63.2, 36.7]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,,,,,,"[63.2, 36.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.15299999999999
4103e943-499c-4908-bf7b-cf90bbf33569,2010,2,00:01:46.945,46,46,82,0.941694,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['fcaea465-2592-473c-b717-f0d7f95d2246'],"[63.2, 36.7]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,5503.0,Lionel Andrés Messi Cuccittini,9.840732,-0.9151007,1.0,Ground Pass,"[69.2, 28.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.945
fcaea465-2592-473c-b717-f0d7f95d2246,2011,2,00:01:47.886,46,47,82,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['4103e943-499c-4908-bf7b-cf90bbf33569'],"[69.2, 28.9]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.886
be6fc3d5-4cde-4774-bfc3-be6e1393b0d2,2012,2,00:01:47.886,46,47,82,3.350558,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['10da33e1-15ef-45a2-b939-84a2ff49303c', 'f04ef294-6608-42ae-9514-4bc5bc71db4c', 'fcaea465-2592-473c-b717-f0d7f95d2246']","[69.2, 28.9]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,,,,,,,,,,,,"[77.4, 27.0]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.886
f04ef294-6608-42ae-9514-4bc5bc71db4c,2013,2,00:01:50.195,46,50,82,0.894854,17,Pressure,217,Barcelona,1,Regular Play,222,Villarreal,,,['be6fc3d5-4cde-4774-bfc3-be6e1393b0d2'],"[41.5, 56.7]",6609.0,Denis Suárez Fernández,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.195
da1371b4-fead-46b4-8e0c-25fff1dfea33,2014,2,00:01:51.237,46,51,82,0.0,39,Dribbled Past,217,Barcelona,1,Regular Play,222,Villarreal,,,"['10da33e1-15ef-45a2-b939-84a2ff49303c', '41e5a868-0b08-43c6-af1c-07b1af75812c']","[43.6, 54.0]",6609.0,Denis Suárez Fernández,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.237
