id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,dribble_overrun,pass_switch,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,counterpress,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,out,off_camera,shot_first_time,foul_won_defensive,clearance_left_foot,clearance_head,pass_goal_assist,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,foul_committed_advantage,foul_won_advantage,shot_aerial_won,foul_committed_card_id,foul_committed_card_name,foul_committed_penalty,foul_won_penalty,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_outswinging,pass_technique_id,pass_technique_name,clearance_aerial_won,pass_through_ball,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,goalkeeper_punched_out,foul_committed_type_id,foul_committed_type_name,pass_deflected,miscontrol_aerial_won,pass_cut_back,shot_one_on_one,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
ada4ee5b-6f03-4b6b-8d21-ba8fb9df97e9,1934,1,00:43:27.952,43,27,77,0.60911,30,Pass,212,Atlético Madrid,7,From Goal Kick,212,Atlético Madrid,,,['801a5c3d-05d0-4c75-9b64-10db4da216d0'],"[6.0, 36.0]",6378.0,Jan Oblak,1.0,Goalkeeper,6384.0,Gabriel Fernández Arenas,21.964745,0.15541844,1.0,Ground Pass,"[27.7, 39.4]",40.0,Right Foot,63.0,Goal Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2607.952
801a5c3d-05d0-4c75-9b64-10db4da216d0,1935,1,00:43:28.561,43,28,77,,42,Ball Receipt*,212,Atlético Madrid,7,From Goal Kick,212,Atlético Madrid,,,['ada4ee5b-6f03-4b6b-8d21-ba8fb9df97e9'],"[27.7, 39.4]",6384.0,Gabriel Fernández Arenas,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2608.561
ac852c06-5817-4215-9cb3-617941453b72,1936,1,00:43:28.963,43,28,77,1.820859,30,Pass,212,Atlético Madrid,7,From Goal Kick,212,Atlético Madrid,,,"['4a08d19b-1a42-4d27-a85f-bf74b76228fb', '4cb28313-e9c4-4c53-8471-f0178974bd82']","[27.7, 39.4]",6384.0,Gabriel Fernández Arenas,9.0,Right Defensive Midfield,6377.0,Ángel Martín Correa,21.128416,0.26334628,1.0,Ground Pass,"[48.1, 44.9]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2608.963
4cb28313-e9c4-4c53-8471-f0178974bd82,1937,1,00:43:30.784,43,30,77,,42,Ball Receipt*,212,Atlético Madrid,7,From Goal Kick,212,Atlético Madrid,,,['ac852c06-5817-4215-9cb3-617941453b72'],"[49.8, 42.2]",6377.0,Ángel Martín Correa,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2610.784
4a08d19b-1a42-4d27-a85f-bf74b76228fb,1938,1,00:43:30.784,43,30,77,0.0,10,Interception,212,Atlético Madrid,7,From Goal Kick,220,Real Madrid,,,['ac852c06-5817-4215-9cb3-617941453b72'],"[72.0, 35.2]",5539.0,Carlos Henrique Casimiro,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2610.784
bf197348-13e7-4256-a930-6632f395ae5a,1939,1,00:43:32.427,43,32,77,0.475365,17,Pressure,212,Atlético Madrid,7,From Goal Kick,212,Atlético Madrid,,,['03724e20-1ae9-4770-b6ed-4213d4725f72'],"[53.6, 31.1]",12021.0,Óliver Torres Muñoz,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2612.427
03724e20-1ae9-4770-b6ed-4213d4725f72,1940,1,00:43:32.851,43,32,78,0.560797,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['68345e2c-eed5-4373-ab95-711b73e436ca', 'bf197348-13e7-4256-a930-6632f395ae5a']","[63.6, 51.7]",20215.0,Álvaro Arbeloa Coca,2.0,Right Back,4926.0,Francisco Román Alarcón Suárez,10.484751,0.99602044,1.0,Ground Pass,"[69.3, 60.5]",40.0,Right Foot,66.0,Recovery,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2612.851
68345e2c-eed5-4373-ab95-711b73e436ca,1941,1,00:43:33.412,43,33,78,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['03724e20-1ae9-4770-b6ed-4213d4725f72'],"[69.3, 60.5]",4926.0,Francisco Román Alarcón Suárez,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2613.412
cad39d75-083d-46bf-977f-9c2ea9316853,1942,1,00:43:33.412,43,33,78,0.932121,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['68345e2c-eed5-4373-ab95-711b73e436ca', '72253c81-be4a-49cf-9f9f-829558bcd5cc']","[69.3, 60.5]",4926.0,Francisco Román Alarcón Suárez,17.0,Right Wing,,,,,,,,,,,,"[75.8, 61.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2613.412
72253c81-be4a-49cf-9f9f-829558bcd5cc,1943,1,00:43:34.344,43,34,78,1.007001,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['72538eec-1cb2-429c-b9cb-b5b78b99b2f6'],"[75.8, 61.2]",4926.0,Francisco Román Alarcón Suárez,17.0,Right Wing,19677.0,Karim Benzema,12.773801,-0.16514868,1.0,Ground Pass,"[88.4, 59.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2614.344
59421ab8-7b16-4ae1-9483-b7bd0b5bdfd8,1944,1,00:43:35.210,43,35,78,0.626742,17,Pressure,220,Real Madrid,1,Regular Play,212,Atlético Madrid,,,"['72538eec-1cb2-429c-b9cb-b5b78b99b2f6', 'bff9b893-3701-4bf8-a45c-dd1748f82ee3']","[29.3, 21.0]",5249.0,Diego Roberto Godín Leal,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2615.21
72538eec-1cb2-429c-b9cb-b5b78b99b2f6,1945,1,00:43:35.351,43,35,78,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['59421ab8-7b16-4ae1-9483-b7bd0b5bdfd8', '72253c81-be4a-49cf-9f9f-829558bcd5cc']","[88.4, 59.1]",19677.0,Karim Benzema,23.0,Center Forward,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2615.351
bff9b893-3701-4bf8-a45c-dd1748f82ee3,1946,1,00:43:35.351,43,35,78,0.565381,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['59421ab8-7b16-4ae1-9483-b7bd0b5bdfd8', '61b94fac-616e-4f7a-885d-10b5fd8966f3', '72538eec-1cb2-429c-b9cb-b5b78b99b2f6']","[88.4, 59.1]",19677.0,Karim Benzema,23.0,Center Forward,,,,,,,,,,,,"[88.4, 58.3]",,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2615.351
