id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,pass_aerial_won,off_camera,counterpress,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,interception_outcome_id,interception_outcome_name,out,pass_outswinging,pass_technique_id,pass_technique_name,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_switch,foul_won_defensive,block_deflection,ball_recovery_recovery_failure,clearance_right_foot,pass_goal_assist,shot_first_time,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,shot_one_on_one,dribble_overrun,pass_cross,shot_aerial_won,foul_committed_advantage,foul_won_advantage,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_inswinging,clearance_left_foot,foul_committed_card_id,foul_committed_card_name,pass_cut_back,block_offensive,pass_through_ball,foul_committed_offensive,pass_no_touch,bad_behaviour_card_id,bad_behaviour_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_deflected,pass_straight,shot_saved_to_post,goalkeeper_shot_saved_to_post,block_save_block,pass_miscommunication,timestamp_seconds
a2f8f932-96dd-4742-920d-f0c3b05a43d3,367,1,00:07:08.349,7,8,19,,42,Ball Receipt*,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,['8427d6e5-a0f0-4aab-8360-e91376b5b757'],"[53.1, 24.8]",6797.0,Daniel Wass,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.349
fefb6756-7d2d-4ccd-bc1d-b6b099220185,368,1,00:07:08.349,7,8,19,1.74743,43,Carry,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,"['a2617b82-566e-42a4-ae92-628bcaec54d1', 'a2f8f932-96dd-4742-920d-f0c3b05a43d3']","[53.1, 24.8]",6797.0,Daniel Wass,13.0,Right Center Midfield,,,,,,,,,,,,"[52.6, 15.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.349
a2617b82-566e-42a4-ae92-628bcaec54d1,369,1,00:07:10.097,7,10,19,1.384062,30,Pass,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,['6316a4d6-229c-44a6-bd5c-0f3e10394bd3'],"[52.6, 15.9]",6797.0,Daniel Wass,13.0,Right Center Midfield,6802.0,Jonathan Castro Otto,12.376186,-1.3591386,1.0,Ground Pass,"[55.2, 3.8]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.097
6316a4d6-229c-44a6-bd5c-0f3e10394bd3,370,1,00:07:11.481,7,11,19,,42,Ball Receipt*,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,['a2617b82-566e-42a4-ae92-628bcaec54d1'],"[55.2, 3.8]",6802.0,Jonathan Castro Otto,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.481
f5915268-5df9-4075-b10c-057e2e242bd5,371,1,00:07:11.481,7,11,19,0.51362,43,Carry,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,"['05fb25f2-2d43-42d1-a8da-bb91fad784a7', '6316a4d6-229c-44a6-bd5c-0f3e10394bd3']","[55.2, 3.8]",6802.0,Jonathan Castro Otto,6.0,Left Back,,,,,,,,,,,,"[55.8, 3.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.481
05fb25f2-2d43-42d1-a8da-bb91fad784a7,372,1,00:07:11.994,7,11,19,0.893358,30,Pass,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,['434cda74-3900-4a66-8ee3-42bacdeabbe0'],"[55.8, 3.6]",6802.0,Jonathan Castro Otto,6.0,Left Back,6724.0,Manuel Agudo Durán,12.714166,-0.04720899,1.0,Ground Pass,"[68.5, 3.0]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.994
cfd4adb4-ac68-4998-a485-bb2e1d0d6bf9,373,1,00:07:12.714,7,12,19,0.598402,17,Pressure,209,Celta Vigo,3,From Free Kick,220,Real Madrid,,,"['0850f261-e621-4087-a669-72ef634a46de', '434cda74-3900-4a66-8ee3-42bacdeabbe0', 'a96b1080-9f86-4a03-9fd8-da1a1293f905']","[48.8, 77.1]",3063.0,Danilo Luiz da Silva,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.714
434cda74-3900-4a66-8ee3-42bacdeabbe0,374,1,00:07:12.888,7,12,19,,42,Ball Receipt*,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,"['05fb25f2-2d43-42d1-a8da-bb91fad784a7', 'cfd4adb4-ac68-4998-a485-bb2e1d0d6bf9']","[68.5, 3.0]",6724.0,Manuel Agudo Durán,21.0,Left Wing,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.888
a96b1080-9f86-4a03-9fd8-da1a1293f905,375,1,00:07:12.888,7,12,19,0.335307,43,Carry,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,"['0850f261-e621-4087-a669-72ef634a46de', '434cda74-3900-4a66-8ee3-42bacdeabbe0', 'cfd4adb4-ac68-4998-a485-bb2e1d0d6bf9']","[68.5, 3.0]",6724.0,Manuel Agudo Durán,21.0,Left Wing,,,,,,,,,,,,"[67.7, 3.0]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.888
0850f261-e621-4087-a669-72ef634a46de,376,1,00:07:13.223,7,13,19,0.940969,30,Pass,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,"['9f40aa3d-6f48-418a-91f5-2d36a4157590', 'cfd4adb4-ac68-4998-a485-bb2e1d0d6bf9']","[67.7, 3.0]",6724.0,Manuel Agudo Durán,21.0,Left Wing,7105.0,Fabián Ariel Orellana Valenzuela,8.065358,1.2294405,1.0,Ground Pass,"[70.4, 10.6]",,,40.0,Right Foot,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.223
