id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,counterpress,interception_outcome_id,interception_outcome_name,out,pass_aerial_won,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_cross,pass_miscommunication,dribble_outcome_id,dribble_outcome_name,ball_recovery_recovery_failure,duel_outcome_id,duel_outcome_name,pass_switch,clearance_right_foot,foul_won_defensive,off_camera,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,foul_committed_advantage,foul_won_advantage,pass_goal_assist,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_deflected,foul_committed_offensive,shot_first_time,clearance_left_foot,dribble_overrun,miscontrol_aerial_won,foul_committed_type_id,foul_committed_type_name,shot_aerial_won,foul_committed_card_id,foul_committed_card_name,dribble_nutmeg,pass_technique_id,pass_technique_name,pass_through_ball,pass_outswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_no_touch,bad_behaviour_card_id,bad_behaviour_card_name,pass_cut_back,pass_inswinging,goalkeeper_punched_out,timestamp_seconds
f3992015-8ed8-44c7-b18c-eb21ddfa0f6d,2112,2,00:03:14.654,48,14,108,0.357681,43,Carry,222,Villarreal,1,Regular Play,222,Villarreal,,,"['893c15ca-a802-43db-885b-4bc29e97833e', '8e8bfec7-96d6-4ad2-b00d-349b676c67c1', 'aa4030c2-fb49-4a12-9dad-8dcd0a26f0fb']","[69.2, 51.8]",6829.0,Samuel Castillejo Azuaga,16.0,Left Midfield,,,,,,,,,,,,True,"[69.2, 51.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.654
aa4030c2-fb49-4a12-9dad-8dcd0a26f0fb,2113,2,00:03:15.012,48,15,108,0.0,3,Dispossessed,222,Villarreal,1,Regular Play,222,Villarreal,,,['27d1f49a-411b-44b4-908d-648de7bbcc44'],"[69.2, 51.8]",6829.0,Samuel Castillejo Azuaga,16.0,Left Midfield,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.012
27d1f49a-411b-44b4-908d-648de7bbcc44,2114,2,00:03:15.012,48,15,108,0.0,4,Duel,222,Villarreal,1,Regular Play,212,Atlético Madrid,,,['aa4030c2-fb49-4a12-9dad-8dcd0a26f0fb'],"[50.9, 28.3]",20669.0,Tiago Cardoso Mendes,11.0,Left Defensive Midfield,,,,,,,,,,,,True,,,,,,11.0,Tackle,,,,,,,,,,,,,,,,,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.012
9cb52f6b-f0ee-486f-aeba-661cd638c23d,2115,2,00:03:15.012,48,15,108,2.498079,43,Carry,222,Villarreal,1,Regular Play,212,Atlético Madrid,,,"['0bdca713-36d9-44e3-b21c-bcf61096f363', '27d1f49a-411b-44b4-908d-648de7bbcc44']","[50.9, 28.3]",20669.0,Tiago Cardoso Mendes,11.0,Left Defensive Midfield,,,,,,,,,,,,,"[58.4, 18.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.012
0bdca713-36d9-44e3-b21c-bcf61096f363,2116,2,00:03:17.510,48,17,108,0.952441,30,Pass,222,Villarreal,1,Regular Play,212,Atlético Madrid,,,['77074624-1c94-4bcc-a91e-5717491d53de'],"[58.4, 18.6]",20669.0,Tiago Cardoso Mendes,11.0,Left Defensive Midfield,6744.0,Luciano Vietto,20.260553,1.0939045,1.0,Ground Pass,"[67.7, 36.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.51
77074624-1c94-4bcc-a91e-5717491d53de,2117,2,00:03:18.462,48,18,108,,42,Ball Receipt*,222,Villarreal,1,Regular Play,212,Atlético Madrid,,,['0bdca713-36d9-44e3-b21c-bcf61096f363'],"[67.7, 36.6]",6744.0,Luciano Vietto,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.462
f2fefb3d-7c98-4390-97d2-1249f690a994,2118,2,00:03:18.462,48,18,108,3.008351,43,Carry,222,Villarreal,1,Regular Play,212,Atlético Madrid,,,"['13759d35-94b4-4b46-844c-26a1a13ae72e', '76620bac-ddac-4902-9f87-b6d7d74fee55', '77074624-1c94-4bcc-a91e-5717491d53de']","[67.7, 36.6]",6744.0,Luciano Vietto,22.0,Right Center Forward,,,,,,,,,,,,True,"[87.5, 39.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.462
76620bac-ddac-4902-9f87-b6d7d74fee55,2119,2,00:03:19.256,48,19,108,1.827584,17,Pressure,222,Villarreal,1,Regular Play,222,Villarreal,,,['f2fefb3d-7c98-4390-97d2-1249f690a994'],"[47.7, 44.9]",6771.0,Manuel Trigueros Muñoz,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.256
49ff23b3-4585-4d05-8f4a-c5af3d52b2d7,2120,2,00:03:20.846,48,20,108,0.465777,17,Pressure,222,Villarreal,1,Regular Play,222,Villarreal,,,,"[33.5, 39.1]",22819.0,Bruno Soriano Llido,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.846
13759d35-94b4-4b46-844c-26a1a13ae72e,2121,2,00:03:21.471,48,21,108,0.0,14,Dribble,222,Villarreal,1,Regular Play,212,Atlético Madrid,,,['595ecdf0-13f5-4b57-ac96-23f469b2a224'],"[87.5, 39.7]",6744.0,Luciano Vietto,22.0,Right Center Forward,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.471
