id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,interception_outcome_id,interception_outcome_name,counterpress,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,off_camera,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,pass_cross,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,out,clearance_left_foot,pass_switch,pass_technique_id,pass_technique_name,pass_outswinging,shot_aerial_won,dribble_outcome_id,dribble_outcome_name,clearance_head,shot_first_time,pass_inswinging,pass_cut_back,pass_through_ball,foul_committed_type_id,foul_committed_type_name,foul_committed_advantage,foul_won_advantage,dribble_overrun,clearance_aerial_won,50_50_outcome_id,50_50_outcome_name,shot_open_goal,pass_goal_assist,ball_recovery_recovery_failure,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_penalty,foul_won_penalty,pass_no_touch,dribble_nutmeg,timestamp_seconds
151b2fea-c611-4883-b179-21404298fc36,3746,2,00:33:09.913,78,9,164,4.673614,43,Carry,212,Atlético Madrid,6,From Counter,212,Atlético Madrid,,,"['56587aa9-eb24-4971-962d-1031cd3527f2', '7271a28b-a7e7-483d-b488-1d6353e3ae26', 'c805f3a6-898f-4837-a552-02fb1f81a079']","[51.9, 54.6]",6377.0,Ángel Martín Correa,12.0,Right Midfield,,,,,,,,,,,,"[76.9, 45.5]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989.913
56587aa9-eb24-4971-962d-1031cd3527f2,3747,2,00:33:14.124,78,14,164,0.739905,17,Pressure,212,Atlético Madrid,6,From Counter,210,Real Sociedad,,,"['151b2fea-c611-4883-b179-21404298fc36', '7271a28b-a7e7-483d-b488-1d6353e3ae26']","[47.0, 46.3]",6671.0,Asier Illarramendi Andonegi,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994.124
7271a28b-a7e7-483d-b488-1d6353e3ae26,3748,2,00:33:14.587,78,14,164,1.249198,30,Pass,212,Atlético Madrid,6,From Counter,212,Atlético Madrid,,,"['56587aa9-eb24-4971-962d-1031cd3527f2', 'eac0d2c2-44a8-4d30-afcd-c5d4b6c148f4']","[76.9, 45.5]",6377.0,Ángel Martín Correa,12.0,Right Midfield,6744.0,Luciano Vietto,18.016104,-0.8639762,1.0,Ground Pass,"[88.6, 31.8]",40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994.587
befd51ff-1916-4474-b573-76d4e0dff0f2,3749,2,00:33:15.302,78,15,164,0.58562,17,Pressure,212,Atlético Madrid,6,From Counter,210,Real Sociedad,,,"['c16feb5e-7e07-40ae-bfe5-14742b40032e', 'eac0d2c2-44a8-4d30-afcd-c5d4b6c148f4']","[35.6, 51.8]",6679.0,Aritz Elustondo Irribaria,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995.302
eac0d2c2-44a8-4d30-afcd-c5d4b6c148f4,3750,2,00:33:15.836,78,15,164,,42,Ball Receipt*,212,Atlético Madrid,6,From Counter,212,Atlético Madrid,,,"['7271a28b-a7e7-483d-b488-1d6353e3ae26', 'befd51ff-1916-4474-b573-76d4e0dff0f2']","[88.6, 31.8]",6744.0,Luciano Vietto,23.0,Center Forward,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995.836
c16feb5e-7e07-40ae-bfe5-14742b40032e,3751,2,00:33:15.836,78,15,164,0.661909,43,Carry,212,Atlético Madrid,6,From Counter,212,Atlético Madrid,,,"['0f57ebc2-2567-429d-9d4c-ea0104412d39', 'befd51ff-1916-4474-b573-76d4e0dff0f2', 'eac0d2c2-44a8-4d30-afcd-c5d4b6c148f4', 'f9b024d7-3982-4c4b-8c97-21af1770839c']","[88.6, 31.8]",6744.0,Luciano Vietto,23.0,Center Forward,,,,,,,,,,,,"[89.7, 34.3]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995.836
f9b024d7-3982-4c4b-8c97-21af1770839c,3752,2,00:33:16.498,78,16,164,0.0,22,Foul Committed,212,Atlético Madrid,6,From Counter,210,Real Sociedad,,,"['0f57ebc2-2567-429d-9d4c-ea0104412d39', 'c16feb5e-7e07-40ae-bfe5-14742b40032e']","[30.4, 45.8]",6679.0,Aritz Elustondo Irribaria,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996.498
0f57ebc2-2567-429d-9d4c-ea0104412d39,3753,2,00:33:16.498,78,16,164,0.0,21,Foul Won,212,Atlético Madrid,6,From Counter,212,Atlético Madrid,,,['f9b024d7-3982-4c4b-8c97-21af1770839c'],"[89.7, 34.3]",6744.0,Luciano Vietto,23.0,Center Forward,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996.498
2c670dd4-face-4bbc-bf76-cd3d784b8da3,3754,2,00:34:11.137,79,11,165,0.463118,16,Shot,212,Atlético Madrid,3,From Free Kick,212,Atlético Madrid,,,['ef426c35-e832-40c7-9315-14d0271506dc'],"[90.6, 31.5]",5199.0,Jorge Resurrección Merodio,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034310997,"[120.0, 40.7, 6.0]",,40.0,Right Foot,62.0,Free Kick,98.0,Off T,93.0,Normal,"[{'location': [101.8, 23.4], 'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [101.2, 30.7], 'player': {'id': 6377, 'name': 'Ángel Martín Correa'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [102.9, 17.6], 'player': {'id': 6320, 'name': 'Filipe Luís Kasmirski'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [94.2, 44.8], 'player': {'id': 8522, 'name': 'Armindo Tué Na Bangna'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [102.2, 41.0], 'player': {'id': 6899, 'name': 'Rubén Pardo Gutiérrez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [102.3, 38.2], 'player': {'id': 6679, 'name': 'Aritz Elustondo Irribaria'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.5, 43.1], 'player': {'id': 16622, 'name': 'Mikel González de Martín Martínez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.9, 45.9], 'player': {'id': 6674, 'name': 'Alberto De La Bella Madureño'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.6, 34.1], 'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [99.7, 33.2], 'player': {'id': 8584, 'name': 'Jonathas Cristian de Jesus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [99.6, 32.2], 'player': {'id': 16539, 'name': 'Diego Antonio Reyes Rosales'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.6, 29.0], 'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [102.5, 45.3], 'player': {'id': 6381, 'name': 'Saúl Ñíguez Esclapez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [101.3, 34.4], 'player': {'id': 5484, 'name': 'Lucas Hernández Pi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [102.9, 37.1], 'player': {'id': 6744, 'name': 'Luciano Vietto'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.5, 40.2], 'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2051.137
ef426c35-e832-40c7-9315-14d0271506dc,3755,2,00:34:11.601,79,11,165,0.0,23,Goal Keeper,212,Atlético Madrid,3,From Free Kick,210,Real Sociedad,,,['2c670dd4-face-4bbc-bf76-cd3d784b8da3'],"[1.6, 39.9]",6694.0,Gerónimo Rulli,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1.6, 39.9]",32.0,Shot Faced,44.0,Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2051.601
