id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_switch,under_pressure,pass_outcome_id,pass_outcome_name,pass_aerial_won,duel_type_id,duel_type_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,off_camera,interception_outcome_id,interception_outcome_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,shot_first_time,out,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,clearance_head,pass_technique_id,pass_technique_name,pass_through_ball,clearance_right_foot,pass_no_touch,pass_miscommunication,pass_cut_back,foul_committed_card_id,foul_committed_card_name,50_50_outcome_id,50_50_outcome_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_defensive,clearance_aerial_won,pass_inswinging,ball_recovery_recovery_failure,dribble_overrun,pass_outswinging,dribble_no_touch,shot_one_on_one,bad_behaviour_card_id,bad_behaviour_card_name,dribble_nutmeg,pass_goal_assist,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,ball_recovery_offensive,half_end_early_video_end,timestamp_seconds
66ff9045-63db-47ef-ad2a-e2b8b54c010b,676,1,00:13:49.655,13,49,33,1.210838,43,Carry,217,Barcelona,4,From Throw In,217,Barcelona,,,"['074277af-efa6-44c5-a321-ac2db4e5df8b', 'e7d1cb60-7b7e-40bf-8580-f2b0bc13ef54']","[34.4, 61.9]",6379.0,Sergi Roberto Carnicer,2.0,Right Back,,,,,,,,,,,,"[37.6, 62.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.655
074277af-efa6-44c5-a321-ac2db4e5df8b,677,1,00:13:50.866,13,50,33,1.01382,30,Pass,217,Barcelona,4,From Throw In,217,Barcelona,,,['2001b991-0d88-46e6-bf6b-fe9d0c60348e'],"[37.6, 62.8]",6379.0,Sergi Roberto Carnicer,2.0,Right Back,5216.0,Andrés Iniesta Luján,18.906612,-1.5972452,1.0,Ground Pass,"[37.1, 43.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830.866
2001b991-0d88-46e6-bf6b-fe9d0c60348e,678,1,00:13:51.880,13,51,33,,42,Ball Receipt*,217,Barcelona,4,From Throw In,217,Barcelona,,,['074277af-efa6-44c5-a321-ac2db4e5df8b'],"[37.1, 43.9]",5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831.88
583e6ffb-2800-4d08-b099-c9f1f19a0e0e,679,1,00:13:51.880,13,51,33,4.47748,43,Carry,217,Barcelona,4,From Throw In,217,Barcelona,,,"['2001b991-0d88-46e6-bf6b-fe9d0c60348e', '5ee37723-fa26-48ef-8458-04d601241ae8']","[37.1, 43.9]",5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,,,,,,,,,,,,"[57.9, 38.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831.88
5ee37723-fa26-48ef-8458-04d601241ae8,680,1,00:13:56.357,13,56,33,1.691398,30,Pass,217,Barcelona,4,From Throw In,217,Barcelona,,,['31702258-936a-418d-bc8f-68f4d678de4b'],"[57.9, 38.2]",5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,5211.0,Jordi Alba Ramos,20.308126,-1.2241288,1.0,Ground Pass,"[64.8, 19.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836.357
31702258-936a-418d-bc8f-68f4d678de4b,681,1,00:13:58.049,13,58,33,,42,Ball Receipt*,217,Barcelona,4,From Throw In,217,Barcelona,,,['5ee37723-fa26-48ef-8458-04d601241ae8'],"[64.8, 19.1]",5211.0,Jordi Alba Ramos,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838.049
42c29717-d53b-43ec-9daa-455b93493859,682,1,00:13:58.049,13,58,33,2.723002,43,Carry,217,Barcelona,4,From Throw In,217,Barcelona,,,"['31702258-936a-418d-bc8f-68f4d678de4b', '642741da-d05f-4d46-a41f-0839823f069f']","[64.8, 19.1]",5211.0,Jordi Alba Ramos,6.0,Left Back,,,,,,,,,,,,"[74.9, 15.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838.049
642741da-d05f-4d46-a41f-0839823f069f,683,1,00:14:00.772,14,0,33,0.916774,30,Pass,217,Barcelona,4,From Throw In,217,Barcelona,,,['4585762a-1528-44c5-90d9-cf82680963f0'],"[74.9, 15.5]",5211.0,Jordi Alba Ramos,6.0,Left Back,4320.0,Neymar da Silva Santos Junior,13.038788,-1.1689256,1.0,Ground Pass,"[80.0, 3.5]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840.772
b5f734d4-e1e9-499d-8b20-82acb89e5307,684,1,00:14:01.352,14,1,33,0.894517,17,Pressure,217,Barcelona,4,From Throw In,207,Valencia,,,"['4585762a-1528-44c5-90d9-cf82680963f0', '746faf42-f9d9-49ea-b54e-ae2269a79267']","[39.1, 77.0]",6663.0,Antonio Barragán Fernández,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841.352
4585762a-1528-44c5-90d9-cf82680963f0,685,1,00:14:01.689,14,1,33,,42,Ball Receipt*,217,Barcelona,4,From Throw In,217,Barcelona,,,"['642741da-d05f-4d46-a41f-0839823f069f', 'b5f734d4-e1e9-499d-8b20-82acb89e5307']","[80.0, 3.5]",4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841.689
