id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,off_camera,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,out,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,interception_outcome_id,interception_outcome_name,duel_type_id,duel_type_name,pass_aerial_won,pass_switch,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_head,duel_outcome_id,duel_outcome_name,clearance_right_foot,clearance_aerial_won,pass_technique_id,pass_technique_name,pass_through_ball,dribble_outcome_id,dribble_outcome_name,ball_recovery_recovery_failure,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_outswinging,foul_won_defensive,pass_deflected,pass_goal_assist,shot_one_on_one,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,foul_committed_type_id,foul_committed_type_name,shot_first_time,pass_inswinging,clearance_left_foot,50_50_outcome_id,50_50_outcome_name,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,pass_miscommunication,miscontrol_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_aerial_won,dribble_overrun,pass_no_touch,pass_cut_back,bad_behaviour_card_id,bad_behaviour_card_name,foul_won_advantage,timestamp_seconds
6f7550af-ac03-4346-b045-fc9d46106cda,345,1,00:06:58.930,6,58,16,,42,Ball Receipt*,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,['51b8a0ce-4ba0-420a-a583-0ec2c4e30bec'],"[9.0, 39.5]",6884.0,Sergio Álvarez Conde,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.93
9d8e6a38-a961-4877-b2ff-ef2714e34c80,346,1,00:06:58.930,6,58,16,0.630123,43,Carry,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,"['6f7550af-ac03-4346-b045-fc9d46106cda', '7a135acd-cf02-4bf8-b363-50a5b0467521']","[9.0, 39.5]",6884.0,Sergio Álvarez Conde,1.0,Goalkeeper,,,,,,,,,,,,,"[6.1, 39.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.93
7a135acd-cf02-4bf8-b363-50a5b0467521,347,1,00:06:59.560,6,59,16,2.002986,30,Pass,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,['0e03101d-15cf-4184-b13d-b4a655ab738b'],"[6.1, 39.3]",6884.0,Sergio Álvarez Conde,1.0,Goalkeeper,,,43.502872,-0.27230036,3.0,High Pass,"[48.0, 27.6]",40.0,Right Foot,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.56
0e03101d-15cf-4184-b13d-b4a655ab738b,348,1,00:07:01.563,7,1,16,0.0,2,Ball Recovery,209,Celta Vigo,7,From Goal Kick,210,Real Sociedad,,,['7a135acd-cf02-4bf8-b363-50a5b0467521'],"[72.1, 52.5]",6899.0,Rubén Pardo Gutiérrez,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.563
66471fde-0b8e-4d7e-8083-6942c700adfa,349,1,00:07:01.563,7,1,16,1.084067,43,Carry,209,Celta Vigo,7,From Goal Kick,210,Real Sociedad,,,"['0e03101d-15cf-4184-b13d-b4a655ab738b', '5bb369cd-495a-43dd-a70b-a1bc89f82aeb']","[72.1, 52.5]",6899.0,Rubén Pardo Gutiérrez,13.0,Right Center Midfield,,,,,,,,,,,,,"[71.9, 53.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.563
5bb369cd-495a-43dd-a70b-a1bc89f82aeb,350,1,00:07:02.647,7,2,16,1.579923,30,Pass,209,Celta Vigo,7,From Goal Kick,210,Real Sociedad,,,"['63dde1b6-7f84-41cb-9c96-92cee154fdc2', 'bf83617b-a649-479c-9ce3-b513b2c48aae']","[71.9, 53.6]",6899.0,Rubén Pardo Gutiérrez,13.0,Right Center Midfield,6690.0,Xabier Prieto Argarate,23.566925,0.11909188,2.0,Low Pass,"[95.3, 56.4]",40.0,Right Foot,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.647
bf83617b-a649-479c-9ce3-b513b2c48aae,351,1,00:07:04.227,7,4,16,,42,Ball Receipt*,209,Celta Vigo,7,From Goal Kick,210,Real Sociedad,,,['5bb369cd-495a-43dd-a70b-a1bc89f82aeb'],"[88.9, 55.8]",6690.0,Xabier Prieto Argarate,17.0,Right Wing,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.227
63dde1b6-7f84-41cb-9c96-92cee154fdc2,352,1,00:07:04.227,7,4,16,0.0,2,Ball Recovery,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,['5bb369cd-495a-43dd-a70b-a1bc89f82aeb'],"[24.8, 23.7]",6804.0,Sergi Gómez Solà,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.227
b25abb40-ced7-45d6-b1f3-eb191387977a,353,1,00:07:04.227,7,4,16,1.998336,43,Carry,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,"['360030ac-a95d-4d14-89cf-6fd59b247a1a', '63dde1b6-7f84-41cb-9c96-92cee154fdc2']","[24.8, 23.7]",6804.0,Sergi Gómez Solà,5.0,Left Center Back,,,,,,,,,,,,,"[22.0, 27.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.227
360030ac-a95d-4d14-89cf-6fd59b247a1a,354,1,00:07:06.225,7,6,16,5.784471,30,Pass,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,['8cdd9773-ae7f-4544-b0d8-b2db5910600f'],"[22.0, 27.6]",6804.0,Sergi Gómez Solà,5.0,Left Center Back,6724.0,Manuel Agudo Durán,73.9138,-0.33929262,3.0,High Pass,"[91.7, 3.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.225
8cdd9773-ae7f-4544-b0d8-b2db5910600f,355,1,00:07:12.010,7,12,16,,42,Ball Receipt*,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,['360030ac-a95d-4d14-89cf-6fd59b247a1a'],"[91.7, 3.0]",6724.0,Manuel Agudo Durán,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.01
3d8eacc2-e187-4186-be90-3ab02ff37b7e,356,1,00:07:12.010,7,12,16,6.928344,43,Carry,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,"['8cdd9773-ae7f-4544-b0d8-b2db5910600f', 'b48d88ea-bef1-4d3d-bb8b-b09ad016ae68', 'fee66b7b-e3db-4610-9303-c5d50f2f3807']","[91.7, 3.0]",6724.0,Manuel Agudo Durán,21.0,Left Wing,,,,,,,,,,,,,"[96.7, 9.4]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.01
b48d88ea-bef1-4d3d-bb8b-b09ad016ae68,357,1,00:07:16.326,7,16,16,2.65992,17,Pressure,209,Celta Vigo,7,From Goal Kick,210,Real Sociedad,,,"['3d8eacc2-e187-4186-be90-3ab02ff37b7e', 'fee66b7b-e3db-4610-9303-c5d50f2f3807']","[21.0, 73.5]",6679.0,Aritz Elustondo Irribaria,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.326
fee66b7b-e3db-4610-9303-c5d50f2f3807,358,1,00:07:18.938,7,18,16,0.688705,30,Pass,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,"['b48d88ea-bef1-4d3d-bb8b-b09ad016ae68', 'f95f95ab-a137-4564-9b7a-7917c93ad7ad']","[96.7, 9.4]",6724.0,Manuel Agudo Durán,21.0,Left Wing,5217.0,Iago Aspas Juncal,14.060227,0.9216054,1.0,Ground Pass,"[105.2, 20.6]",40.0,Right Foot,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.938
f95f95ab-a137-4564-9b7a-7917c93ad7ad,359,1,00:07:19.627,7,19,16,,42,Ball Receipt*,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,['fee66b7b-e3db-4610-9303-c5d50f2f3807'],"[105.2, 20.6]",5217.0,Iago Aspas Juncal,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.627
a7f1db7e-0dfe-4169-890a-c89f566adcdc,360,1,00:07:19.627,7,19,16,0.156648,43,Carry,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,"['3b06076f-3e1d-47f1-bb5f-ddabc0934e89', 'f95f95ab-a137-4564-9b7a-7917c93ad7ad']","[105.2, 20.6]",5217.0,Iago Aspas Juncal,17.0,Right Wing,,,,,,,,,,,,,"[105.2, 20.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.627
3b06076f-3e1d-47f1-bb5f-ddabc0934e89,361,1,00:07:19.783,7,19,16,1.092565,30,Pass,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,['9600d9d8-9a55-4eef-91f4-a8a239b83dcd'],"[105.2, 20.6]",5217.0,Iago Aspas Juncal,17.0,Right Wing,6724.0,Manuel Agudo Durán,7.4330344,-0.8329813,1.0,Ground Pass,"[110.2, 15.1]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.783
2de9742f-d001-4aae-b0cc-9cb1f3c9ae8e,362,1,00:07:20.736,7,20,16,0.176933,17,Pressure,209,Celta Vigo,7,From Goal Kick,210,Real Sociedad,,,"['9600d9d8-9a55-4eef-91f4-a8a239b83dcd', 'ded1e9f6-0019-4725-86ce-85106d11d372']","[12.3, 65.4]",6679.0,Aritz Elustondo Irribaria,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.736
9600d9d8-9a55-4eef-91f4-a8a239b83dcd,363,1,00:07:20.876,7,20,16,,42,Ball Receipt*,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,"['2de9742f-d001-4aae-b0cc-9cb1f3c9ae8e', '3b06076f-3e1d-47f1-bb5f-ddabc0934e89']","[110.2, 15.1]",6724.0,Manuel Agudo Durán,21.0,Left Wing,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.876
