id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,pass_outcome_id,pass_outcome_name,counterpress,out,dribble_outcome_id,dribble_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,off_camera,pass_switch,pass_aerial_won,foul_committed_advantage,foul_won_advantage,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_cross,clearance_left_foot,interception_outcome_id,interception_outcome_name,pass_no_touch,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_outswinging,pass_technique_id,pass_technique_name,shot_aerial_won,dribble_overrun,ball_recovery_recovery_failure,pass_cut_back,shot_first_time,dribble_nutmeg,clearance_right_foot,foul_won_defensive,foul_committed_card_id,foul_committed_card_name,pass_inswinging,miscontrol_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_deflected,block_deflection,pass_goal_assist,timestamp_seconds
7f1f535e-a6ff-49eb-9486-a482f7c4ddd2,350,1,00:07:17.532,7,17,22,0.950638,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['ead6db8b-22c6-494e-aa17-254edfe4272a'],"[22.0, 22.0]",5695.0,James David Rodríguez Rubio,15.0,Left Center Midfield,5485.0,Raphaël Varane,12.706298,2.1828117,1.0,Ground Pass,"[14.7, 32.4]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.532
ead6db8b-22c6-494e-aa17-254edfe4272a,351,1,00:07:18.483,7,18,22,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['7f1f535e-a6ff-49eb-9486-a482f7c4ddd2'],"[14.7, 32.4]",5485.0,Raphaël Varane,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.483
588967f2-c499-480a-8e9d-daec63647662,352,1,00:07:18.483,7,18,22,1.474294,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['da62ebf4-9bec-4f15-bbd2-04dedaea7316', 'ead6db8b-22c6-494e-aa17-254edfe4272a']","[14.7, 32.4]",5485.0,Raphaël Varane,3.0,Right Center Back,,,,,,,,,,,,"[14.7, 33.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.483
da62ebf4-9bec-4f15-bbd2-04dedaea7316,353,1,00:07:19.957,7,19,22,0.960913,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['fe2b1e94-7c94-4ce7-bd28-006b09eb2f65'],"[14.7, 33.1]",5485.0,Raphaël Varane,3.0,Right Center Back,3063.0,Danilo Luiz da Silva,20.649456,1.4152015,1.0,Ground Pass,"[17.9, 53.5]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.957
fe2b1e94-7c94-4ce7-bd28-006b09eb2f65,354,1,00:07:20.918,7,20,22,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['da62ebf4-9bec-4f15-bbd2-04dedaea7316'],"[17.9, 53.5]",3063.0,Danilo Luiz da Silva,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.918
3562c375-e42d-4f0d-9bc5-c97ce9155909,355,1,00:07:20.918,7,20,22,1.351242,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['788864f0-c931-48e7-9fb5-398dfd0dc438', 'fe2b1e94-7c94-4ce7-bd28-006b09eb2f65']","[17.9, 53.5]",3063.0,Danilo Luiz da Silva,2.0,Right Back,,,,,,,,,,,,"[14.9, 55.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.918
788864f0-c931-48e7-9fb5-398dfd0dc438,356,1,00:07:22.269,7,22,22,2.605116,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['0249e138-138b-4669-b493-585b8a6f2b27'],"[14.9, 55.6]",3063.0,Danilo Luiz da Silva,2.0,Right Back,,,40.976334,0.2692486,3.0,High Pass,"[54.4, 66.5]",,,40.0,Right Foot,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.269
af733ef7-6262-4f90-9307-35a64378177c,357,1,00:07:24.875,7,24,22,0.0,4,Duel,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['0249e138-138b-4669-b493-585b8a6f2b27'],"[54.4, 66.5]",21147.0,Borja Mayoral Moya,23.0,Center Forward,,,,,,,,,,,,,True,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.875
0249e138-138b-4669-b493-585b8a6f2b27,358,1,00:07:24.875,7,24,22,2.38611,30,Pass,220,Real Madrid,1,Regular Play,210,Real Sociedad,,,"['788864f0-c931-48e7-9fb5-398dfd0dc438', 'af733ef7-6262-4f90-9307-35a64378177c', 'f5bb88c3-fff9-41a7-9966-ca3436518f3b']","[65.7, 13.6]",16622.0,Mikel González de Martín Martínez,5.0,Left Center Back,,,14.458562,0.42033106,3.0,High Pass,"[78.9, 19.5]",66.0,Recovery,,,,True,,,,,9.0,Incomplete,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.875
f5bb88c3-fff9-41a7-9966-ca3436518f3b,359,1,00:07:27.261,7,27,22,1.508823,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['0249e138-138b-4669-b493-585b8a6f2b27', 'a6a3973c-968d-4f48-86e3-50c6fe33f4e8']","[41.2, 60.6]",6399.0,Gareth Frank Bale,17.0,Right Wing,5485.0,Raphaël Varane,11.065261,-3.0329313,1.0,Ground Pass,"[30.2, 59.4]",66.0,Recovery,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.261
