id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,under_pressure,out,interception_outcome_id,interception_outcome_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_switch,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,off_camera,pass_aerial_won,foul_committed_advantage,foul_won_advantage,pass_inswinging,pass_technique_id,pass_technique_name,ball_recovery_recovery_failure,pass_through_ball,pass_goal_assist,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,block_deflection,dribble_overrun,clearance_head,clearance_left_foot,foul_committed_card_id,foul_committed_card_name,goalkeeper_body_part_id,goalkeeper_body_part_name,50_50_outcome_id,50_50_outcome_name,dribble_nutmeg,foul_committed_type_id,foul_committed_type_name,pass_deflected,pass_cut_back,clearance_aerial_won,shot_first_time,pass_outswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,goalkeeper_punched_out,foul_won_defensive,pass_no_touch,timestamp_seconds
7336a210-61c3-42d0-b719-847e56a32409,738,1,00:14:42.198,14,42,27,0.907939,43,Carry,207,Valencia,9,From Kick Off,207,Valencia,,,"['41c614d4-46dc-4c92-8576-3ad0895ca3b3', 'ace3601f-e0be-47da-96c3-7ef603c2f892']","[53.1, 33.7]",10802.0,André Filipe Tavares Gomes,15.0,Left Center Midfield,,,,,,,,,,,,"[49.9, 31.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882.198
41c614d4-46dc-4c92-8576-3ad0895ca3b3,739,1,00:14:43.106,14,43,27,1.742541,30,Pass,207,Valencia,9,From Kick Off,207,Valencia,,,['a13cb7df-f9bf-4e87-99ad-9d333f5ac9c3'],"[49.9, 31.2]",10802.0,André Filipe Tavares Gomes,15.0,Left Center Midfield,26780.0,Guilherme Magdalena Siqueira,28.114408,-1.6028138,1.0,Ground Pass,"[49.0, 3.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883.106
a13cb7df-f9bf-4e87-99ad-9d333f5ac9c3,740,1,00:14:44.848,14,44,27,,42,Ball Receipt*,207,Valencia,9,From Kick Off,207,Valencia,,,['41c614d4-46dc-4c92-8576-3ad0895ca3b3'],"[49.0, 3.1]",26780.0,Guilherme Magdalena Siqueira,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884.848
9fdca708-9625-474e-9858-6c06793523d7,741,1,00:14:44.848,14,44,27,1.394953,43,Carry,207,Valencia,9,From Kick Off,207,Valencia,,,"['1af71e63-63c5-4882-96e2-bff5fc457d53', 'a13cb7df-f9bf-4e87-99ad-9d333f5ac9c3']","[49.0, 3.1]",26780.0,Guilherme Magdalena Siqueira,6.0,Left Back,,,,,,,,,,,,"[49.0, 3.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884.848
1af71e63-63c5-4882-96e2-bff5fc457d53,742,1,00:14:46.243,14,46,27,1.460514,30,Pass,207,Valencia,9,From Kick Off,207,Valencia,,,['9f869372-b42e-45e9-a287-91fc5437d7c3'],"[49.0, 3.1]",26780.0,Guilherme Magdalena Siqueira,6.0,Left Back,27482.0,Aderllan Leandro de Jesus Santos,17.686718,2.3242054,1.0,Ground Pass,"[36.9, 16.0]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.243
9f869372-b42e-45e9-a287-91fc5437d7c3,743,1,00:14:47.704,14,47,27,,42,Ball Receipt*,207,Valencia,9,From Kick Off,207,Valencia,,,['1af71e63-63c5-4882-96e2-bff5fc457d53'],"[36.9, 16.0]",27482.0,Aderllan Leandro de Jesus Santos,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887.704
46a41db7-8444-4a17-8af5-996355b0f0af,744,1,00:14:47.704,14,47,27,1.464233,43,Carry,207,Valencia,9,From Kick Off,207,Valencia,,,"['9f869372-b42e-45e9-a287-91fc5437d7c3', 'b3242efa-2260-4173-a56d-3a6e7d38311d']","[36.9, 16.0]",27482.0,Aderllan Leandro de Jesus Santos,5.0,Left Center Back,,,,,,,,,,,,"[36.9, 16.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887.704
b3242efa-2260-4173-a56d-3a6e7d38311d,745,1,00:14:49.168,14,49,27,0.912616,30,Pass,207,Valencia,9,From Kick Off,207,Valencia,,,['ea51fae4-29f3-42fe-a575-c4c145a7e839'],"[36.9, 16.0]",27482.0,Aderllan Leandro de Jesus Santos,5.0,Left Center Back,3638.0,Shkodran Mustafi,26.826294,1.6678685,1.0,Ground Pass,"[34.3, 42.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889.168
ea51fae4-29f3-42fe-a575-c4c145a7e839,746,1,00:14:50.081,14,50,27,,42,Ball Receipt*,207,Valencia,9,From Kick Off,207,Valencia,,,['b3242efa-2260-4173-a56d-3a6e7d38311d'],"[34.3, 42.7]",3638.0,Shkodran Mustafi,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890.081
063b0285-a217-4345-9a73-e3e994d47fc7,747,1,00:14:50.081,14,50,27,1.072088,43,Carry,207,Valencia,9,From Kick Off,207,Valencia,,,"['8ae90ce8-05d2-4bda-a6a9-e48f580458e9', 'ea51fae4-29f3-42fe-a575-c4c145a7e839']","[34.3, 42.7]",3638.0,Shkodran Mustafi,3.0,Right Center Back,,,,,,,,,,,,"[36.6, 45.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890.081
