id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_outcome_id,pass_outcome_name,carry_end_location,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,under_pressure,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,out,counterpress,duel_type_id,duel_type_name,pass_aerial_won,pass_cut_back,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,clearance_left_foot,pass_cross,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,foul_won_defensive,ball_recovery_recovery_failure,foul_committed_advantage,foul_won_advantage,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,shot_first_time,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,shot_aerial_won,clearance_head,pass_switch,bad_behaviour_card_id,bad_behaviour_card_name,pass_goal_assist,pass_technique_id,pass_technique_name,pass_outswinging,block_offensive,foul_committed_offensive,dribble_nutmeg,foul_committed_card_id,foul_committed_card_name,clearance_aerial_won,dribble_overrun,miscontrol_aerial_won,pass_miscommunication,pass_inswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_deflected,shot_saved_off_target,goalkeeper_shot_saved_off_target,pass_straight,50_50_outcome_id,50_50_outcome_name,pass_no_touch,injury_stoppage_in_chain,timestamp_seconds
cdfa8e84-271d-4355-9f5a-1171da511f80,1418,1,00:35:03.773,35,3,77,,42,Ball Receipt*,212,Atlético Madrid,8,From Keeper,212,Atlético Madrid,,,['36a07e31-5e26-4839-97da-a87fbcb2312e'],,"[52.9, 18.9]",6381.0,Saúl Ñíguez Esclapez,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2103.773
8ed9746c-6350-45d4-9d28-06cd008bc569,1419,1,00:35:03.773,35,3,77,1.133596,43,Carry,212,Atlético Madrid,8,From Keeper,212,Atlético Madrid,,,"['cdfa8e84-271d-4355-9f5a-1171da511f80', 'dc69a0e5-7e29-4dc7-8d6e-d28f2894be98']",,"[52.9, 18.9]",6381.0,Saúl Ñíguez Esclapez,10.0,Center Defensive Midfield,,,,,,,,,,,,,,"[59.4, 25.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2103.773
dc69a0e5-7e29-4dc7-8d6e-d28f2894be98,1420,1,00:35:04.906,35,4,77,0.707188,30,Pass,212,Atlético Madrid,8,From Keeper,212,Atlético Madrid,,,"['657d286a-907a-4775-b6ae-1fbdbdeeeaf0', 'c1ed23fc-bb11-4134-b643-c90189832fe4']",,"[59.4, 25.7]",6381.0,Saúl Ñíguez Esclapez,10.0,Center Defensive Midfield,6382.0,Fernando José Torres Sanz,11.232987,0.97538644,1.0,Ground Pass,"[65.7, 35.0]",38.0,Left Foot,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2104.906
657d286a-907a-4775-b6ae-1fbdbdeeeaf0,1421,1,00:35:05.613,35,5,77,,42,Ball Receipt*,212,Atlético Madrid,8,From Keeper,212,Atlético Madrid,,,['dc69a0e5-7e29-4dc7-8d6e-d28f2894be98'],,"[66.2, 37.1]",6382.0,Fernando José Torres Sanz,23.0,Center Forward,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2105.613
c1ed23fc-bb11-4134-b643-c90189832fe4,1422,1,00:35:05.613,35,5,77,0.0,10,Interception,212,Atlético Madrid,8,From Keeper,1049,Granada,,,['dc69a0e5-7e29-4dc7-8d6e-d28f2894be98'],,"[54.4, 45.1]",6680.0,Rubén Rochina Naixes,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2105.613
0ef7cb46-a33e-4a17-9c0b-64e9733d08a5,1423,1,00:35:07.469,35,7,78,0.718739,30,Pass,1049,Granada,1,Regular Play,1049,Granada,,,['31334360-fc16-4f44-afb7-9b4db5b7e820'],,"[46.6, 57.8]",4498.0,Jean-Sylvain Claude Babin,3.0,Right Center Back,25707.0,Francisco Manuel Rico Castro,6.8767724,0.7133581,1.0,Ground Pass,"[51.8, 62.3]",40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2107.469
31334360-fc16-4f44-afb7-9b4db5b7e820,1424,1,00:35:08.187,35,8,78,,42,Ball Receipt*,1049,Granada,1,Regular Play,1049,Granada,,,['0ef7cb46-a33e-4a17-9c0b-64e9733d08a5'],,"[51.8, 62.3]",25707.0,Francisco Manuel Rico Castro,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2108.187
ca9d130f-2faa-4c4b-8b6d-b507fb70573b,1425,1,00:35:08.187,35,8,78,3.993367,43,Carry,1049,Granada,1,Regular Play,1049,Granada,,,"['02e1ce6d-ff95-4554-bc2b-9c54e9b9001e', '31334360-fc16-4f44-afb7-9b4db5b7e820', 'c13fe4d1-d0ce-4de8-9f19-2081bdf3c254']",,"[51.8, 62.3]",25707.0,Francisco Manuel Rico Castro,10.0,Center Defensive Midfield,,,,,,,,,,,,,,"[47.6, 76.6]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2108.187
c13fe4d1-d0ce-4de8-9f19-2081bdf3c254,1426,1,00:35:09.604,35,9,78,1.747553,17,Pressure,1049,Granada,1,Regular Play,212,Atlético Madrid,,,['ca9d130f-2faa-4c4b-8b6d-b507fb70573b'],,"[68.3, 17.8]",5633.0,Yannick Ferreira Carrasco,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2109.604
404b5af0-e43e-499a-9a60-7ee3a666bfca,1427,1,00:35:12.181,35,12,78,0.0,39,Dribbled Past,1049,Granada,1,Regular Play,212,Atlético Madrid,,,"['02e1ce6d-ff95-4554-bc2b-9c54e9b9001e', '5681b516-6823-4909-a07e-c605265f1f38']",,"[72.5, 3.5]",5633.0,Yannick Ferreira Carrasco,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2112.181
