id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_switch,pass_outcome_id,pass_outcome_name,under_pressure,duel_type_id,duel_type_name,out,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,carry_end_location,duel_outcome_id,duel_outcome_name,counterpress,interception_outcome_id,interception_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_through_ball,pass_technique_id,pass_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,pass_cross,clearance_right_foot,pass_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,injury_stoppage_in_chain,dribble_nutmeg,pass_cut_back,shot_first_time,ball_recovery_recovery_failure,clearance_left_foot,pass_no_touch,dribble_overrun,foul_committed_advantage,foul_won_advantage,pass_outswinging,foul_won_defensive,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,pass_inswinging,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,miscontrol_aerial_won,shot_saved_to_post,goalkeeper_shot_saved_to_post,bad_behaviour_card_id,bad_behaviour_card_name,50_50_outcome_id,50_50_outcome_name,block_offensive,shot_one_on_one,foul_committed_card_id,foul_committed_card_name,timestamp_seconds
97e68cdc-7100-4bb8-8cfe-c3ea89d6b137,1842,2,00:02:29.463,47,29,110,,42,Ball Receipt*,214,Espanyol,1,Regular Play,214,Espanyol,,,['9d799a24-6a27-44b1-aa97-0980e0ec957f'],,"[63.4, 77.4]",6838.0,Hernán Arsenio Pérez González,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.463
25fd3de2-b60f-4b10-b744-7087f995977f,1843,2,00:02:29.463,47,29,110,2.170108,43,Carry,214,Espanyol,1,Regular Play,214,Espanyol,,,"['97e68cdc-7100-4bb8-8cfe-c3ea89d6b137', 'b5315d5f-e3e1-4d80-8a3e-70dcc74c35ed']",,"[63.4, 77.4]",6838.0,Hernán Arsenio Pérez González,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,"[65.1, 69.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.463
b5315d5f-e3e1-4d80-8a3e-70dcc74c35ed,1844,2,00:02:31.633,47,31,110,0.973439,30,Pass,214,Espanyol,1,Regular Play,214,Espanyol,,,['397e5b31-846d-46e7-8c4f-371b6d2a6832'],,"[65.1, 69.0]",6838.0,Hernán Arsenio Pérez González,12.0,Right Midfield,5598.0,Óscar Esau Duarte Gaitán,11.810589,-2.3382323,1.0,Ground Pass,"[56.9, 60.5]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.633
397e5b31-846d-46e7-8c4f-371b6d2a6832,1845,2,00:02:32.606,47,32,110,,42,Ball Receipt*,214,Espanyol,1,Regular Play,214,Espanyol,,,['b5315d5f-e3e1-4d80-8a3e-70dcc74c35ed'],,"[56.9, 60.5]",5598.0,Óscar Esau Duarte Gaitán,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.606
35d9324f-546a-4eff-b335-bf95a8479e25,1846,2,00:02:32.606,47,32,110,1.242186,43,Carry,214,Espanyol,1,Regular Play,214,Espanyol,,,"['397e5b31-846d-46e7-8c4f-371b6d2a6832', '7e5f7c0a-3ee8-43d2-bfbd-ca1e08eccfec']",,"[56.9, 60.5]",5598.0,Óscar Esau Duarte Gaitán,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,"[56.9, 60.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.606
7e5f7c0a-3ee8-43d2-bfbd-ca1e08eccfec,1847,2,00:02:33.848,47,33,110,1.638355,30,Pass,214,Espanyol,1,Regular Play,214,Espanyol,,,['057cc415-5c13-42b1-b750-10e7a7729fe1'],,"[56.9, 60.5]",5598.0,Óscar Esau Duarte Gaitán,10.0,Center Defensive Midfield,16456.0,Enzo Pablo Roco Roco,32.104362,-1.7651376,1.0,Ground Pass,"[50.7, 29.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.848
057cc415-5c13-42b1-b750-10e7a7729fe1,1848,2,00:02:35.487,47,35,110,,42,Ball Receipt*,214,Espanyol,1,Regular Play,214,Espanyol,,,['7e5f7c0a-3ee8-43d2-bfbd-ca1e08eccfec'],,"[50.7, 29.0]",16456.0,Enzo Pablo Roco Roco,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.487
74bad3a4-1800-43a9-922b-2a4ba2a427d7,1849,2,00:02:35.487,47,35,110,1.209483,43,Carry,214,Espanyol,1,Regular Play,214,Espanyol,,,"['057cc415-5c13-42b1-b750-10e7a7729fe1', '8de62e43-7e69-4cce-b8c3-46771aca3961', 'a3432262-a92b-406c-a6de-354c7a954b8c']",,"[50.7, 29.0]",16456.0,Enzo Pablo Roco Roco,5.0,Left Center Back,,,,,,,,,,,,,,,True,,,,,,,,"[50.9, 28.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.487
a3432262-a92b-406c-a6de-354c7a954b8c,1850,2,00:02:36.326,47,36,110,0.557725,17,Pressure,214,Espanyol,1,Regular Play,213,Sevilla,,,"['74bad3a4-1800-43a9-922b-2a4ba2a427d7', '8de62e43-7e69-4cce-b8c3-46771aca3961']",,"[67.9, 49.3]",6349.0,Federico Julián Fazio,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.326
8de62e43-7e69-4cce-b8c3-46771aca3961,1851,2,00:02:36.696,47,36,110,1.13578,30,Pass,214,Espanyol,1,Regular Play,214,Espanyol,,,"['a3432262-a92b-406c-a6de-354c7a954b8c', 'bf2e2dbe-385b-4fb8-9863-4feb0c6e93f9']",,"[50.9, 28.2]",16456.0,Enzo Pablo Roco Roco,5.0,Left Center Back,6612.0,Rubén Duarte Sánchez,24.340296,-0.8697457,1.0,Ground Pass,"[66.6, 9.6]",40.0,Right Foot,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.696
