id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,pass_aerial_won,ball_recovery_recovery_failure,counterpress,pass_switch,out,off_camera,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,duel_outcome_id,duel_outcome_name,interception_outcome_id,interception_outcome_name,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,dribble_outcome_id,dribble_outcome_name,pass_cross,shot_first_time,pass_through_ball,pass_technique_id,pass_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,foul_committed_advantage,foul_won_advantage,clearance_right_foot,pass_inswinging,pass_outswinging,clearance_aerial_won,clearance_head,shot_saved_off_target,goalkeeper_shot_saved_off_target,goalkeeper_technique_id,goalkeeper_technique_name,foul_won_defensive,pass_goal_assist,miscontrol_aerial_won,dribble_overrun,foul_committed_offensive,shot_one_on_one,ball_recovery_offensive,foul_committed_type_id,foul_committed_type_name,pass_cut_back,foul_committed_penalty,foul_committed_card_id,foul_committed_card_name,foul_won_penalty,block_offensive,pass_straight,dribble_nutmeg,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_no_touch,shot_open_goal,timestamp_seconds
b111f536-ce1e-4d78-987d-def2059b7388,1672,1,00:41:01.311,41,1,78,4.468544,43,Carry,220,Real Madrid,4,From Throw In,220,Real Madrid,,,"['1db8fb25-0de7-417b-859e-457873db30ab', '4fe57e4d-a894-4e18-a057-a5df8956c481']","[78.3, 78.7]",6399.0,Gareth Frank Bale,17.0,Right Wing,,,,,,,,,,,,"[93.9, 60.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2461.311
1db8fb25-0de7-417b-859e-457873db30ab,1673,1,00:41:05.780,41,5,78,1.523505,30,Pass,220,Real Madrid,4,From Throw In,220,Real Madrid,,,"['18bfd5fc-f304-4615-bc5d-f6cc83e2f98f', 'fc6774bf-ecd5-4ff2-8d2e-40437744e6f5']","[93.9, 60.3]",6399.0,Gareth Frank Bale,17.0,Right Wing,5207.0,Cristiano Ronaldo dos Santos Aveiro,25.972485,-0.744549,2.0,Low Pass,"[113.0, 42.7]",38.0,Left Foot,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2465.78
fc6774bf-ecd5-4ff2-8d2e-40437744e6f5,1674,1,00:41:07.303,41,7,78,,42,Ball Receipt*,220,Real Madrid,4,From Throw In,220,Real Madrid,,,['1db8fb25-0de7-417b-859e-457873db30ab'],"[112.8, 37.6]",5207.0,Cristiano Ronaldo dos Santos Aveiro,21.0,Left Wing,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467.303
18bfd5fc-f304-4615-bc5d-f6cc83e2f98f,1675,1,00:41:07.303,41,7,79,0.0,2,Ball Recovery,207,Valencia,6,From Counter,207,Valencia,,,['1db8fb25-0de7-417b-859e-457873db30ab'],"[7.1, 37.4]",6898.0,Jaume Doménech Sánchez,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467.303
0d102d2e-5744-4369-94fd-b44e5af6c2cd,1676,1,00:41:11.808,41,11,79,2.125119,30,Pass,207,Valencia,6,From Counter,207,Valencia,,,['e5d0ce1c-b22d-48c1-b630-481690576710'],"[16.7, 41.6]",6898.0,Jaume Doménech Sánchez,1.0,Goalkeeper,7005.0,João Pedro Cavaco Cancelo,39.267418,0.7511773,3.0,High Pass,"[45.4, 68.4]",69.0,Keeper Arm,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2471.808
e5d0ce1c-b22d-48c1-b630-481690576710,1677,1,00:41:13.933,41,13,79,,42,Ball Receipt*,207,Valencia,6,From Counter,207,Valencia,,,['0d102d2e-5744-4369-94fd-b44e5af6c2cd'],"[45.4, 68.4]",7005.0,João Pedro Cavaco Cancelo,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2473.933
26385104-373d-4a58-8193-08a66bb0b814,1678,1,00:41:16.088,41,16,79,1.506946,30,Pass,207,Valencia,6,From Counter,207,Valencia,,,['8e533abc-ac47-4184-94ba-c12afda60cb9'],"[49.3, 60.0]",7005.0,João Pedro Cavaco Cancelo,17.0,Right Wing,10037.0,Danilo Barbosa da Silva,15.6285,-0.5151779,1.0,Ground Pass,"[62.9, 52.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2476.088
8e533abc-ac47-4184-94ba-c12afda60cb9,1679,1,00:41:17.595,41,17,79,,42,Ball Receipt*,207,Valencia,6,From Counter,207,Valencia,,,['26385104-373d-4a58-8193-08a66bb0b814'],"[62.9, 52.3]",10037.0,Danilo Barbosa da Silva,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2477.595
0d650f52-1b6f-4241-baf0-1d0df457cf24,1680,1,00:41:17.595,41,17,79,1.872291,43,Carry,207,Valencia,6,From Counter,207,Valencia,,,"['69179aa4-cd2b-401a-bf29-b38280543c6f', '8e533abc-ac47-4184-94ba-c12afda60cb9', 'fbd36296-666d-4595-8d0b-b05a850c1d9f']","[62.9, 52.3]",10037.0,Danilo Barbosa da Silva,15.0,Left Center Midfield,,,,,,,,,,,,"[73.0, 50.6]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2477.595
fbd36296-666d-4595-8d0b-b05a850c1d9f,1681,1,00:41:18.925,41,18,79,0.031455,17,Pressure,207,Valencia,6,From Counter,220,Real Madrid,,,['0d650f52-1b6f-4241-baf0-1d0df457cf24'],"[49.7, 30.8]",5463.0,Luka Modrić,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478.925
