id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,pass_switch,dribble_outcome_id,dribble_outcome_name,interception_outcome_id,interception_outcome_name,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,pass_assisted_shot_id,pass_goal_assist,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,off_camera,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_technique_id,pass_technique_name,pass_through_ball,goalkeeper_end_location,pass_aerial_won,out,clearance_left_foot,clearance_aerial_won,shot_first_time,clearance_right_foot,foul_committed_advantage,foul_won_advantage,pass_inswinging,pass_shot_assist,shot_aerial_won,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_outswinging,pass_cut_back,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,miscontrol_aerial_won,ball_recovery_recovery_failure,dribble_nutmeg,dribble_overrun,timestamp_seconds
9ee6fca7-c52b-4ad1-a842-2c75cb278f9b,1047,1,00:27:06.716,27,6,53,,42,Ball Receipt*,1041,Sporting Gijón,3,From Free Kick,1041,Sporting Gijón,,,"['12dcae37-3348-49e6-9ae2-a2d23b2f6c80', 'f17e3117-0101-499e-8509-a9c0e7f7cd7d']","[116.7, 63.4]",26633.0,Alberto Lora Ramos,2.0,Right Back,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1626.716
af3fb991-c5b5-4663-805f-ee11881ead5a,1048,1,00:27:06.716,27,6,53,0.097669,30,Pass,1041,Sporting Gijón,3,From Free Kick,1041,Sporting Gijón,,,"['12dcae37-3348-49e6-9ae2-a2d23b2f6c80', 'a07140cc-4fb6-416e-aa2d-f0e56e68f130']","[113.7, 61.7]",26633.0,Alberto Lora Ramos,2.0,Right Back,,,3.0805843,-1.3415644,2.0,Low Pass,"[114.4, 58.7]",40.0,Right Foot,,,,9.0,Incomplete,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1626.716
a07140cc-4fb6-416e-aa2d-f0e56e68f130,1049,1,00:27:06.814,27,6,53,0.0,6,Block,1041,Sporting Gijón,3,From Free Kick,208,Las Palmas,,,['af3fb991-c5b5-4663-805f-ee11881ead5a'],"[5.7, 21.4]",6929.0,José Vicente Gómez Umpiérrez,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,1626.814
39dbe6e6-1d7f-485b-8c6b-34c060cf60f9,1050,1,00:27:29.913,27,29,54,1.355365,30,Pass,1041,Sporting Gijón,2,From Corner,1041,Sporting Gijón,,,['f780bad0-5a15-47ac-946c-fea84b132095'],"[120.0, 80.0]",6581.0,Jonathan Rodríguez Menéndez,16.0,Left Midfield,,,38.30992,-1.6465672,3.0,High Pass,"[117.1, 41.8]",38.0,Left Foot,61.0,Corner,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,Inswinging,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,1649.913
f780bad0-5a15-47ac-946c-fea84b132095,1051,1,00:27:31.268,27,31,54,0.0,9,Clearance,1041,Sporting Gijón,2,From Corner,208,Las Palmas,,,['39dbe6e6-1d7f-485b-8c6b-34c060cf60f9'],"[3.0, 38.3]",8167.0,Sergio Ezequiel Araújo,23.0,Center Forward,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,Head,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1651.268
773e52be-255f-4ae9-88b7-b7277fbb68b6,1052,1,00:27:33.979,27,33,54,0.0,2,Ball Recovery,1041,Sporting Gijón,2,From Corner,1041,Sporting Gijón,,,,"[108.0, 75.6]",6581.0,Jonathan Rodríguez Menéndez,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1653.979
d93693ee-3453-4df9-9dee-32c5925c9c15,1053,1,00:27:33.979,27,33,54,1.683514,43,Carry,1041,Sporting Gijón,2,From Corner,1041,Sporting Gijón,,,"['773e52be-255f-4ae9-88b7-b7277fbb68b6', 'c5bc786e-9f4e-4098-be68-bdf8ed9ee481']","[108.0, 75.6]",6581.0,Jonathan Rodríguez Menéndez,16.0,Left Midfield,,,,,,,,,,,,"[107.4, 75.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1653.979
c5bc786e-9f4e-4098-be68-bdf8ed9ee481,1054,1,00:27:35.663,27,35,54,1.142668,30,Pass,1041,Sporting Gijón,2,From Corner,1041,Sporting Gijón,,,['25b43dcc-7180-4d0c-899f-775a1e0030ed'],"[107.4, 75.1]",6581.0,Jonathan Rodríguez Menéndez,16.0,Left Midfield,6602.0,Miguel Ángel Guerrero Martín,25.131056,-1.4350893,3.0,High Pass,"[110.8, 50.2]",38.0,Left Foot,,,,,,,,,,,,,,,,,,de6d7c8d-db53-4cd1-b112-df36f8b1269b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,1655.663
25b43dcc-7180-4d0c-899f-775a1e0030ed,1055,1,00:27:36.805,27,36,54,,42,Ball Receipt*,1041,Sporting Gijón,2,From Corner,1041,Sporting Gijón,,,['c5bc786e-9f4e-4098-be68-bdf8ed9ee481'],"[110.8, 50.2]",6602.0,Miguel Ángel Guerrero Martín,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1656.805
9963cd35-8424-48fe-a34c-090dcbc424d4,1056,1,00:27:36.822,27,36,54,0.0,4,Duel,1041,Sporting Gijón,2,From Corner,208,Las Palmas,,,['de6d7c8d-db53-4cd1-b112-df36f8b1269b'],"[9.1, 32.6]",6929.0,José Vicente Gómez Umpiérrez,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1656.8220000000001
