id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,under_pressure,foul_won_defensive,off_camera,duel_type_id,duel_type_name,pass_aerial_won,pass_switch,interception_outcome_id,interception_outcome_name,out,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,dribble_overrun,foul_committed_advantage,foul_won_advantage,pass_through_ball,pass_technique_id,pass_technique_name,ball_recovery_recovery_failure,pass_assisted_shot_id,pass_shot_assist,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,pass_outswinging,shot_aerial_won,clearance_head,clearance_aerial_won,pass_cross,clearance_right_foot,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_straight,foul_committed_offensive,dribble_nutmeg,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_cut_back,50_50_outcome_id,50_50_outcome_name,miscontrol_aerial_won,pass_no_touch,shot_first_time,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_card_id,foul_committed_card_name,pass_inswinging,timestamp_seconds
802b6d9d-ae71-424c-9ca0-f39d9f60f044,1251,1,00:29:48.356,29,48,81,2.145819,43,Carry,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['4f2234bd-642c-452e-9ab1-4fcb2a3737b4', '5030cd47-c693-468f-85ba-bc70e9d27759']","[42.1, 56.9]",8440.0,Aythami Artiles Oliva,3.0,Right Center Back,,,,,,,,,,,,"[49.1, 65.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1788.356
4f2234bd-642c-452e-9ab1-4fcb2a3737b4,1252,1,00:29:50.502,29,50,82,0.678693,30,Pass,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['4e502052-eba2-4ba6-80b7-36da953dc1d6'],"[49.1, 65.1]",8440.0,Aythami Artiles Oliva,3.0,Right Center Back,6928.0,Pedro Taunausú Domínguez Placeres,16.0,0.0,1.0,Ground Pass,"[65.1, 65.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1790.502
4e502052-eba2-4ba6-80b7-36da953dc1d6,1253,1,00:29:51.181,29,51,82,,42,Ball Receipt*,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['4f2234bd-642c-452e-9ab1-4fcb2a3737b4'],"[65.1, 65.1]",6928.0,Pedro Taunausú Domínguez Placeres,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1791.181
4b5ef033-9e82-4fa1-b9e3-d94a9c68916e,1254,1,00:29:51.181,29,51,82,2.816166,43,Carry,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['4e502052-eba2-4ba6-80b7-36da953dc1d6', '9df9ad3b-c3fa-41b3-8d66-6f12f0521ccb', 'c07e59fa-0189-45ae-90fa-8b17474d01da']","[65.1, 65.1]",6928.0,Pedro Taunausú Domínguez Placeres,17.0,Right Wing,,,,,,,,,,,,"[63.0, 63.1]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1791.181
9df9ad3b-c3fa-41b3-8d66-6f12f0521ccb,1255,1,00:29:53.510,29,53,82,0.849787,17,Pressure,208,Las Palmas,1,Regular Play,215,Athletic Club,,,"['4b5ef033-9e82-4fa1-b9e3-d94a9c68916e', 'c07e59fa-0189-45ae-90fa-8b17474d01da']","[57.1, 15.0]",6391.0,Raúl García Escudero,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1793.51
c07e59fa-0189-45ae-90fa-8b17474d01da,1256,1,00:29:53.997,29,53,83,1.099946,30,Pass,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['9df9ad3b-c3fa-41b3-8d66-6f12f0521ccb', 'c09e3916-5e02-4f1f-93b6-23caf4100d37']","[63.0, 63.1]",6928.0,Pedro Taunausú Domínguez Placeres,17.0,Right Wing,15805.0,Hernán Daniel Santana Trujillo,5.249762,-1.8804992,1.0,Ground Pass,"[61.4, 58.1]",40.0,Right Foot,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1793.997
c09e3916-5e02-4f1f-93b6-23caf4100d37,1257,1,00:29:54.751,29,54,83,,42,Ball Receipt*,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['c07e59fa-0189-45ae-90fa-8b17474d01da'],"[61.4, 58.1]",15805.0,Hernán Daniel Santana Trujillo,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1794.751
34559af0-79d0-4568-bb25-7ec2cc4ac058,1258,1,00:29:54.751,29,54,83,0.420052,43,Carry,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['75c33220-f71f-4dd2-a563-11bc97832161', 'a17729b0-4d8a-463e-a20e-3ddfef03a2d7', 'c09e3916-5e02-4f1f-93b6-23caf4100d37']","[61.4, 58.1]",15805.0,Hernán Daniel Santana Trujillo,11.0,Left Defensive Midfield,,,,,,,,,,,,"[61.0, 58.1]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1794.751
75c33220-f71f-4dd2-a563-11bc97832161,1259,1,00:29:54.751,29,54,83,0.0,10,Interception,208,Las Palmas,1,Regular Play,215,Athletic Club,,,['34559af0-79d0-4568-bb25-7ec2cc4ac058'],"[58.7, 22.0]",6389.0,Mikel San José Domínguez,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,True,,,,,,,,13.0,Lost In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1794.751
a17729b0-4d8a-463e-a20e-3ddfef03a2d7,1260,1,00:29:55.171,29,55,84,0.686293,30,Pass,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['30245e2f-5894-43fa-b89a-0982bce29fc4'],"[61.0, 58.1]",15805.0,Hernán Daniel Santana Trujillo,11.0,Left Defensive Midfield,6928.0,Pedro Taunausú Domínguez Placeres,6.0827627,2.379446,1.0,Ground Pass,"[56.6, 62.3]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795.171
