id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_aerial_won,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,interception_outcome_id,interception_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_switch,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_cross,shot_first_time,off_camera,shot_one_on_one,out,clearance_aerial_won,clearance_head,block_deflection,ball_recovery_recovery_failure,pass_technique_id,pass_technique_name,pass_through_ball,foul_committed_card_id,foul_committed_card_name,pass_miscommunication,foul_committed_advantage,foul_won_advantage,pass_cut_back,foul_won_defensive,clearance_left_foot,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_offensive,pass_outswinging,dribble_overrun,foul_committed_type_id,foul_committed_type_name,shot_saved_off_target,goalkeeper_shot_saved_off_target,pass_deflected,pass_goal_assist,block_offensive,pass_no_touch,injury_stoppage_in_chain,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_inswinging,timestamp_seconds
e5e63603-c690-483c-a420-b8cfb6033a9f,390,1,00:07:47.917,7,47,15,1.599405,30,Pass,217,Barcelona,3,From Free Kick,217,Barcelona,,,['8d319925-72c7-47b6-a055-7200caca58af'],"[12.4, 31.5]",4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,5213.0,Gerard Piqué Bernabéu,25.883585,0.7690062,1.0,Ground Pass,"[31.0, 49.5]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.91700000000003
8d319925-72c7-47b6-a055-7200caca58af,391,1,00:07:49.516,7,49,15,,42,Ball Receipt*,217,Barcelona,3,From Free Kick,217,Barcelona,,,['e5e63603-c690-483c-a420-b8cfb6033a9f'],"[31.0, 49.5]",5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.516
be892e60-6606-40b4-b12e-62ee29f28b9f,392,1,00:07:49.516,7,49,15,6.374431,43,Carry,217,Barcelona,3,From Free Kick,217,Barcelona,,,"['8d319925-72c7-47b6-a055-7200caca58af', '9060118b-9755-40b5-8f1d-fc39c72284df']","[31.0, 49.5]",5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,,,,,,,,,,,,"[50.5, 53.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.516
9060118b-9755-40b5-8f1d-fc39c72284df,393,1,00:07:55.891,7,55,15,1.87067,30,Pass,217,Barcelona,3,From Free Kick,217,Barcelona,,,['3643a7a4-fbbf-4158-8833-31532eead5d0'],"[50.5, 53.4]",5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,5506.0,Javier Alejandro Mascherano,24.410038,-1.5994769,1.0,Ground Pass,"[49.8, 29.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.891
3643a7a4-fbbf-4158-8833-31532eead5d0,394,1,00:07:57.761,7,57,15,,42,Ball Receipt*,217,Barcelona,3,From Free Kick,217,Barcelona,,,['9060118b-9755-40b5-8f1d-fc39c72284df'],"[49.8, 29.0]",5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.761
0588fe86-66a0-4d90-b6a5-f1d963d108dd,395,1,00:07:57.761,7,57,15,3.771594,43,Carry,217,Barcelona,3,From Free Kick,217,Barcelona,,,"['3643a7a4-fbbf-4158-8833-31532eead5d0', 'c2ba44e0-dceb-416b-959e-97cce415bcf4']","[49.8, 29.0]",5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,,,,,,,,,,,,"[62.6, 34.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.761
c2ba44e0-dceb-416b-959e-97cce415bcf4,396,1,00:08:01.533,8,1,15,4.536983,30,Pass,217,Barcelona,3,From Free Kick,217,Barcelona,,,['5c1b10f0-35e0-44e6-b6ce-ae60478518b0'],"[62.6, 34.6]",5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,4324.0,Daniel Alves da Silva,67.74142,0.7206353,3.0,High Pass,"[113.5, 79.3]",40.0,Right Foot,,,,,,,,,,,,75.0,Out,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.533
5c1b10f0-35e0-44e6-b6ce-ae60478518b0,397,1,00:08:06.070,8,6,15,,42,Ball Receipt*,217,Barcelona,3,From Free Kick,217,Barcelona,,,['c2ba44e0-dceb-416b-959e-97cce415bcf4'],"[93.8, 70.8]",4324.0,Daniel Alves da Silva,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486.07
7abcf5de-66cc-4e92-bad0-c9db1be9ca6f,398,1,00:08:24.746,8,24,16,1.546036,30,Pass,207,Valencia,4,From Throw In,207,Valencia,,,['6c109816-1d31-4ee8-96b9-3a223e55f7f5'],"[21.2, 0.1]",6596.0,José Luis Gayà Peña,6.0,Left Back,,,17.235138,0.3125765,3.0,High Pass,"[37.6, 5.4]",,,67.0,Throw-in,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.746
6c109816-1d31-4ee8-96b9-3a223e55f7f5,399,1,00:08:26.292,8,26,17,0.8244,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,"['7abcf5de-66cc-4e92-bad0-c9db1be9ca6f', '934e3842-50e3-4f7e-8522-44ae06155df1']","[82.5, 74.7]",4324.0,Daniel Alves da Silva,2.0,Right Back,5203.0,Sergio Busquets i Burgos,6.4195013,-0.3168245,2.0,Low Pass,"[88.6, 72.7]",40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.29200000000003
